# europe_germ048w - Silberberg (D), EU-Pr. - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: europe_germ048w - Silberberg (D), EU-Pr. - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Silberberg (D), EU-Pr.
#	Location:
#	Country: Germany
#	Northernmost_Latitude: 47.83
#	Southernmost_Latitude: 47.83
#	Easternmost_Longitude: 7.98
#	Westernmost_Longitude: 7.98
#	Elevation: 1320 m
#--------------------
# Data_Collection
#	Collection_Name: europe_germ048wB
#	Earliest_Year: 1872
#	Most_Recent_Year: 1995
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"6.70731838897","T2":"17.835223091","M1":"0.0225072282436","M2":"0.39614342253"}}
#--------------------
# Species
#	Species_Name: Norway spruce
#	Species_Code: PCAB
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1872	1.023
1873	0.667
1874	1.139
1875	1.064
1876	1.15
1877	1.181
1878	1.083
1879	0.91
1880	0.699
1881	0.721
1882	0.755
1883	0.76
1884	0.636
1885	0.75
1886	0.724
1887	0.804
1888	0.775
1889	0.915
1890	1.097
1891	0.798
1892	0.972
1893	0.786
1894	1.001
1895	1.064
1896	0.924
1897	1.044
1898	1.01
1899	1.009
1900	0.897
1901	1.202
1902	1.037
1903	1.152
1904	1.386
1905	1.391
1906	1.181
1907	1.135
1908	1.158
1909	0.981
1910	1.077
1911	1.189
1912	0.976
1913	0.973
1914	1.118
1915	1.336
1916	1.315
1917	1.292
1918	1.224
1919	1.161
1920	1.122
1921	1.166
1922	1.034
1923	0.874
1924	1.117
1925	1.224
1926	1.08
1927	1.196
1928	1.073
1929	0.941
1930	0.935
1931	1.179
1932	1.143
1933	1.019
1934	1.243
1935	1.113
1936	0.874
1937	0.867
1938	0.843
1939	0.814
1940	0.853
1941	0.906
1942	1.048
1943	1.251
1944	1.156
1945	1.09
1946	1.001
1947	0.986
1948	0.589
1949	0.584
1950	0.721
1951	0.87
1952	0.876
1953	0.798
1954	0.763
1955	1.028
1956	0.753
1957	0.763
1958	0.736
1959	0.806
1960	0.829
1961	0.788
1962	0.765
1963	0.91
1964	1.007
1965	0.797
1966	0.992
1967	1.174
1968	1.038
1969	1.174
1970	1.013
1971	0.936
1972	0.931
1973	1.134
1974	0.733
1975	0.873
1976	0.766
1977	0.981
1978	1.064
1979	1.206
1980	0.861
1981	1.118
1982	1.262
1983	1.224
1984	0.95
1985	0.888
1986	0.893
1987	0.786
1988	0.987
1989	1.03
1990	1.07
1991	1.005
1992	1.091
1993	1.105
1994	1.365
1995	0.954
