# europe_neth034 - Paleispark 'T Loo - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: europe_neth034 - Paleispark 'T Loo - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Paleispark 'T Loo
#	Location:
#	Country: Netherlands
#	Northernmost_Latitude: 52.23
#	Southernmost_Latitude: 52.23
#	Easternmost_Longitude: 5.92
#	Westernmost_Longitude: 5.92
#	Elevation: 26 m
#--------------------
# Data_Collection
#	Collection_Name: europe_neth034B
#	Earliest_Year: 1864
#	Most_Recent_Year: 1989
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.32360562073","T2":"14.5446792795","M1":"0.022657642333","M2":"0.549977475218"}}
#--------------------
# Species
#	Species_Name: Scots pine
#	Species_Code: PISY
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1864	0.852
1865	1.021
1866	1.077
1867	1.157
1868	1.162
1869	1.064
1870	1.019
1871	1.133
1872	1.107
1873	1.106
1874	1.22
1875	1.018
1876	1.04
1877	0.825
1878	0.809
1879	0.946
1880	0.865
1881	0.788
1882	0.803
1883	0.904
1884	0.926
1885	0.855
1886	0.736
1887	0.717
1888	0.79
1889	0.653
1890	0.732
1891	0.779
1892	0.867
1893	0.853
1894	1.072
1895	1.013
1896	0.947
1897	1.019
1898	0.938
1899	0.925
1900	0.979
1901	0.905
1902	0.969
1903	1.097
1904	1.225
1905	1.113
1906	1.116
1907	1.169
1908	1.06
1909	1.07
1910	0.989
1911	0.979
1912	0.95
1913	1.044
1914	1.039
1915	0.99
1916	1.05
1917	1.068
1918	0.884
1919	0.789
1920	1.002
1921	0.964
1922	1.017
1923	1.088
1924	1.172
1925	1.151
1926	1.07
1927	0.956
1928	0.96
1929	0.901
1930	0.933
1931	0.871
1932	0.95
1933	0.977
1934	1.041
1935	1.183
1936	1.314
1937	1.161
1938	1.256
1939	1.072
1940	0.879
1941	0.726
1942	0.902
1943	0.913
1944	0.882
1945	0.984
1946	0.749
1947	0.61
1948	0.787
1949	0.85
1950	0.877
1951	0.777
1952	0.659
1953	0.785
1954	0.768
1955	0.818
1956	0.838
1957	0.963
1958	0.948
1959	0.839
1960	0.881
1961	0.994
1962	1.131
1963	1.185
1964	1.184
1965	1.153
1966	1.207
1967	1.31
1968	1.146
1969	0.89
1970	0.941
1971	1.104
1972	1.095
1973	1.162
1974	1.255
1975	1.185
1976	1.078
1977	1.101
1978	0.929
1979	0.832
1980	0.896
1981	0.971
1982	0.976
1983	0.862
1984	0.806
1985	0.81
1986	0.629
1987	0.842
1988	1.087
1989	1.455
