# europe_pola019 - Swistowko Wyznig - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: europe_pola019 - Swistowko Wyznig - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Swistowko Wyznig
#	Location:
#	Country: Poland
#	Northernmost_Latitude: 49.25
#	Southernmost_Latitude: 49.25
#	Easternmost_Longitude: 19.92
#	Westernmost_Longitude: 19.92
#	Elevation: 1500 m
#--------------------
# Data_Collection
#	Collection_Name: europe_pola019B
#	Earliest_Year: 1799
#	Most_Recent_Year: 1978
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"6.97251749631","T2":"18.7110362749","M1":"0.0225937893062","M2":"0.375544958275"}}
#--------------------
# Species
#	Species_Name: Norway spruce
#	Species_Code: PCAB
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1799	0.769
1800	0.949
1801	0.869
1802	0.943
1803	0.661
1804	0.744
1805	0.623
1806	0.752
1807	0.772
1808	0.644
1809	0.785
1810	0.88
1811	1.22
1812	0.865
1813	0.638
1814	0.749
1815	0.718
1816	0.779
1817	1.159
1818	0.709
1819	0.983
1820	0.741
1821	0.594
1822	0.886
1823	0.789
1824	1.113
1825	1.05
1826	1.275
1827	1.26
1828	1.043
1829	1.197
1830	1.174
1831	1.014
1832	0.698
1833	0.974
1834	1.063
1835	0.831
1836	0.884
1837	0.756
1838	0.781
1839	0.982
1840	0.938
1841	1.049
1842	1.05
1843	0.919
1844	1.038
1845	0.911
1846	1.108
1847	0.864
1848	1.02
1849	1.117
1850	1.131
1851	0.76
1852	1.102
1853	1.126
1854	1.072
1855	1.23
1856	0.951
1857	1.077
1858	0.863
1859	0.801
1860	0.85
1861	0.922
1862	0.943
1863	1.028
1864	0.844
1865	0.702
1866	0.848
1867	0.756
1868	0.985
1869	0.682
1870	0.801
1871	0.828
1872	0.719
1873	0.881
1874	1.3
1875	1.511
1876	1.242
1877	1.272
1878	1.262
1879	1.101
1880	1.267
1881	1.237
1882	0.949
1883	0.906
1884	0.91
1885	0.984
1886	0.725
1887	0.848
1888	1.144
1889	1.258
1890	1.025
1891	1.035
1892	1.226
1893	0.922
1894	1.006
1895	1.253
1896	1.175
1897	1.166
1898	1.116
1899	1.016
1900	0.988
1901	0.917
1902	0.972
1903	0.845
1904	1.201
1905	1.058
1906	0.959
1907	0.943
1908	0.947
1909	0.815
1910	0.804
1911	0.975
1912	0.931
1913	0.753
1914	0.772
1915	1.106
1916	1.22
1917	1.503
1918	0.875
1919	0.948
1920	0.878
1921	0.915
1922	1.315
1923	1.029
1924	1.484
1925	1.093
1926	1.265
1927	1.305
1928	0.937
1929	0.87
1930	1.125
1931	1.427
1932	1.106
1933	1.049
1934	0.94
1935	1.064
1936	1.361
1937	1.449
1938	1.186
1939	1.422
1940	1.351
1941	1.345
1942	1.213
1943	0.844
1944	1.25
1945	1.307
1946	1.56
1947	0.889
1948	0.742
1949	0.686
1950	1.029
1951	0.899
1952	1.095
1953	1.118
1954	1.072
1955	1.004
1956	0.887
1957	1.104
1958	0.958
1959	0.855
1960	0.819
1961	0.989
1962	0.894
1963	1.068
1964	0.833
1965	0.77
1966	0.915
1967	0.936
1968	1.0
1969	0.821
1970	0.754
1971	0.568
1972	0.552
1973	0.396
1974	0.389
1975	0.552
1976	0.678
1977	0.718
1978	0.388
