# europe_spai015 - Navafria III - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: europe_spai015 - Navafria III - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Navafria III
#	Location:
#	Country: Spain
#	Northernmost_Latitude: 41.02
#	Southernmost_Latitude: 41.02
#	Easternmost_Longitude: -0.12
#	Westernmost_Longitude: -0.12
#	Elevation: 1525 m
#--------------------
# Data_Collection
#	Collection_Name: europe_spai015B
#	Earliest_Year: 1831
#	Most_Recent_Year: 1992
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.95821891266","T2":"18.3703561473","M1":"0.0226681212465","M2":"0.32866377786"}}
#--------------------
# Species
#	Species_Name: Scots pine
#	Species_Code: PISY
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1831	0.695
1832	0.698
1833	0.687
1834	1.0
1835	1.031
1836	1.15
1837	1.198
1838	1.007
1839	0.915
1840	0.892
1841	1.371
1842	0.905
1843	1.074
1844	0.906
1845	0.969
1846	1.026
1847	1.095
1848	0.932
1849	1.0
1850	1.166
1851	0.795
1852	0.825
1853	0.808
1854	1.002
1855	0.757
1856	0.804
1857	0.868
1858	0.993
1859	1.182
1860	1.048
1861	1.014
1862	0.932
1863	0.851
1864	0.998
1865	0.791
1866	1.059
1867	1.141
1868	0.905
1869	1.106
1870	0.755
1871	0.948
1872	0.898
1873	0.883
1874	0.885
1875	1.005
1876	1.003
1877	1.176
1878	1.242
1879	0.567
1880	0.866
1881	0.905
1882	0.943
1883	0.965
1884	1.05
1885	1.21
1886	1.091
1887	1.07
1888	1.251
1889	1.241
1890	0.875
1891	0.905
1892	0.899
1893	1.171
1894	0.929
1895	1.26
1896	1.023
1897	1.054
1898	1.126
1899	1.452
1900	1.268
1901	1.002
1902	1.374
1903	1.765
1904	1.458
1905	1.477
1906	1.273
1907	1.245
1908	1.016
1909	1.132
1910	1.035
1911	1.067
1912	1.257
1913	1.077
1914	1.563
1915	1.239
1916	1.103
1917	1.06
1918	0.963
1919	0.851
1920	1.103
1921	0.842
1922	0.937
1923	1.229
1924	0.776
1925	1.01
1926	1.061
1927	1.084
1928	0.926
1929	1.062
1930	0.978
1931	1.001
1932	1.299
1933	1.625
1934	0.909
1935	0.924
1936	0.868
1937	0.876
1938	0.745
1939	0.718
1940	1.149
1941	0.886
1942	0.606
1943	0.876
1944	1.133
1945	1.182
1946	0.713
1947	0.948
1948	0.955
1949	0.876
1950	0.987
1951	1.139
1952	1.35
1953	0.88
1954	0.414
1955	0.537
1956	0.539
1957	0.693
1958	0.872
1959	1.126
1960	0.838
1961	1.125
1962	0.714
1963	0.416
1964	0.808
1965	0.573
1966	0.591
1967	0.72
1968	0.694
1969	0.808
1970	0.882
1971	0.884
1972	0.745
1973	1.362
1974	0.948
1975	0.93
1976	1.316
1977	1.31
1978	1.014
1979	0.822
1980	1.302
1981	1.057
1982	1.11
1983	1.09
1984	0.831
1985	0.774
1986	0.522
1987	0.851
1988	0.893
1989	0.89
1990	0.902
1991	0.698
1992	1.186
