# europe_spai042 - Gudar Cantavieja - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: europe_spai042 - Gudar Cantavieja - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Gudar Cantavieja
#	Location:
#	Country: Spain
#	Northernmost_Latitude: 40.57
#	Southernmost_Latitude: 40.57
#	Easternmost_Longitude: -0.48
#	Westernmost_Longitude: -0.48
#	Elevation: 1750 m
#--------------------
# Data_Collection
#	Collection_Name: europe_spai042B
#	Earliest_Year: 1865
#	Most_Recent_Year: 1985
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"5.3357884208","T2":"18.0796003249","M1":"0.0225294037093","M2":"0.414380387113"}}
#--------------------
# Species
#	Species_Name: Scots pine
#	Species_Code: PISY
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1865	0.981
1866	0.744
1867	0.787
1868	1.015
1869	1.136
1870	0.604
1871	0.72
1872	0.961
1873	0.781
1874	0.762
1875	0.804
1876	0.694
1877	0.844
1878	0.912
1879	0.465
1880	1.019
1881	0.777
1882	0.759
1883	0.71
1884	0.755
1885	1.222
1886	1.239
1887	0.985
1888	0.795
1889	0.834
1890	0.85
1891	0.784
1892	0.802
1893	1.133
1894	1.171
1895	1.347
1896	1.342
1897	1.475
1898	1.256
1899	1.544
1900	1.172
1901	1.358
1902	0.926
1903	1.233
1904	1.097
1905	1.198
1906	1.081
1907	0.771
1908	0.988
1909	0.865
1910	1.014
1911	1.36
1912	1.108
1913	1.102
1914	1.922
1915	1.639
1916	1.281
1917	1.242
1918	0.824
1919	0.857
1920	1.164
1921	0.967
1922	0.85
1923	1.357
1924	0.902
1925	0.939
1926	1.139
1927	1.167
1928	0.904
1929	1.246
1930	1.317
1931	0.76
1932	1.077
1933	1.061
1934	0.963
1935	1.162
1936	0.957
1937	1.143
1938	1.296
1939	1.049
1940	1.326
1941	0.767
1942	0.727
1943	0.982
1944	1.19
1945	1.168
1946	1.018
1947	1.429
1948	1.114
1949	0.711
1950	0.747
1951	1.22
1952	1.784
1953	1.401
1954	0.829
1955	1.005
1956	1.249
1957	0.88
1958	1.154
1959	1.406
1960	1.138
1961	1.028
1962	0.906
1963	0.802
1964	1.309
1965	0.739
1966	0.69
1967	0.488
1968	0.719
1969	0.878
1970	0.814
1971	0.647
1972	0.561
1973	0.707
1974	0.701
1975	0.723
1976	0.921
1977	0.915
1978	0.804
1979	0.89
1980	0.8
1981	0.733
1982	0.536
1983	0.505
1984	0.545
1985	0.717
