# europe_swed002 - Muddas 2 (Recollection of Muddas Site A) - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: europe_swed002 - Muddas 2 (Recollection of Muddas Site A) - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Muddas 2 (Recollection of Muddas Site A)
#	Location:
#	Country: Sweden
#	Northernmost_Latitude: 66.85
#	Southernmost_Latitude: 66.85
#	Easternmost_Longitude: 20.37
#	Westernmost_Longitude: 20.37
#	Elevation: 450 m
#--------------------
# Data_Collection
#	Collection_Name: europe_swed002B
#	Earliest_Year: 1532
#	Most_Recent_Year: 1972
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"6.14823617216","T2":"19.3400805528","M1":"0.0223402836904","M2":"0.272505483861"}}
#--------------------
# Species
#	Species_Name: Scots pine
#	Species_Code: PISY
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1532	0.815
1533	0.844
1534	0.651
1535	0.957
1536	0.684
1537	1.377
1538	0.67
1539	0.615
1540	0.548
1541	0.473
1542	0.417
1543	0.405
1544	0.443
1545	0.393
1546	0.419
1547	0.553
1548	0.645
1549	0.703
1550	0.834
1551	0.747
1552	0.691
1553	0.798
1554	0.73
1555	0.855
1556	0.939
1557	0.836
1558	1.054
1559	0.955
1560	1.107
1561	1.024
1562	0.952
1563	0.942
1564	0.954
1565	0.984
1566	0.896
1567	0.842
1568	1.077
1569	0.931
1570	1.133
1571	1.01
1572	1.215
1573	1.224
1574	0.734
1575	1.372
1576	1.116
1577	1.051
1578	1.003
1579	1.175
1580	0.658
1581	0.996
1582	1.178
1583	1.151
1584	1.175
1585	1.29
1586	1.209
1587	1.016
1588	1.114
1589	0.963
1590	0.705
1591	1.048
1592	1.162
1593	0.979
1594	1.26
1595	0.964
1596	1.189
1597	1.111
1598	0.904
1599	1.232
1600	1.269
1601	0.571
1602	0.966
1603	1.062
1604	0.915
1605	0.705
1606	0.916
1607	0.689
1608	0.789
1609	0.592
1610	0.785
1611	0.783
1612	0.748
1613	0.872
1614	0.864
1615	0.738
1616	0.914
1617	1.092
1618	1.035
1619	1.093
1620	0.95
1621	1.338
1622	1.205
1623	1.057
1624	1.092
1625	1.179
1626	1.323
1627	1.138
1628	1.034
1629	1.113
1630	0.892
1631	0.846
1632	0.969
1633	0.801
1634	1.045
1635	0.86
1636	0.986
1637	1.01
1638	1.012
1639	0.947
1640	0.986
1641	0.617
1642	0.501
1643	0.928
1644	0.821
1645	0.677
1646	0.8
1647	0.976
1648	1.069
1649	1.084
1650	1
1651	0.974
1652	1.013
1653	1.079
1654	0.992
1655	1.444
1656	1.079
1657	1.061
1658	1.182
1659	0.688
1660	0.877
1661	0.869
1662	0.752
1663	0.98
1664	0.883
1665	1.035
1666	0.922
1667	0.892
1668	0.916
1669	0.849
1670	0.888
1671	1.046
1672	0.834
1673	0.752
1674	0.778
1675	0.893
1676	0.835
1677	0.465
1678	0.552
1679	0.557
1680	0.307
1681	0.482
1682	0.668
1683	0.807
1684	0.847
1685	0.892
1686	1.156
1687	1.245
1688	0.917
1689	1.137
1690	1.223
1691	1.531
1692	1.308
1693	1.468
1694	1.349
1695	0.897
1696	0.435
1697	1.009
1698	1.159
1699	0.8
1700	0.877
1701	1.008
1702	1.269
1703	1.367
1704	1.027
1705	0.69
1706	0.972
1707	1.138
1708	0.825
1709	0.487
1710	0.815
1711	0.934
1712	0.879
1713	0.959
1714	1.036
1715	1.063
1716	0.918
1717	0.891
1718	0.916
1719	0.88
1720	0.958
1721	0.801
1722	0.894
1723	1.017
1724	0.929
1725	1.058
1726	0.967
1727	1.083
1728	0.797
1729	0.925
1730	1.205
1731	1.003
1732	0.962
1733	0.948
1734	0.74
1735	0.876
1736	1.136
1737	0.85
1738	1.308
1739	1.243
1740	0.836
1741	0.598
1742	0.844
1743	0.931
1744	1.031
1745	0.857
1746	0.925
1747	0.743
1748	1.023
1749	1.039
1750	1.317
1751	1.254
1752	1.429
1753	1.248
1754	1.2
1755	1.524
1756	1.4
1757	1.502
1758	1.162
1759	1.319
1760	1.498
1761	1.375
1762	1.425
1763	1.382
1764	1.28
1765	1.104
1766	1.646
1767	1.234
1768	0.936
1769	0.879
1770	0.845
1771	0.838
1772	1.058
1773	1.047
1774	1.085
1775	1.17
1776	1.219
1777	1.178
1778	1.302
1779	1.195
1780	1.313
1781	1.046
1782	1.201
1783	0.889
1784	1.153
1785	1.283
1786	0.786
1787	0.819
1788	1.072
1789	1.17
1790	0.82
1791	0.92
1792	0.857
1793	0.739
1794	1.004
1795	1.199
1796	1.039
1797	0.958
1798	1.22
1799	1.398
1800	0.785
1801	0.926
1802	1.078
1803	0.712
1804	1.109
1805	1.167
1806	0.529
1807	0.853
1808	0.949
1809	0.913
1810	0.832
1811	1.042
1812	0.728
1813	0.809
1814	0.929
1815	0.894
1816	1.138
1817	1.09
