# europe_swed016 - Fjall Glaskogen Naturres - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: europe_swed016 - Fjall Glaskogen Naturres - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Fjall Glaskogen Naturres
#	Location:
#	Country: Sweden
#	Northernmost_Latitude: 59.47
#	Southernmost_Latitude: 59.47
#	Easternmost_Longitude: 12.4
#	Westernmost_Longitude: 12.4
#	Elevation: 250 m
#--------------------
# Data_Collection
#	Collection_Name: europe_swed016B
#	Earliest_Year: 1807
#	Most_Recent_Year: 1978
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"3.42976057126","T2":"14.2871563558","M1":"0.0232845759944","M2":"0.572473786521"}}
#--------------------
# Species
#	Species_Name: Scots pine
#	Species_Code: PISY
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1807	0.841
1808	0.842
1809	1.358
1810	1.511
1811	1.333
1812	0.969
1813	0.483
1814	0.333
1815	0.712
1816	0.627
1817	1.394
1818	0.984
1819	0.649
1820	0.634
1821	1.107
1822	0.744
1823	0.629
1824	1.057
1825	0.92
1826	1.121
1827	1.867
1828	2.25
1829	1.088
1830	1.362
1831	0.967
1832	0.873
1833	0.923
1834	0.895
1835	0.849
1836	0.983
1837	1.158
1838	0.932
1839	1.053
1840	1.007
1841	0.778
1842	0.92
1843	0.778
1844	1.315
1845	1.307
1846	1.194
1847	0.813
1848	1.389
1849	1.275
1850	1.054
1851	0.817
1852	0.63
1853	0.365
1854	0.757
1855	0.679
1856	0.911
1857	0.905
1858	0.964
1859	1.186
1860	1.288
1861	0.99
1862	1.184
1863	1.282
1864	1.09
1865	1.135
1866	1.165
1867	0.89
1868	0.765
1869	0.817
1870	1.007
1871	0.878
1872	0.979
1873	0.791
1874	1.012
1875	1.082
1876	0.931
1877	1.001
1878	1.32
1879	0.669
1880	0.929
1881	0.646
1882	1.266
1883	0.545
1884	1.095
1885	0.842
1886	0.896
1887	0.629
1888	0.622
1889	0.774
1890	0.792
1891	0.766
1892	1.038
1893	0.974
1894	1.098
1895	0.861
1896	0.985
1897	1.002
1898	1.132
1899	1.053
1900	0.942
1901	0.891
1902	0.704
1903	1.051
1904	0.825
1905	0.769
1906	0.79
1907	1.051
1908	0.92
1909	0.903
1910	1.234
1911	0.678
1912	0.806
1913	0.886
1914	0.932
1915	0.901
1916	1.056
1917	1.062
1918	1.288
1919	1.028
1920	1.252
1921	1.61
1922	1.439
1923	1.394
1924	1.295
1925	1.054
1926	0.976
1927	1.081
1928	0.863
1929	0.911
1930	0.642
1931	0.58
1932	0.792
1933	0.557
1934	0.672
1935	0.952
1936	0.832
1937	0.772
1938	0.669
1939	0.7
1940	0.608
1941	0.939
1942	1.068
1943	1.48
1944	1.182
1945	1.32
1946	1.111
1947	1.056
1948	0.856
1949	1.043
1950	1.053
1951	1.221
1952	1.432
1953	2.139
1954	1.894
1955	1.388
1956	1.361
1957	1.809
1958	1.602
1959	1.273
1960	0.794
1961	0.77
1962	0.83
1963	1.095
1964	1.409
1965	1.265
1966	0.805
1967	1.107
1968	1.019
1969	0.527
1970	0.499
1971	0.523
1972	0.593
1973	0.657
1974	0.755
1975	0.606
1976	0.614
1977	0.487
1978	0.55
