# europe_swit114 - Susten Zand Fichte - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: europe_swit114 - Susten Zand Fichte - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Susten Zand Fichte
#	Location:
#	Country: Switzerland
#	Northernmost_Latitude: 46.3
#	Southernmost_Latitude: 46.3
#	Easternmost_Longitude: 7.62
#	Westernmost_Longitude: 7.62
#	Elevation: 840 m
#--------------------
# Data_Collection
#	Collection_Name: europe_swit114B
#	Earliest_Year: 1806
#	Most_Recent_Year: 1980
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"5.72630343665","T2":"17.1891999701","M1":"0.0228961444623","M2":"0.399869731933"}}
#--------------------
# Species
#	Species_Name: Norway spruce
#	Species_Code: PCAB
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1806	0.807
1807	0.611
1808	0.914
1809	1.151
1810	1.001
1811	1.065
1812	1.366
1813	0.994
1814	1.088
1815	0.76
1816	1.229
1817	1.239
1818	1.025
1819	0.757
1820	0.734
1821	0.74
1822	0.446
1823	1.119
1824	1.3
1825	1.283
1826	0.827
1827	1.33
1828	0.725
1829	0.607
1830	1.206
1831	1.246
1832	0.86
1833	0.968
1834	0.583
1835	0.394
1836	0.874
1837	0.628
1838	0.908
1839	0.628
1840	0.647
1841	0.799
1842	0.818
1843	1.235
1844	0.664
1845	0.96
1846	1.173
1847	0.78
1848	0.795
1849	1.055
1850	0.993
1851	1.392
1852	1.818
1853	1.743
1854	1.572
1855	1.072
1856	1.217
1857	0.969
1858	0.644
1859	0.989
1860	1.017
1861	1.247
1862	0.857
1863	1.015
1864	1.163
1865	0.595
1866	0.903
1867	1.111
1868	1.129
1869	1.077
1870	0.745
1871	1.064
1872	1.132
1873	0.788
1874	0.488
1875	0.997
1876	1.366
1877	1.315
1878	1.795
1879	1.784
1880	1.316
1881	1.173
1882	0.89
1883	1.178
1884	0.873
1885	0.587
1886	0.564
1887	0.755
1888	0.877
1889	1.394
1890	1.001
1891	1.121
1892	0.845
1893	0.348
1894	0.414
1895	0.828
1896	1.153
1897	1.237
1898	1.384
1899	0.867
1900	1.101
1901	0.98
1902	1.252
1903	0.724
1904	1.149
1905	0.935
1906	0.866
1907	0.95
1908	0.697
1909	0.571
1910	0.709
1911	0.714
1912	0.82
1913	0.696
1914	0.846
1915	0.857
1916	1.394
1917	0.868
1918	1.312
1919	1.285
1920	1.202
1921	0.029
1922	0.908
1923	1.171
1924	0.954
1925	0.297
1926	0.798
1927	0.87
1928	0.796
1929	0.948
1930	0.642
1931	0.763
1932	1.288
1933	0.794
1934	0.813
1935	0.91
1936	0.83
1937	1.073
1938	0.694
1939	0.791
1940	1.433
1941	1.346
1942	0.703
1943	1.034
1944	0.287
1945	0.933
1946	1.299
1947	0.776
1948	0.61
1949	0.72
1950	0.576
1951	0.813
1952	0.901
1953	1.149
1954	0.877
1955	1.305
1956	1.156
1957	1.359
1958	1.288
1959	0.895
1960	0.868
1961	1.178
1962	0.994
1963	1.409
1964	1.256
1965	1.451
1966	1.345
1967	1.431
1968	0.901
1969	1.481
1970	1.101
1971	1.194
1972	0.896
1973	0.896
1974	0.694
1975	1.032
1976	0.407
1977	0.915
1978	1.12
1979	1.091
1980	1.453
