# europe_swit167w - Simmental, Iffigenalp - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: europe_swit167w - Simmental, Iffigenalp - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Simmental, Iffigenalp
#	Location:
#	Country: Switzerland
#	Northernmost_Latitude: 46.4
#	Southernmost_Latitude: 46.4
#	Easternmost_Longitude: 7.43
#	Westernmost_Longitude: 7.43
#	Elevation: 1900 m
#--------------------
# Data_Collection
#	Collection_Name: europe_swit167wB
#	Earliest_Year: 1783
#	Most_Recent_Year: 1986
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"5.65283870719","T2":"17.1759975651","M1":"0.0228485950347","M2":"0.403267582139"}}
#--------------------
# Species
#	Species_Name: krummholz pine
#	Species_Code: PIMU
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1783	1.045
1784	1.221
1785	0.955
1786	1.036
1787	1.145
1788	1.469
1789	1.087
1790	1.121
1791	1.223
1792	1.171
1793	0.957
1794	1.349
1795	1.178
1796	1.346
1797	1.237
1798	1.168
1799	0.997
1800	1.112
1801	1.017
1802	0.888
1803	0.859
1804	1.086
1805	0.974
1806	0.901
1807	1.239
1808	1.069
1809	0.924
1810	0.866
1811	1.126
1812	0.961
1813	0.639
1814	0.846
1815	0.75
1816	0.645
1817	0.546
1818	0.828
1819	1.073
1820	1.075
1821	0.813
1822	0.801
1823	0.978
1824	0.945
1825	1.048
1826	0.873
1827	1.102
1828	1.226
1829	1.124
1830	0.85
1831	1.03
1832	0.837
1833	0.905
1834	1.065
1835	0.953
1836	0.645
1837	1.123
1838	1.071
1839	0.941
1840	1.293
1841	1.146
1842	1.312
1843	1.012
1844	1.073
1845	0.993
1846	1.258
1847	1.031
1848	1.026
1849	0.806
1850	0.738
1851	0.515
1852	0.797
1853	1.132
1854	1.076
1855	1.034
1856	0.92
1857	0.834
1858	0.653
1859	0.796
1860	0.767
1861	0.901
1862	0.973
1863	1.154
1864	1.268
1865	1.248
1866	1.102
1867	1.512
1868	1.176
1869	1.268
1870	0.912
1871	1.094
1872	1.028
1873	1.033
1874	0.974
1875	0.912
1876	0.785
1877	0.794
1878	0.861
1879	0.776
1880	0.666
1881	0.958
1882	0.882
1883	0.965
1884	0.782
1885	0.826
1886	0.563
1887	0.857
1888	0.713
1889	0.813
1890	0.631
1891	0.69
1892	0.68
1893	0.871
1894	1.002
1895	0.895
1896	0.804
1897	0.86
1898	1.032
1899	0.963
1900	1.095
1901	0.889
1902	0.798
1903	1.023
1904	1.112
1905	1.101
1906	0.83
1907	1.137
1908	1.482
1909	1.269
1910	1.336
1911	1.358
1912	0.944
1913	0.769
1914	1.312
1915	1.202
1916	1.155
1917	1.261
1918	0.874
1919	0.979
1920	0.611
1921	0.859
1922	0.776
1923	0.706
1924	0.926
1925	0.99
1926	0.941
1927	1.149
1928	0.952
1929	0.815
1930	0.918
1931	1.037
1932	1.073
1933	0.804
1934	0.872
1935	0.993
1936	0.989
1937	1.006
1938	1.076
1939	1.287
1940	0.973
1941	0.835
1942	0.733
1943	1.017
1944	0.89
1945	0.676
1946	1.391
1947	1.183
1948	0.831
1949	0.922
1950	1.08
1951	1.392
1952	1.351
1953	0.949
1954	0.929
1955	1.04
1956	1.02
1957	0.844
1958	1.455
1959	0.997
1960	0.961
1961	0.818
1962	0.869
1963	0.65
1964	1.038
1965	0.954
1966	1.047
1967	0.974
1968	1.043
1969	1.288
1970	1.277
1971	0.944
1972	1.019
1973	0.958
1974	0.794
1975	0.702
1976	0.77
1977	0.873
1978	0.955
1979	0.859
1980	1.131
1981	0.888
1982	1.522
1983	1.373
1984	1.177
1985	1.176
1986	0.864
