# europe_swit169w - Simmental, Iffigenalp - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: europe_swit169w - Simmental, Iffigenalp - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Simmental, Iffigenalp
#	Location:
#	Country: Switzerland
#	Northernmost_Latitude: 46.4
#	Southernmost_Latitude: 46.4
#	Easternmost_Longitude: 7.43
#	Westernmost_Longitude: 7.43
#	Elevation: 1900 m
#--------------------
# Data_Collection
#	Collection_Name: europe_swit169wB
#	Earliest_Year: 1810
#	Most_Recent_Year: 1986
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.92553240704","T2":"16.8836049489","M1":"0.0221629495422","M2":"0.405751501465"}}
#--------------------
# Species
#	Species_Name: Norway spruce
#	Species_Code: PCAB
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1810	0.669
1811	0.877
1812	0.754
1813	0.676
1814	0.73
1815	0.717
1816	0.632
1817	0.734
1818	0.669
1819	0.738
1820	0.756
1821	0.576
1822	1.111
1823	0.944
1824	1.087
1825	0.997
1826	0.9
1827	1.066
1828	1.063
1829	1.014
1830	0.885
1831	1.141
1832	0.794
1833	0.988
1834	1.141
1835	1.228
1836	0.899
1837	0.986
1838	0.96
1839	1.109
1840	0.888
1841	0.861
1842	1.397
1843	0.804
1844	1.016
1845	0.907
1846	1.222
1847	0.805
1848	0.949
1849	1.034
1850	0.959
1851	0.885
1852	0.906
1853	1.103
1854	0.862
1855	1.039
1856	0.825
1857	0.94
1858	0.784
1859	0.825
1860	0.719
1861	0.821
1862	0.501
1863	0.894
1864	1.097
1865	1.106
1866	1.117
1867	1.434
1868	1.26
1869	1.142
1870	1.067
1871	0.894
1872	0.944
1873	1.174
1874	1.091
1875	1.061
1876	1.127
1877	1.129
1878	1.204
1879	1.09
1880	0.826
1881	1.332
1882	1.228
1883	1.009
1884	0.951
1885	1.359
1886	0.756
1887	1.223
1888	0.914
1889	1.212
1890	1.046
1891	1.144
1892	1.338
1893	1.385
1894	1.348
1895	1.358
1896	1.389
1897	1.56
1898	1.01
1899	0.912
1900	1.093
1901	1.346
1902	1.176
1903	1.115
1904	1.173
1905	1.172
1906	0.978
1907	0.832
1908	1.418
1909	0.684
1910	1.16
1911	0.975
1912	0.705
1913	0.708
1914	0.789
1915	0.825
1916	0.695
1917	0.879
1918	0.604
1919	0.824
1920	0.72
1921	1.059
1922	0.973
1923	1.196
1924	1.157
1925	1.052
1926	0.873
1927	1.343
1928	1.079
1929	0.765
1930	0.737
1931	1.044
1932	0.762
1933	0.554
1934	0.57
1935	0.811
1936	0.815
1937	0.934
1938	0.861
1939	0.823
1940	0.774
1941	0.829
1942	1.036
1943	1.001
1944	0.961
1945	1.245
1946	0.946
1947	1.289
1948	0.571
1949	0.84
1950	1.011
1951	1.03
1952	1.034
1953	0.854
1954	0.761
1955	0.935
1956	0.842
1957	0.956
1958	0.93
1959	0.899
1960	0.849
1961	0.798
1962	0.812
1963	0.893
1964	0.986
1965	0.985
1966	1.037
1967	1.174
1968	0.965
1969	1.107
1970	1.29
1971	1.151
1972	1.138
1973	1.247
1974	0.831
1975	0.939
1976	1.073
1977	1.051
1978	0.835
1979	1.13
1980	1.148
1981	0.99
1982	1.503
1983	1.122
1984	1.002
1985	0.884
1986	0.771
