# europe_turk012 - Salamut Forest - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: europe_turk012 - Salamut Forest - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Salamut Forest
#	Location:
#	Country: Turkey
#	Northernmost_Latitude: 38.03
#	Southernmost_Latitude: 38.03
#	Easternmost_Longitude: 31.8
#	Westernmost_Longitude: 31.8
#	Elevation: 1400 m
#--------------------
# Data_Collection
#	Collection_Name: europe_turk012B
#	Earliest_Year: 1765
#	Most_Recent_Year: 1995
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.0848521517","T2":"15.5877086989","M1":"0.0225805446115","M2":"0.460088158807"}}
#--------------------
# Species
#	Species_Name: cedar of Lebanone
#	Species_Code: CDLI
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1765	1.093
1766	1.116
1767	0.774
1768	0.742
1769	0.795
1770	0.714
1771	1.069
1772	0.844
1773	0.815
1774	0.862
1775	0.85
1776	0.892
1777	0.939
1778	1.283
1779	0.862
1780	1.022
1781	1.026
1782	1.019
1783	1.097
1784	1.03
1785	0.997
1786	0.93
1787	0.743
1788	1.16
1789	0.841
1790	0.794
1791	0.877
1792	0.98
1793	0.857
1794	0.786
1795	0.958
1796	0.672
1797	0.72
1798	0.795
1799	0.802
1800	0.705
1801	0.803
1802	0.612
1803	0.925
1804	0.894
1805	1.016
1806	0.589
1807	0.625
1808	0.845
1809	0.961
1810	0.946
1811	1.341
1812	0.994
1813	0.778
1814	0.876
1815	0.984
1816	1.075
1817	0.87
1818	1.012
1819	0.904
1820	0.745
1821	0.991
1822	0.734
1823	0.8
1824	0.78
1825	0.815
1826	0.587
1827	1.095
1828	0.846
1829	0.871
1830	0.664
1831	0.958
1832	1.026
1833	0.947
1834	0.618
1835	0.791
1836	0.597
1837	0.647
1838	0.775
1839	0.66
1840	0.552
1841	0.933
1842	1.022
1843	1.166
1844	0.835
1845	0.769
1846	1.072
1847	1.263
1848	1.372
1849	1.06
1850	0.62
1851	0.372
1852	0.394
1853	0.819
1854	0.592
1855	0.535
1856	0.323
1857	0.634
1858	0.663
1859	1.004
1860	0.943
1861	1.065
1862	0.794
1863	0.72
1864	1.042
1865	1.318
1866	1.381
1867	1.129
1868	0.528
1869	0.458
1870	0.6
1871	0.979
1872	1.157
1873	1.327
1874	0.829
1875	0.761
1876	1.228
1877	1.413
1878	1.245
1879	0.981
1880	0.86
1881	0.9
1882	1.01
1883	1.259
1884	1.119
1885	1.399
1886	1.091
1887	0.908
1888	0.852
1889	0.977
1890	0.89
1891	0.825
1892	0.717
1893	0.4
1894	0.413
1895	0.697
1896	0.942
1897	1.09
1898	0.768
1899	0.776
1900	1.047
1901	1.342
1902	1.231
1903	1.086
1904	1.245
1905	1.017
1906	0.836
1907	0.692
1908	0.996
1909	0.862
1910	0.859
1911	0.771
1912	0.867
1913	1.113
1914	1.247
1915	1.189
1916	0.903
1917	0.993
1918	1.091
1919	1.417
1920	1.038
1921	1.003
1922	1.386
1923	1.239
1924	1.262
1925	0.991
1926	1.142
1927	1.143
1928	1.09
1929	0.843
1930	1.217
1931	1.175
1932	0.785
1933	0.882
1934	1.146
1935	0.691
1936	0.869
1937	1.088
1938	0.964
1939	1.092
1940	1.136
1941	1.115
1942	1.054
1943	0.634
1944	0.637
1945	0.849
1946	0.93
1947	1.285
1948	0.976
1949	0.56
1950	0.684
1951	1.126
1952	1.3
1953	0.937
1954	0.819
1955	0.954
1956	0.901
1957	0.835
1958	0.903
1959	1.25
1960	1.138
1961	1.008
1962	0.889
1963	1.3
1964	1.45
1965	0.891
1966	1.125
1967	1.145
1968	0.948
1969	1.096
1970	1.291
1971	1.571
1972	1.455
1973	1.416
1974	1.427
1975	1.329
1976	1.334
1977	1.278
1978	1.189
1979	1.478
1980	0.741
1981	0.84
1982	1.096
1983	1.225
1984	1.032
1985	1.111
1986	1.12
1987	1.011
1988	1.181
1989	1.249
1990	1.031
1991	1.39
1992	1.205
1993	0.899
1994	1.135
1995	1.015
