# europe_turk022 - Oltu Forest - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: europe_turk022 - Oltu Forest - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Oltu Forest
#	Location:
#	Country: Turkey
#	Northernmost_Latitude: 40.55
#	Southernmost_Latitude: 40.55
#	Easternmost_Longitude: 41.98
#	Westernmost_Longitude: 41.98
#	Elevation: 2100 m
#--------------------
# Data_Collection
#	Collection_Name: europe_turk022B
#	Earliest_Year: 1792
#	Most_Recent_Year: 2001
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.75676063849","T2":"16.155874885","M1":"0.0216058168409","M2":"0.535346921965"}}
#--------------------
# Species
#	Species_Name: Scots pine
#	Species_Code: PISY
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1792	1.16
1793	1.099
1794	0.966
1795	1.191
1796	0.838
1797	0.757
1798	1.015
1799	1.287
1800	1.022
1801	0.92
1802	0.917
1803	0.92
1804	0.999
1805	1.179
1806	1.041
1807	1.072
1808	0.952
1809	1.026
1810	1.261
1811	1.714
1812	1.066
1813	0.859
1814	1.11
1815	1.059
1816	0.998
1817	1.072
1818	1.149
1819	0.873
1820	0.92
1821	1.253
1822	0.818
1823	0.864
1824	0.994
1825	0.887
1826	0.955
1827	0.969
1828	0.976
1829	0.852
1830	0.942
1831	1.068
1832	0.811
1833	0.925
1834	0.994
1835	1.338
1836	1.165
1837	1.141
1838	1.199
1839	0.802
1840	0.87
1841	1.036
1842	0.779
1843	1.196
1844	1.136
1845	0.947
1846	1.203
1847	1.281
1848	1.234
1849	1.371
1850	1.206
1851	0.842
1852	0.868
1853	0.873
1854	0.921
1855	1.077
1856	0.768
1857	0.473
1858	0.667
1859	0.812
1860	0.859
1861	0.89
1862	0.831
1863	1.048
1864	1.207
1865	1.381
1866	1.209
1867	1.088
1868	1.082
1869	0.918
1870	1.01
1871	1.207
1872	0.946
1873	0.857
1874	0.933
1875	1.11
1876	1.036
1877	1.014
1878	1.211
1879	1.146
1880	0.99
1881	1.276
1882	1.054
1883	1.281
1884	1.052
1885	1.239
1886	1.044
1887	1.012
1888	1.074
1889	1.332
1890	0.904
1891	1.299
1892	0.768
1893	0.893
1894	0.668
1895	1.005
1896	0.863
1897	0.884
1898	0.783
1899	0.741
1900	0.914
1901	1.05
1902	0.827
1903	1.205
1904	1.228
1905	1.104
1906	1.126
1907	0.98
1908	0.912
1909	0.658
1910	1.046
1911	0.878
1912	0.742
1913	0.788
1914	0.794
1915	0.844
1916	0.857
1917	1.043
1918	0.696
1919	0.741
1920	0.881
1921	0.877
1922	1.155
1923	1.222
1924	1.113
1925	1.043
1926	1.051
1927	1.179
1928	0.84
1929	1.035
1930	1.451
1931	1.35
1932	0.836
1933	0.887
1934	0.983
1935	0.81
1936	1.04
1937	1.014
1938	0.87
1939	1.097
1940	1.534
1941	1.03
1942	1.055
1943	0.917
1944	0.918
1945	0.692
1946	0.663
1947	0.853
1948	0.762
1949	0.58
1950	0.878
1951	1.095
1952	0.997
1953	1.108
1954	1.086
1955	0.694
1956	0.506
1957	0.681
1958	0.608
1959	0.898
1960	1.02
1961	0.852
1962	1.166
1963	1.257
1964	0.988
1965	0.97
1966	0.87
1967	1.24
1968	1.025
1969	0.764
1970	1.075
1971	1.302
1972	1.099
1973	1.181
1974	0.752
1975	1.092
1976	1.086
1977	1.08
1978	0.839
1979	1.071
1980	1.018
1981	1.071
1982	0.735
1983	0.868
1984	0.715
1985	0.656
1986	0.917
1987	0.916
1988	1.094
1989	0.814
1990	0.934
1991	1.103
1992	0.892
1993	0.769
1994	0.965
1995	1.012
1996	0.739
1997	0.783
1998	1.229
1999	0.965
2000	0.698
2001	0.746
