# northamerica_canada_cana077 - Coats River (Feucht) - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_canada_cana077 - Coats River (Feucht) - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Coats River (Feucht)
#	Location:
#	Country: Canada
#	Northernmost_Latitude: 55.73
#	Southernmost_Latitude: 55.73
#	Easternmost_Longitude: -76.15
#	Westernmost_Longitude: -76.15
#	Elevation: 1000 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_canada_cana077B
#	Earliest_Year: 1809
#	Most_Recent_Year: 1988
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.22656327215","T2":"16.9983812425","M1":"0.0222397058006","M2":"0.385794794776"}}
#--------------------
# Species
#	Species_Name: black spruce
#	Species_Code: PCMA
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1809	1.176
1810	1.017
1811	1.209
1812	1.106
1813	0.916
1814	0.984
1815	1.02
1816	0.755
1817	0.865
1818	0.748
1819	0.687
1820	0.686
1821	0.89
1822	0.98
1823	0.707
1824	0.757
1825	0.729
1826	0.806
1827	0.663
1828	0.826
1829	0.831
1830	0.994
1831	0.922
1832	0.891
1833	0.884
1834	0.925
1835	0.656
1836	0.82
1837	0.631
1838	0.594
1839	0.71
1840	0.673
1841	0.837
1842	0.729
1843	0.558
1844	0.749
1845	0.794
1846	0.819
1847	0.74
1848	0.781
1849	0.851
1850	0.993
1851	1.016
1852	0.815
1853	0.897
1854	0.814
1855	0.69
1856	0.77
1857	0.681
1858	0.725
1859	0.843
1860	0.884
1861	1.0
1862	0.738
1863	1.001
1864	0.926
1865	0.859
1866	0.799
1867	0.951
1868	1.15
1869	0.872
1870	1.218
1871	0.907
1872	1.071
1873	1.194
1874	1.201
1875	0.987
1876	0.976
1877	1.211
1878	1.205
1879	1.154
1880	1.128
1881	1.134
1882	1.274
1883	1.251
1884	1.169
1885	1.329
1886	1.283
1887	1.318
1888	1.173
1889	0.92
1890	0.957
1891	1.058
1892	0.935
1893	1.11
1894	0.978
1895	1.083
1896	0.973
1897	1.017
1898	0.866
1899	1.051
1900	1.041
1901	1.196
1902	1.208
1903	1.191
1904	1.069
1905	1.008
1906	1.104
1907	1.081
1908	1.095
1909	1.237
1910	1.23
1911	1.23
1912	1.048
1913	1.267
1914	1.278
1915	1.313
1916	1.383
1917	1.439
1918	1.308
1919	1.295
1920	1.111
1921	1.285
1922	1.003
1923	1.28
1924	1.325
1925	1.101
1926	0.626
1927	0.866
1928	1.099
1929	0.848
1930	0.996
1931	0.959
1932	1.003
1933	0.862
1934	1.008
1935	1.321
1936	1.206
1937	1.267
1938	1.2
1939	1.007
1940	0.826
1941	1.279
1942	1.279
1943	1.296
1944	1.273
1945	1.137
1946	1.21
1947	1.348
1948	1.24
1949	0.879
1950	0.953
1951	1.035
1952	1.038
1953	1.061
1954	1.107
1955	0.962
1956	0.902
1957	0.981
1958	0.856
1959	1.06
1960	1.004
1961	0.81
1962	0.847
1963	0.981
1964	0.72
1965	0.694
1966	0.786
1967	0.905
1968	0.775
1969	0.7
1970	0.671
1971	0.575
1972	0.726
1973	0.69
1974	0.71
1975	0.777
1976	0.769
1977	0.649
1978	0.723
1979	0.891
1980	0.609
1981	0.589
1982	0.715
1983	0.844
1984	0.878
1985	0.908
1986	0.793
1987	0.911
1988	0.769
