# northamerica_canada_cana086 - Gnat Pass Dease Lake - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_canada_cana086 - Gnat Pass Dease Lake - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Gnat Pass Dease Lake
#	Location:
#	Country: Canada
#	Northernmost_Latitude: 58.33
#	Southernmost_Latitude: 58.33
#	Easternmost_Longitude: -129.92
#	Westernmost_Longitude: -129.92
#	Elevation: 1200 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_canada_cana086B
#	Earliest_Year: 1795
#	Most_Recent_Year: 1983
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.33805184552","T2":"17.9010888696","M1":"0.0222370583177","M2":"0.350388735134"}}
#--------------------
# Species
#	Species_Name: white spruce
#	Species_Code: PCGL
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1795	1.05
1796	1.092
1797	1.04
1798	1.074
1799	0.922
1800	1.012
1801	1.109
1802	0.823
1803	0.989
1804	1.097
1805	1.19
1806	1.165
1807	0.992
1808	1.276
1809	1.242
1810	0.953
1811	1.046
1812	0.807
1813	0.925
1814	0.717
1815	0.761
1816	1.064
1817	0.765
1818	0.928
1819	0.943
1820	1.001
1821	0.979
1822	0.875
1823	0.93
1824	0.915
1825	0.892
1826	0.971
1827	0.999
1828	1.074
1829	1.072
1830	0.914
1831	0.876
1832	1.197
1833	1.132
1834	1.127
1835	0.972
1836	0.83
1837	1.066
1838	1.162
1839	1.339
1840	1.243
1841	1.371
1842	1.274
1843	1.125
1844	1.427
1845	1.104
1846	0.94
1847	1.068
1848	1.191
1849	0.966
1850	1.04
1851	1.052
1852	1.077
1853	0.796
1854	1.096
1855	1.079
1856	0.948
1857	1.158
1858	1.224
1859	1.082
1860	1.161
1861	1.044
1862	1.229
1863	1.297
1864	1.104
1865	0.997
1866	0.928
1867	1.072
1868	1.119
1869	0.889
1870	0.814
1871	0.837
1872	0.872
1873	0.824
1874	0.941
1875	0.972
1876	0.934
1877	0.819
1878	0.707
1879	0.935
1880	0.852
1881	0.959
1882	0.945
1883	0.745
1884	0.839
1885	0.797
1886	0.792
1887	0.596
1888	0.909
1889	0.715
1890	0.975
1891	0.983
1892	0.941
1893	0.931
1894	1.041
1895	1.059
1896	0.941
1897	0.874
1898	0.818
1899	0.817
1900	0.72
1901	0.787
1902	0.819
1903	0.81
1904	0.701
1905	1.162
1906	0.755
1907	0.96
1908	0.831
1909	0.839
1910	0.731
1911	0.862
1912	0.869
1913	0.935
1914	0.898
1915	0.926
1916	0.772
1917	0.882
1918	1.084
1919	0.66
1920	0.77
1921	0.786
1922	1.116
1923	1.019
1924	0.821
1925	0.899
1926	0.738
1927	0.969
1928	0.88
1929	0.857
1930	0.924
1931	0.83
1932	0.862
1933	0.787
1934	1.026
1935	1.077
1936	1.268
1937	1.102
1938	1.326
1939	1.417
1940	0.84
1941	1.155
1942	1.259
1943	1.387
1944	1.621
1945	1.336
1946	1.578
1947	1.33
1948	1.49
1949	0.927
1950	1.376
1951	1.256
1952	0.882
1953	1.017
1954	0.987
1955	1.101
1956	0.834
1957	1.152
1958	1.226
1959	0.833
1960	0.665
1961	1.185
1962	0.937
1963	0.856
1964	0.987
1965	1.095
1966	1.195
1967	1.131
1968	0.958
1969	1.077
1970	0.846
1971	1.055
1972	0.973
1973	0.716
1974	0.745
1975	1.206
1976	0.842
1977	0.867
1978	0.875
1979	0.865
1980	1.079
1981	0.872
1982	1.16
1983	0.999
