# northamerica_canada_cana105 - Athabasca River - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_canada_cana105 - Athabasca River - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Athabasca River
#	Location:
#	Country: Canada
#	Northernmost_Latitude: 58.37
#	Southernmost_Latitude: 58.37
#	Easternmost_Longitude: -111.5
#	Westernmost_Longitude: -111.5
#	Elevation: 75 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_canada_cana105B
#	Earliest_Year: 1732
#	Most_Recent_Year: 1970
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"3.85586924373","T2":"15.5033242794","M1":"0.0234555460686","M2":"0.504007831499"}}
#--------------------
# Species
#	Species_Name: white spruce
#	Species_Code: PCGL
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1732	1.238
1733	1.379
1734	1.0
1735	0.997
1736	0.976
1737	0.908
1738	1.126
1739	1.066
1740	0.699
1741	0.972
1742	1.033
1743	0.825
1744	0.785
1745	0.915
1746	0.982
1747	0.846
1748	1.089
1749	0.922
1750	1.279
1751	0.993
1752	1.071
1753	0.976
1754	1.079
1755	1.088
1756	0.982
1757	0.817
1758	0.69
1759	0.947
1760	0.895
1761	1.082
1762	1.096
1763	0.982
1764	0.975
1765	1.348
1766	1.059
1767	1.031
1768	1.106
1769	1.061
1770	1.041
1771	0.907
1772	0.832
1773	0.853
1774	0.818
1775	0.973
1776	0.716
1777	0.915
1778	0.997
1779	1.216
1780	0.977
1781	0.805
1782	1.136
1783	1.293
1784	0.998
1785	1.032
1786	1.014
1787	1.093
1788	0.819
1789	0.842
1790	0.608
1791	1.015
1792	0.801
1793	0.603
1794	0.993
1795	1.144
1796	1.359
1797	1.293
1798	0.771
1799	1.104
1800	0.977
1801	1.015
1802	1.187
1803	0.835
1804	1.124
1805	1.235
1806	1.316
1807	0.959
1808	0.782
1809	0.983
1810	1.006
1811	1.352
1812	1.606
1813	1.505
1814	0.764
1815	0.714
1816	1.169
1817	0.965
1818	1.06
1819	0.997
1820	0.996
1821	1.072
1822	1.097
1823	1.114
1824	0.653
1825	1.033
1826	0.918
1827	0.971
1828	1.089
1829	0.976
1830	0.932
1831	0.981
1832	1.143
1833	1.099
1834	1.098
1835	0.93
1836	1.146
1837	0.766
1838	0.955
1839	0.915
1840	0.853
1841	0.761
1842	0.93
1843	0.777
1844	0.54
1845	0.7
1846	0.324
1847	0.749
1848	0.725
1849	0.814
1850	0.792
1851	0.949
1852	1.158
1853	1.165
1854	1.099
1855	0.81
1856	0.854
1857	0.765
1858	1.141
1859	1.218
1860	1.019
1861	1.04
1862	0.921
1863	0.983
1864	0.903
1865	0.654
1866	0.719
1867	0.506
1868	0.657
1869	0.393
1870	0.807
1871	0.936
1872	1.125
1873	1.041
1874	1.226
1875	1.26
1876	0.778
1877	1.138
1878	0.645
1879	0.446
1880	0.757
1881	0.934
1882	1.314
1883	1.394
1884	0.834
1885	0.864
1886	1.049
1887	1.117
1888	1.246
1889	1.013
1890	0.787
1891	0.858
1892	0.417
1893	0.811
1894	0.869
1895	0.779
1896	1.072
1897	0.75
1898	0.557
1899	0.696
1900	0.939
1901	1.34
1902	1.241
1903	1.05
1904	1.392
1905	1.176
1906	0.969
1907	0.835
1908	0.936
1909	1.127
1910	1.117
1911	1.57
1912	1.121
1913	1.228
1914	1.079
1915	0.964
1916	1.119
1917	0.916
1918	1.201
1919	1.085
1920	0.964
1921	1.235
1922	1.479
1923	1.345
1924	0.958
1925	1.396
1926	0.942
1927	1.1
1928	0.83
1929	1.026
1930	1.111
1931	0.775
1932	1.14
1933	1.307
1934	1.567
1935	1.774
1936	1.561
1937	0.904
1938	0.449
1939	0.518
1940	0.589
1941	0.943
1942	0.688
1943	0.644
1944	0.649
1945	0.494
1946	0.449
1947	0.858
1948	0.959
1949	0.999
1950	0.786
1951	0.917
1952	0.815
1953	0.605
1954	0.713
1955	0.76
1956	0.89
1957	0.903
1958	1.168
1959	1.251
1960	1.138
1961	1.007
1962	1.143
1963	1.676
1964	1.185
1965	1.43
1966	1.041
1967	1.149
1968	1.134
1969	1.457
1970	1.243
