# northamerica_canada_cana216 - Peace River 1 Recollection - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_canada_cana216 - Peace River 1 Recollection - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Peace River 1 Recollection
#	Location:
#	Country: Canada
#	Northernmost_Latitude: 58.97
#	Southernmost_Latitude: 58.97
#	Easternmost_Longitude: -111.25
#	Westernmost_Longitude: -111.25
#	Elevation: 74 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_canada_cana216B
#	Earliest_Year: 1803
#	Most_Recent_Year: 2000
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.1441265007","T2":"15.4475568037","M1":"0.0232286090193","M2":"0.518263322307"}}
#--------------------
# Species
#	Species_Name: white spruce
#	Species_Code: PCGL
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1803	1.06
1804	1.312
1805	1.356
1806	1.19
1807	1.037
1808	1.141
1809	1.41
1810	1.338
1811	1.287
1812	1.042
1813	0.931
1814	0.707
1815	0.684
1816	0.502
1817	0.605
1818	0.656
1819	0.721
1820	0.809
1821	0.628
1822	0.708
1823	0.824
1824	0.973
1825	0.831
1826	0.808
1827	0.789
1828	0.829
1829	0.918
1830	0.865
1831	1.245
1832	1.348
1833	1.399
1834	1.104
1835	0.835
1836	1.149
1837	0.949
1838	0.855
1839	0.948
1840	0.939
1841	1.109
1842	1.164
1843	0.92
1844	1.085
1845	1.025
1846	0.581
1847	1.111
1848	1.265
1849	1.291
1850	1.167
1851	1.241
1852	1.383
1853	1.421
1854	0.914
1855	1.225
1856	1.12
1857	1.106
1858	1.169
1859	1.164
1860	1.097
1861	0.8
1862	0.735
1863	0.861
1864	1.031
1865	0.936
1866	1.237
1867	1.058
1868	1.041
1869	0.526
1870	1.119
1871	1.309
1872	1.094
1873	1.336
1874	1.311
1875	1.432
1876	1.139
1877	1.313
1878	1.06
1879	0.892
1880	0.937
1881	1.028
1882	1.201
1883	0.971
1884	0.795
1885	0.628
1886	0.502
1887	0.572
1888	0.541
1889	0.595
1890	0.57
1891	0.75
1892	0.732
1893	0.735
1894	0.835
1895	0.97
1896	0.863
1897	0.938
1898	0.878
1899	0.931
1900	1.01
1901	1.177
1902	0.815
1903	0.867
1904	0.916
1905	1.015
1906	0.99
1907	0.797
1908	0.917
1909	0.857
1910	0.966
1911	0.998
1912	0.643
1913	0.587
1914	0.672
1915	0.516
1916	0.58
1917	0.733
1918	0.882
1919	1.125
1920	0.687
1921	1.27
1922	1.293
1923	1.131
1924	1.055
1925	1.196
1926	1.053
1927	1.252
1928	0.605
1929	0.639
1930	0.986
1931	1.156
1932	1.401
1933	1.26
1934	1.383
1935	1.593
1936	1.355
1937	0.968
1938	0.734
1939	0.378
1940	0.548
1941	0.685
1942	0.521
1943	0.356
1944	0.385
1945	0.207
1946	0.321
1947	0.506
1948	0.645
1949	0.41
1950	0.44
1951	0.588
1952	0.537
1953	0.652
1954	0.602
1955	0.668
1956	1.014
1957	0.979
1958	1.265
1959	1.597
1960	1.411
1961	1.219
1962	1.17
1963	1.645
1964	1.647
1965	1.898
1966	1.617
1967	1.464
1968	1.466
1969	1.278
1970	0.822
1971	0.995
1972	0.946
1973	0.878
1974	1.055
1975	1.478
1976	1.382
1977	1.242
1978	1.252
1979	1.257
1980	0.876
1981	0.832
1982	0.431
1983	0.764
1984	0.936
1985	1.005
1986	1.275
1987	1.165
1988	1.197
1989	1.481
1990	0.946
1991	1.191
1992	1.1
1993	1.349
1994	1.529
1995	1.044
1996	1.394
1997	1.319
1998	1.06
1999	0.684
2000	0.684
