# northamerica_canada_cana237 - Pavilion Mountain - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_canada_cana237 - Pavilion Mountain - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Pavilion Mountain
#	Location:
#	Country: Canada
#	Northernmost_Latitude: 50.98
#	Southernmost_Latitude: 50.98
#	Easternmost_Longitude: -121.72
#	Westernmost_Longitude: -121.72
#	Elevation: 1950 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_canada_cana237B
#	Earliest_Year: 1744
#	Most_Recent_Year: 1997
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"6.56831719464","T2":"18.0727072004","M1":"0.022396683317","M2":"0.327506953613"}}
#--------------------
# Species
#	Species_Name: Engelmann spruce
#	Species_Code: PCEN
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1744	0.877
1745	1.168
1746	0.67
1747	0.997
1748	1.08
1749	0.99
1750	0.97
1751	0.882
1752	0.789
1753	0.991
1754	0.946
1755	0.711
1756	1.163
1757	1.183
1758	1.017
1759	0.908
1760	0.998
1761	0.932
1762	0.81
1763	0.873
1764	1.048
1765	0.785
1766	0.925
1767	1.097
1768	1.079
1769	1.216
1770	0.877
1771	1.063
1772	0.925
1773	1.212
1774	0.949
1775	0.782
1776	0.864
1777	1.029
1778	0.87
1779	0.956
1780	1.014
1781	1.086
1782	0.698
1783	1.145
1784	0.975
1785	0.982
1786	1.118
1787	1.067
1788	1.135
1789	1.119
1790	1.211
1791	1.095
1792	1.175
1793	0.953
1794	1.161
1795	1.235
1796	0.992
1797	0.98
1798	1.02
1799	0.786
1800	0.855
1801	0.973
1802	0.724
1803	0.941
1804	1.123
1805	1.131
1806	1.09
1807	0.997
1808	0.963
1809	1.007
1810	0.942
1811	1.195
1812	0.983
1813	1.018
1814	0.847
1815	0.891
1816	1.043
1817	1.203
1818	0.899
1819	0.891
1820	1.169
1821	0.963
1822	0.937
1823	0.964
1824	0.486
1825	0.825
1826	0.81
1827	0.873
1828	0.935
1829	1.129
1830	1.105
1831	1.101
1832	0.725
1833	0.943
1834	0.993
1835	0.941
1836	0.713
1837	0.801
1838	0.515
1839	1.031
1840	1.196
1841	1.023
1842	0.89
1843	0.933
1844	0.778
1845	0.824
1846	0.89
1847	0.76
1848	1.07
1849	0.711
1850	0.91
1851	1.045
1852	0.996
1853	0.834
1854	0.698
1855	0.974
1856	0.798
1857	0.94
1858	0.987
1859	1.195
1860	0.923
1861	0.867
1862	0.905
1863	1.357
1864	0.952
1865	1.222
1866	0.92
1867	0.929
1868	1.072
1869	1.147
1870	1.083
1871	1.268
1872	1.195
1873	1.102
1874	0.993
1875	1.243
1876	1.058
1877	1.104
1878	1.137
1879	0.968
1880	1.174
1881	0.932
1882	0.932
1883	0.965
1884	0.91
1885	1.017
1886	1.385
1887	1.198
1888	1.006
1889	1.054
1890	1.052
1891	1.177
1892	0.946
1893	0.982
1894	0.946
1895	0.928
1896	1.19
1897	0.963
1898	1.185
1899	0.893
1900	0.908
1901	1.042
1902	1.144
1903	1.31
1904	1.225
1905	0.992
1906	0.945
1907	1.09
1908	1.185
1909	1.07
1910	0.972
1911	1.045
1912	1.088
1913	1.094
1914	1.234
1915	1.016
1916	1.055
1917	1.331
1918	1.248
1919	1.126
1920	1.112
1921	0.834
1922	1.104
1923	0.928
1924	0.86
1925	0.897
1926	0.925
1927	0.972
1928	0.942
1929	0.885
1930	1.042
1931	0.987
1932	0.998
1933	1.197
1934	1.016
1935	1.294
1936	1.559
1937	1.557
1938	1.589
1939	1.234
1940	1.341
1941	1.36
1942	1.22
1943	1.2
1944	1.487
1945	1.431
1946	0.795
1947	1.079
1948	1.491
1949	1.232
1950	1.589
1951	1.113
1952	1.137
1953	1.012
1954	1.119
1955	1.038
1956	0.608
1957	0.833
1958	1.238
1959	0.929
1960	0.971
1961	0.912
1962	0.598
1963	0.821
1964	0.871
1965	0.96
1966	0.727
1967	1.037
1968	0.677
1969	0.875
1970	0.983
1971	0.524
1972	0.481
1973	0.584
1974	0.527
1975	0.767
1976	0.418
1977	0.733
1978	0.829
1979	0.717
1980	0.509
1981	0.671
1982	0.726
1983	0.594
1984	0.916
1985	0.794
1986	0.845
1987	0.925
1988	0.668
1989	0.561
1990	0.865
1991	0.363
1992	0.855
1993	0.552
1994	0.892
1995	0.86
1996	0.869
1997	0.562
