# northamerica_canada_cana279 - SFOR, Wapusk National Park, Manitoba - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_canada_cana279 - SFOR, Wapusk National Park, Manitoba - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: SFOR, Wapusk National Park, Manitoba
#	Location:
#	Country: Canada
#	Northernmost_Latitude: 57.32
#	Southernmost_Latitude: 57.32
#	Easternmost_Longitude: -93.03
#	Westernmost_Longitude: -93.03
#	Elevation: 56 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_canada_cana279B
#	Earliest_Year: 1813
#	Most_Recent_Year: 2004
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"5.68351148669","T2":"18.7315404586","M1":"0.0224134954363","M2":"0.278968957775"}}
#--------------------
# Species
#	Species_Name: white spruce
#	Species_Code: PCGL
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1813	0.923
1814	0.816
1815	0.614
1816	0.649
1817	0.671
1818	0.773
1819	0.703
1820	1.002
1821	1.103
1822	0.888
1823	0.942
1824	1.008
1825	0.818
1826	1.01
1827	1.094
1828	1.278
1829	1.242
1830	1.14
1831	1.237
1832	1.098
1833	1.199
1834	1.054
1835	0.876
1836	0.82
1837	0.455
1838	0.752
1839	0.656
1840	0.82
1841	0.927
1842	0.917
1843	1.013
1844	1.009
1845	0.917
1846	0.942
1847	0.917
1848	0.759
1849	0.808
1850	0.941
1851	0.778
1852	0.958
1853	0.79
1854	0.783
1855	0.803
1856	1.018
1857	0.971
1858	1.123
1859	1.056
1860	0.972
1861	1.292
1862	1.162
1863	1.19
1864	1.34
1865	0.969
1866	1.192
1867	1.045
1868	1.113
1869	0.827
1870	1.129
1871	1.111
1872	0.934
1873	1.062
1874	0.867
1875	0.932
1876	0.735
1877	0.876
1878	1.018
1879	0.904
1880	1.003
1881	0.95
1882	1.052
1883	1.123
1884	1.011
1885	1.124
1886	0.967
1887	0.849
1888	0.662
1889	0.679
1890	0.818
1891	0.906
1892	0.823
1893	0.887
1894	0.916
1895	0.921
1896	0.898
1897	0.843
1898	1.014
1899	1.086
1900	1.153
1901	0.997
1902	1.017
1903	1.087
1904	0.901
1905	1.096
1906	1.083
1907	1.076
1908	1.113
1909	1.09
1910	1.115
1911	1.018
1912	1.018
1913	1.112
1914	0.934
1915	0.877
1916	0.848
1917	1.016
1918	0.938
1919	0.925
1920	0.902
1921	1.015
1922	0.84
1923	1.036
1924	1.06
1925	1.053
1926	1.078
1927	0.95
1928	1.05
1929	1.01
1930	1.145
1931	0.763
1932	0.918
1933	0.833
1934	1.109
1935	1.301
1936	1.076
1937	1.128
1938	1.33
1939	1.208
1940	1.288
1941	1.158
1942	1.18
1943	1.19
1944	1.159
1945	0.936
1946	1.122
1947	0.915
1948	1.14
1949	0.983
1950	1.099
1951	1.177
1952	0.854
1953	1.016
1954	1.164
1955	1.168
1956	1.156
1957	1.237
1958	1.167
1959	1.209
1960	0.939
1961	1.129
1962	1.106
1963	1.185
1964	1.031
1965	1.179
1966	1.324
1967	1.046
1968	0.798
1969	0.971
1970	0.965
1971	0.66
1972	0.944
1973	0.742
1974	0.802
1975	0.57
1976	0.828
1977	0.733
1978	0.803
1979	0.828
1980	0.619
1981	1.022
1982	0.71
1983	1.003
1984	0.812
1985	0.755
1986	0.951
1987	0.975
1988	0.782
1989	0.791
1990	0.821
1991	1.015
1992	0.516
1993	0.806
1994	1.003
1995	0.807
1996	0.857
1997	0.776
1998	0.706
1999	0.872
2000	0.912
2001	1.119
2002	1.212
2003	1.304
2004	0.965
