# northamerica_mexico_mexi019 - Las Cuevitas - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_mexico_mexi019 - Las Cuevitas - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Las Cuevitas
#	Location:
#	Country: Mexico
#	Northernmost_Latitude: 31.9
#	Southernmost_Latitude: 31.9
#	Easternmost_Longitude: -115.93
#	Westernmost_Longitude: -115.93
#	Elevation: 1580 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_mexico_mexi019B
#	Earliest_Year: 1820
#	Most_Recent_Year: 1995
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"3.86715369489","T2":"16.8252222672","M1":"0.0229820514583","M2":"0.380231852511"}}
#--------------------
# Species
#	Species_Name: Jeffrey pine
#	Species_Code: PIJE
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1820	0.448
1821	1.02
1822	0.488
1823	0.403
1824	0.83
1825	1.233
1826	1.768
1827	1.343
1828	1.8
1829	0.577
1830	1.17
1831	1.184
1832	1.117
1833	0.99
1834	1.157
1835	1.592
1836	1.36
1837	1.246
1838	1.628
1839	1.681
1840	1.277
1841	0.325
1842	0.873
1843	0.667
1844	1.0
1845	0.469
1846	1.102
1847	0.456
1848	1.317
1849	1.044
1850	1.143
1851	0.97
1852	1.173
1853	1.701
1854	1.17
1855	1.142
1856	1.08
1857	0.724
1858	1.22
1859	1.026
1860	0.974
1861	0.98
1862	1.374
1863	0.497
1864	0.556
1865	0.92
1866	1.196
1867	1.315
1868	1.888
1869	1.329
1870	0.58
1871	0.853
1872	0.581
1873	0.415
1874	0.606
1875	0.62
1876	0.816
1877	0.929
1878	1.492
1879	0.673
1880	0.895
1881	0.871
1882	0.553
1883	0.783
1884	1.277
1885	1.202
1886	1.279
1887	0.916
1888	0.953
1889	1.009
1890	1.374
1891	1.333
1892	1.143
1893	1.079
1894	0.872
1895	0.697
1896	0.922
1897	0.956
1898	0.628
1899	0.561
1900	0.181
1901	0.475
1902	0.441
1903	0.477
1904	0.351
1905	0.841
1906	0.797
1907	0.855
1908	0.74
1909	1.081
1910	1.323
1911	1.041
1912	1.233
1913	1.147
1914	1.254
1915	1.282
1916	1.523
1917	1.829
1918	1.858
1919	1.69
1920	1.895
1921	1.097
1922	1.547
1923	1.123
1924	0.876
1925	1.003
1926	1.193
1927	1.191
1928	0.921
1929	1.088
1930	1.374
1931	0.997
1932	1.011
1933	0.946
1934	0.418
1935	0.901
1936	0.72
1937	0.886
1938	0.915
1939	1.051
1940	0.837
1941	0.97
1942	0.794
1943	0.581
1944	0.686
1945	0.778
1946	0.93
1947	0.887
1948	0.495
1949	0.726
1950	0.704
1951	0.673
1952	0.849
1953	0.826
1954	0.91
1955	0.472
1956	0.723
1957	0.634
1958	1.272
1959	0.83
1960	0.982
1961	0.536
1962	0.902
1963	0.525
1964	0.735
1965	0.992
1966	1.018
1967	1.428
1968	1.308
1969	1.262
1970	1.427
1971	1.077
1972	0.446
1973	0.902
1974	0.886
1975	0.904
1976	1.015
1977	1.143
1978	1.132
1979	1.028
1980	1.611
1981	1.031
1982	1.193
1983	1.513
1984	1.309
1985	0.869
1986	1.017
1987	0.973
1988	1.019
1989	0.49
1990	0.63
1991	0.888
1992	1.16
1993	0.987
1994	1.176
1995	1.395
