# northamerica_mexico_mexi030 - Las Bateas - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_mexico_mexi030 - Las Bateas - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Las Bateas
#	Location:
#	Country: Mexico
#	Northernmost_Latitude: 25.27
#	Southernmost_Latitude: 25.27
#	Easternmost_Longitude: -100.48
#	Westernmost_Longitude: -100.48
#	Elevation: 3300 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_mexico_mexi030B
#	Earliest_Year: 1818
#	Most_Recent_Year: 1999
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.34629670216","T2":"16.1259890078","M1":"0.0225418379574","M2":"0.261269544691"}}
#--------------------
# Species
#	Species_Name: Douglas fir
#	Species_Code: PSME
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1818	1.127
1819	0.688
1820	1.096
1821	0.955
1822	0.937
1823	1.089
1824	1.223
1825	1.298
1826	0.807
1827	1.293
1828	0.699
1829	1.382
1830	0.824
1831	1.102
1832	1.299
1833	0.979
1834	1.004
1835	1.053
1836	1.202
1837	1.135
1838	0.694
1839	0.974
1840	0.882
1841	0.98
1842	0.849
1843	0.952
1844	1.16
1845	1.238
1846	1.107
1847	1.022
1848	1.132
1849	0.689
1850	1.026
1851	0.769
1852	0.854
1853	0.673
1854	0.609
1855	1.064
1856	1.211
1857	0.754
1858	0.814
1859	0.737
1860	0.567
1861	0.866
1862	0.617
1863	0.715
1864	0.927
1865	0.85
1866	0.683
1867	0.671
1868	0.364
1869	0.934
1870	0.827
1871	0.499
1872	0.593
1873	0.626
1874	0.748
1875	0.886
1876	0.946
1877	1.106
1878	0.865
1879	0.693
1880	0.471
1881	1.125
1882	1.011
1883	1.09
1884	0.816
1885	1.14
1886	1.021
1887	0.776
1888	0.981
1889	1.003
1890	0.444
1891	0.901
1892	0.903
1893	0.549
1894	0.705
1895	1.036
1896	1.346
1897	1.114
1898	0.723
1899	1.101
1900	1.008
1901	1.047
1902	0.841
1903	0.966
1904	1.014
1905	1.382
1906	1.32
1907	0.847
1908	1.139
1909	0.767
1910	1.143
1911	1.133
1912	1.442
1913	1.545
1914	2.23
1915	1.882
1916	0.754
1917	0.883
1918	1.432
1919	1.404
1920	1.128
1921	1.078
1922	0.73
1923	1.254
1924	1.593
1925	0.987
1926	1.644
1927	1.479
1928	1.177
1929	0.491
1930	1.464
1931	1.589
1932	0.99
1933	0.983
1934	1.447
1935	1.426
1936	1.46
1937	1.453
1938	1.044
1939	1.006
1940	1.144
1941	1.213
1942	1.242
1943	1.039
1944	1.365
1945	1.074
1946	1.345
1947	1.416
1948	1.129
1949	1.529
1950	1.296
1951	1.181
1952	1.094
1953	0.855
1954	0.89
1955	0.742
1956	0.742
1957	0.318
1958	0.902
1959	0.993
1960	0.763
1961	0.82
1962	0.556
1963	0.804
1964	0.918
1965	0.91
1966	1.071
1967	0.912
1968	0.802
1969	0.682
1970	0.861
1971	0.509
1972	0.77
1973	0.852
1974	0.305
1975	0.502
1976	0.755
1977	0.683
1978	0.861
1979	0.746
1980	0.482
1981	1.079
1982	0.768
1983	0.935
1984	0.788
1985	1.174
1986	1.04
1987	1.341
1988	0.993
1989	0.555
1990	1.106
1991	0.837
1992	1.366
1993	1.155
1994	1.134
1995	0.851
1996	0.756
1997	1.481
1998	0.368
1999	0.74
