# northamerica_usa_ak015 - Ellsworth Glacier - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_ak015 - Ellsworth Glacier - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Ellsworth Glacier
#	Location:
#	Country: United States
#	Northernmost_Latitude: 60.08
#	Southernmost_Latitude: 60.08
#	Easternmost_Longitude: -148.97
#	Westernmost_Longitude: -148.97
#	Elevation: 480 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_ak015B
#	Earliest_Year: 1676
#	Most_Recent_Year: 1991
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.32390386145","T2":"16.5807206821","M1":"0.0224227081426","M2":"0.412386466185"}}
#--------------------
# Species
#	Species_Name: mountain hemlock
#	Species_Code: TSME
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1676	0.733
1677	0.383
1678	0.491
1679	0.313
1680	0.556
1681	0.745
1682	1.149
1683	1.412
1684	1.459
1685	1.547
1686	1.515
1687	1.624
1688	1.791
1689	1.614
1690	1.404
1691	1.297
1692	1.289
1693	1.03
1694	1.361
1695	1.169
1696	0.743
1697	0.478
1698	0.24
1699	0.279
1700	0.467
1701	0.782
1702	0.721
1703	0.876
1704	1.193
1705	0.848
1706	0.896
1707	0.749
1708	0.745
1709	1.048
1710	0.923
1711	0.747
1712	0.995
1713	1.252
1714	0.877
1715	1.214
1716	0.564
1717	0.722
1718	0.993
1719	1.003
1720	1.318
1721	1.024
1722	1.368
1723	1.105
1724	1.132
1725	1.043
1726	0.872
1727	0.902
1728	1.186
1729	1.211
1730	1.03
1731	0.749
1732	1.114
1733	1.092
1734	0.632
1735	0.66
1736	0.835
1737	0.826
1738	0.92
1739	1.058
1740	0.688
1741	1.007
1742	0.925
1743	0.912
1744	0.781
1745	0.976
1746	0.914
1747	1.553
1748	1.316
1749	1.36
1750	1.238
1751	1.288
1752	0.89
1753	0.75
1754	0.49
1755	0.607
1756	0.501
1757	0.502
1758	0.578
1759	0.668
1760	0.664
1761	0.771
1762	1.025
1763	1.173
1764	0.961
1765	1.048
1766	1.027
1767	1.226
1768	0.898
1769	0.774
1770	0.883
1771	1.091
1772	1.19
1773	1.005
1774	1.279
1775	0.79
1776	0.981
1777	1.113
1778	0.842
1779	1.137
1780	1.145
1781	0.978
1782	1.235
1783	1.423
1784	1.202
1785	1.364
1786	1.052
1787	0.852
1788	0.941
1789	0.831
1790	0.737
1791	0.76
1792	1.035
1793	1.119
1794	0.773
1795	1.401
1796	1.143
1797	1.587
1798	1.16
1799	1.356
1800	0.718
1801	1.184
1802	0.935
1803	1.225
1804	1.427
1805	1.626
1806	1.158
1807	0.896
1808	1.136
1809	0.724
1810	0.676
1811	0.567
1812	0.654
1813	0.455
1814	0.452
1815	0.763
1816	0.93
1817	0.999
1818	1.041
1819	0.93
1820	1.047
1821	0.933
1822	1.123
1823	0.954
1824	1.165
1825	1.349
1826	1.314
1827	0.71
1828	1.225
1829	1.472
1830	1.088
1831	0.706
1832	0.995
1833	1.055
1834	1.084
1835	1.241
1836	1.079
1837	0.798
1838	1.668
1839	1.597
1840	1.278
1841	1.404
1842	0.827
1843	0.98
1844	1.089
1845	1.135
1846	1.122
1847	0.995
1848	0.86
1849	0.567
1850	0.772
1851	0.779
1852	1.122
1853	1.069
1854	0.691
1855	0.873
1856	0.633
1857	1.18
1858	1.283
1859	1.136
1860	1.144
1861	0.889
1862	0.585
1863	0.538
1864	1.089
1865	1.149
1866	1.441
1867	1.318
1868	1.091
1869	1.061
1870	1.56
1871	0.973
1872	1.627
1873	1.625
1874	1.053
1875	1.358
1876	0.727
1877	0.537
1878	0.698
1879	0.879
1880	0.662
1881	0.624
1882	0.629
1883	0.394
1884	1.006
1885	0.905
1886	0.977
1887	0.462
1888	0.778
1889	0.683
1890	0.838
1891	0.873
1892	1.011
1893	1.179
1894	0.443
1895	0.283
1896	0.328
1897	0.208
1898	0.377
1899	0.416
1900	0.471
1901	0.547
1902	0.532
1903	0.479
1904	0.515
1905	0.857
1906	0.853
1907	0.744
1908	0.581
1909	0.893
1910	0.715
1911	0.748
1912	0.714
1913	0.771
1914	0.871
1915	1.434
1916	0.725
1917	1.122
1918	0.971
1919	0.892
1920	1.079
1921	1.032
1922	1.197
1923	1.314
1924	1.156
1925	1.262
1926	1.623
1927	0.976
1928	0.907
1929	0.703
1930	1.207
1931	0.924
1932	1.331
1933	1.49
1934	1.311
1935	1.45
1936	1.266
1937	0.948
1938	1.004
1939	0.941
1940	1.122
1941	1.41
1942	1.867
1943	1.748
1944	0.813
1945	1.134
1946	0.647
1947	1.2
1948	0.977
1949	1.067
1950	1.092
1951	0.9
1952	0.856
1953	1.002
1954	0.88
1955	0.525
1956	0.331
1957	1.085
1958	1.021
