# northamerica_usa_ak046 - Kobuk/Noatak - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_ak046 - Kobuk/Noatak - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Kobuk/Noatak
#	Location:
#	Country: United States
#	Northernmost_Latitude: 67.07
#	Southernmost_Latitude: 67.07
#	Easternmost_Longitude: -159.62
#	Westernmost_Longitude: -159.62
#	Elevation: 100 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_ak046B
#	Earliest_Year: 978
#	Most_Recent_Year: 1992
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"5.82495596859","T2":"18.0648861286","M1":"0.021445595912","M2":"0.315411317351"}}
#--------------------
# Species
#	Species_Name: white spruce
#	Species_Code: PCGL
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
978	0.801
979	0.881
980	1.034
981	0.804
982	0.887
983	0.927
984	1.048
985	0.987
986	0.877
987	0.94
988	0.994
989	1.071
990	1.198
991	0.938
992	1.086
993	0.963
994	0.958
995	1.004
996	0.978
997	0.907
998	1.61
999	1.385
1000	1.255
1001	1.097
1002	0.818
1003	0.973
1004	1.115
1005	1.088
1006	0.898
1007	1.145
1008	0.99
1009	0.855
1010	0.887
1011	0.831
1012	0.931
1013	0.863
1014	0.873
1015	0.932
1016	0.851
1017	1.021
1018	1.219
1019	1.138
1020	0.999
1021	0.999
1022	0.972
1023	1.156
1024	1.157
1025	1.083
1026	1.22
1027	1.256
1028	1.117
1029	0.953
1030	1.068
1031	1.051
1032	1.175
1033	1.032
1034	0.994
1035	0.804
1036	0.966
1037	0.877
1038	1.08
1039	0.978
1040	1.154
1041	1.305
1042	1.472
1043	1.298
1044	1.374
1045	0.863
1046	0.828
1047	1.101
1048	1
1049	0.902
1050	0.609
1051	0.562
1052	0.635
1053	0.696
1054	0.976
1055	0.583
1056	0.787
1057	0.846
1058	0.961
1059	0.599
1060	0.894
1061	0.837
1062	0.923
1063	0.873
1064	0.982
1065	0.984
1066	1.032
1067	0.935
1068	0.852
1069	0.995
1070	0.792
1071	0.939
1072	0.839
1073	0.85
1074	0.785
1075	0.608
1076	0.733
1077	0.648
1078	0.769
1079	0.673
1080	0.82
1081	0.742
1082	0.749
1083	0.668
1084	0.694
1085	0.686
1086	0.596
1087	0.787
1088	0.744
1089	0.985
1090	0.808
1091	0.88
1092	0.79
1093	0.718
1094	1.022
1095	0.82
1096	0.742
1097	0.667
1098	0.834
1099	0.941
1100	0.919
1101	0.829
1102	0.907
1103	0.888
1104	0.753
1105	0.545
1106	0.829
1107	0.711
1108	0.816
1109	0.782
1110	0.87
1111	0.925
1112	0.77
1113	1.018
1114	1.179
1115	1.218
1116	1.285
1117	0.886
1118	1.106
1119	1.015
1120	1.053
1121	1.009
1122	0.948
1123	0.979
1124	0.863
1125	1.072
1126	0.961
1127	0.892
1128	1.09
1129	1.287
1130	1.412
1131	0.988
1132	1.052
1133	1.068
1134	0.809
1135	1.114
1136	0.982
1137	0.855
1138	1.151
1139	0.988
1140	0.898
1141	1.076
1142	1.046
1143	1.101
1144	1.24
1145	1.107
1146	1.267
1147	1.317
1148	1.072
1149	1.072
1150	0.895
1151	0.709
1152	0.792
1153	0.915
1154	0.848
1155	0.909
1156	0.755
1157	0.874
1158	0.674
1159	0.863
1160	0.802
1161	0.626
1162	0.823
1163	0.775
1164	0.695
1165	0.79
1166	0.89
1167	0.688
1168	0.944
1169	1.177
1170	0.76
1171	0.97
1172	0.853
1173	0.882
1174	0.737
1175	0.884
1176	0.717
1177	0.652
1178	0.743
1179	0.655
1180	0.725
1181	0.843
1182	0.835
1183	0.934
1184	0.872
1185	0.983
1186	0.74
1187	0.861
1188	0.743
1189	0.678
1190	0.771
1191	0.789
1192	0.802
1193	0.817
1194	0.793
1195	0.81
1196	0.855
1197	0.87
1198	1.198
1199	0.989
1200	0.994
1201	0.868
1202	0.898
1203	0.952
1204	0.958
1205	0.765
1206	1.019
1207	0.954
1208	1.252
1209	1.386
1210	1.536
1211	1.387
1212	1.357
1213	1.446
1214	1.3
1215	1.16
1216	1.488
1217	1.01
1218	1.424
1219	0.943
1220	1.068
1221	1.235
1222	0.995
1223	1.049
1224	1.165
1225	1.216
1226	1.002
1227	1.224
1228	1.436
1229	0.936
1230	1.2
1231	1.175
1232	1.186
1233	1.072
1234	0.975
1235	1.241
1236	1.28
1237	1.144
1238	1.025
1239	0.941
1240	1.179
1241	1.041
1242	0.972
1243	0.815
1244	1.141
1245	0.873
1246	0.992
1247	1.144
1248	0.881
1249	1.19
1250	1.04
1251	1.078
1252	1.134
1253	0.943
1254	1.249
1255	0.989
1256	1.097
1257	0.839
1258	0.941
1259	1.05
1260	0.988
1261	1.101
1262	0.916
1263	1.07
1264	1.25
1265	1.256
1266	1.261
1267	1.191
1268	1.079
1269	1.004
1270	1.175
1271	1.208
1272	1.083
1273	1.041
1274	1.163
1275	1.346
1276	1.324
1277	1.192
1278	1.314
1279	1.338
1280	1.2
1281	1.247
1282	0.91
1283	0.873
1284	1.014
1285	0.993
1286	1.125
1287	1.315
1288	1.105
1289	0.926
1290	1.044
1291	0.871
1292	0.949
1293	1.088
1294	1.125
1295	0.841
1296	0.977
1297	0.821
1298	1.01
1299	0.908
1300	0.971
1301	0.823
1302	1.02
1303	0.761
1304	0.813
1305	0.552
1306	0.817
1307	0.79
1308	1.043
1309	0.79
1310	0.552
1311	1.1
1312	0.745
1313	0.9
1314	0.943
1315	1.084
1316	1.031
1317	0.883
1318	1.101
1319	0.716
1320	0.815
1321	0.854
1322	0.944
1323	0.912
1324	1.065
1325	1.124
1326	0.988
1327	0.977
1328	0.961
1329	1.02
1330	0.957
1331	0.953
1332	0.951
1333	1.108
1334	1.052
1335	0.977
1336	0.851
1337	0.868
1338	0.897
1339	0.812
1340	0.897
1341	1.065
1342	0.942
1343	0.884
1344	0.762
1345	0.929
1346	0.914
1347	0.925
1348	0.696
1349	0.891
1350	0.865
1351	1.012
1352	0.871
1353	0.873
1354	1.197
1355	0.947
1356	1.013
1357	1.034
1358	0.601
1359	1.053
1360	1.15
1361	0.872
1362	1.247
1363	1.311
1364	1.225
1365	0.68
1366	1.353
1367	1.227
1368	0.926
1369	0.865
1370	0.962
1371	0.89
1372	0.669
1373	0.99
1374	0.825
1375	0.89
1376	1.034
1377	0.633
1378	0.83
1379	0.866
1380	0.82
1381	0.768
1382	0.942
1383	0.996
1384	1.12
1385	0.764
1386	1.048
1387	0.843
1388	0.835
1389	0.663
1390	0.747
1391	0.999
1392	0.867
1393	0.925
1394	0.889
1395	0.857
1396	0.821
1397	0.763
1398	0.844
1399	0.591
1400	0.836
1401	0.841
1402	0.813
1403	0.845
1404	0.89
1405	1.087
1406	0.881
1407	1.005
1408	0.685
1409	1.021
1410	0.844
1411	1.107
1412	1.057
1413	1.19
1414	1.015
1415	1.321
1416	1.207
1417	1.365
1418	1.335
1419	1.222
1420	1.231
1421	1.021
1422	1.097
1423	0.749
1424	0.729
1425	0.804
1426	1.034
1427	0.902
1428	0.907
1429	1.067
1430	0.936
1431	1.076
1432	0.841
1433	1.06
1434	1.049
1435	1.132
1436	1.26
1437	1.137
1438	0.994
1439	0.795
1440	1.096
1441	1.025
1442	1.008
1443	1.091
1444	1.099
1445	1.153
1446	1.093
1447	1.015
1448	1.191
1449	1.241
1450	1.117
1451	1.176
1452	1.077
1453	0.942
1454	0.962
1455	0.925
1456	0.761
1457	0.926
1458	0.905
1459	0.908
1460	0.985
1461	0.769
1462	1.027
1463	0.775
1464	0.821
1465	0.958
1466	0.733
1467	1.734
1468	0.793
1469	0.997
1470	1.192
1471	1.049
1472	0.977
1473	0.956
1474	0.914
1475	1.334
1476	1.071
1477	0.869
1478	0.882
1479	0.663
1480	0.905
1481	0.661
1482	0.865
1483	0.99
1484	0.951
1485	0.873
1486	1.176
1487	0.871
1488	0.937
1489	0.774
1490	0.886
1491	1.226
1492	0.987
1493	1.007
1494	1.172
1495	1.021
1496	1.134
1497	0.966
1498	0.939
1499	0.981
1500	1.001
1501	1.091
1502	0.8
1503	0.819
1504	0.753
1505	0.995
1506	1.026
1507	0.959
1508	0.993
1509	0.844
1510	0.944
1511	0.592
1512	1.03
1513	0.889
1514	0.811
1515	1.019
1516	1.043
1517	0.767
1518	0.939
1519	1.212
1520	0.804
1521	0.957
1522	0.696
1523	0.972
1524	0.922
1525	1.032
1526	0.921
1527	0.857
1528	1.024
1529	0.942
1530	1.263
1531	0.822
1532	1.051
1533	0.945
1534	0.925
1535	1.127
1536	1.265
1537	0.867
1538	1.055
1539	1.199
1540	1.066
1541	0.935
1542	0.924
1543	0.628
1544	0.945
1545	1.01
1546	1.001
1547	0.848
1548	0.776
1549	0.933
1550	0.834
1551	1.153
1552	1.088
1553	1.106
1554	1.086
1555	1.18
1556	0.739
1557	1.146
1558	1.257
1559	1.152
1560	1.107
1561	1.028
1562	1.002
1563	0.959
1564	0.985
1565	0.992
1566	0.785
1567	0.983
1568	0.926
1569	0.792
1570	0.747
1571	0.674
1572	0.907
1573	0.767
1574	0.786
1575	0.769
1576	0.976
1577	0.79
1578	0.837
1579	0.923
1580	0.733
1581	0.989
1582	1.099
1583	0.906
1584	0.977
1585	0.925
1586	0.829
1587	0.851
1588	0.992
1589	0.875
1590	0.953
1591	1.101
1592	1.132
1593	0.839
1594	1.003
1595	1.212
1596	1.051
1597	1.228
1598	1.142
1599	1.199
1600	0.933
1601	1.035
1602	1.001
1603	0.794
1604	0.904
1605	0.91
1606	1.066
1607	1.018
1608	0.968
1609	1.069
1610	0.942
1611	0.892
1612	0.952
1613	1.107
1614	0.901
1615	1.066
1616	1.125
1617	1.058
1618	1.055
1619	1.049
1620	0.861
1621	1.08
1622	1
1623	1.127
1624	1.217
1625	0.996
1626	0.977
1627	0.801
1628	0.937
1629	1.04
1630	1.121
1631	0.806
1632	1.16
1633	0.865
1634	0.95
1635	0.712
1636	0.929
1637	1.015
1638	1.083
1639	0.83
1640	0.842
1641	0.838
1642	0.712
1643	0.752
1644	0.953
1645	0.744
1646	0.631
1647	0.886
1648	0.795
1649	0.832
1650	0.925
1651	0.769
1652	0.693
1653	0.924
1654	0.701
1655	0.889
1656	0.926
1657	0.782
1658	0.921
1659	0.626
1660	1.013
1661	0.92
1662	0.968
1663	0.795
1664	0.718
1665	0.89
1666	0.951
1667	0.821
1668	0.817
1669	1.008
1670	1.018
1671	0.923
1672	0.823
1673	0.839
1674	0.758
1675	0.887
1676	0.945
1677	0.863
1678	1.036
1679	1.037
1680	0.865
1681	0.971
1682	1.022
1683	1.001
1684	0.919
1685	0.881
1686	0.928
1687	0.919
1688	0.982
1689	1.076
1690	1.103
1691	1.032
1692	1.081
1693	0.954
1694	1.209
1695	1.072
1696	1.09
1697	0.722
1698	0.925
1699	0.822
1700	1.135
1701	1.248
1702	0.954
1703	0.847
1704	0.81
1705	0.924
1706	0.859
1707	0.913
1708	1.059
1709	1.036
1710	1.167
1711	0.833
1712	0.88
1713	0.915
1714	0.935
1715	1.071
1716	0.909
1717	0.794
1718	0.989
1719	0.954
1720	1.447
1721	0.993
1722	1.33
1723	1.539
1724	1.512
1725	1.402
1726	1.28
1727	1.41
1728	0.972
1729	1.142
1730	1.062
1731	1.205
1732	1.085
1733	1.159
1734	1.046
1735	0.851
1736	1.078
1737	0.893
1738	1.001
1739	0.98
1740	0.865
1741	0.722
1742	0.425
1743	0.851
1744	0.589
1745	0.693
1746	0.952
1747	0.854
1748	1.294
1749	1.085
1750	1.169
1751	0.636
1752	0.942
1753	0.737
1754	0.673
1755	0.764
1756	0.98
1757	0.86
1758	1.187
1759	1.102
1760	1.159
1761	1.186
1762	0.769
1763	0.884
1764	0.847
1765	0.67
1766	0.749
1767	0.86
1768	0.736
1769	0.748
1770	0.809
1771	0.704
1772	1.239
1773	0.937
1774	1.084
1775	0.739
1776	0.948
1777	0.689
1778	0.739
1779	0.72
