# northamerica_usa_ak093 - Upper Nanatuk - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_ak093 - Upper Nanatuk - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Upper Nanatuk
#	Location:
#	Country: United States
#	Northernmost_Latitude: 61.05
#	Southernmost_Latitude: 61.05
#	Easternmost_Longitude: -146.98
#	Westernmost_Longitude: -146.98
#	Elevation: 200 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_ak093B
#	Earliest_Year: 1472
#	Most_Recent_Year: 1999
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.21307456673","T2":"16.4946691329","M1":"0.0223052308262","M2":"0.418582293946"}}
#--------------------
# Species
#	Species_Name: mountain hemlock
#	Species_Code: TSME
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1472	1.264
1473	1.055
1474	0.758
1475	0.658
1476	0.706
1477	0.51
1478	0.593
1479	0.954
1480	0.936
1481	1.141
1482	0.604
1483	1.232
1484	0.692
1485	0.705
1486	0.57
1487	0.617
1488	0.924
1489	0.897
1490	1.135
1491	1.135
1492	0.77
1493	1.153
1494	1.444
1495	0.678
1496	1.62
1497	1.679
1498	1.027
1499	1.309
1500	1.18
1501	1.065
1502	0.814
1503	0.744
1504	0.79
1505	0.681
1506	0.594
1507	0.659
1508	0.647
1509	0.563
1510	0.78
1511	0.941
1512	0.975
1513	0.704
1514	1.001
1515	0.729
1516	0.65
1517	0.816
1518	0.867
1519	0.863
1520	1.227
1521	0.522
1522	0.632
1523	0.769
1524	0.595
1525	0.655
1526	0.749
1527	0.697
1528	0.423
1529	0.661
1530	0.837
1531	0.804
1532	0.532
1533	0.743
1534	0.52
1535	0.808
1536	1.187
1537	1.991
1538	1.392
1539	1.26
1540	1.137
1541	1.079
1542	0.704
1543	0.78
1544	1.299
1545	1.236
1546	1.033
1547	0.906
1548	0.872
1549	0.726
1550	0.879
1551	1.009
1552	0.724
1553	0.843
1554	1.006
1555	0.986
1556	1.078
1557	0.935
1558	1.126
1559	1.225
1560	0.942
1561	1.157
1562	1.216
1563	1.139
1564	0.842
1565	1.19
1566	1.184
1567	0.971
1568	0.868
1569	0.957
1570	1.214
1571	1.106
1572	0.897
1573	1.105
1574	1.15
1575	1.04
1576	0.975
1577	0.904
1578	1.036
1579	0.936
1580	0.954
1581	1.008
1582	1.118
1583	1.171
1584	0.881
1585	0.591
1586	0.99
1587	0.665
1588	0.708
1589	0.661
1590	0.715
1591	1.099
1592	1.015
1593	1.096
1594	1.311
1595	1.189
1596	1.103
1597	1.033
1598	1.085
1599	0.919
1600	0.761
1601	0.764
1602	0.67
1603	0.726
1604	0.835
1605	0.734
1606	0.688
1607	0.91
1608	1.248
1609	1.112
1610	1.071
1611	0.785
1612	0.891
1613	0.663
1614	0.791
1615	0.804
1616	1.053
1617	1.084
1618	0.898
1619	0.983
1620	0.743
1621	0.998
1622	1.209
1623	0.873
1624	0.763
1625	0.721
1626	0.797
1627	0.941
1628	1.049
1629	1.03
1630	1.268
1631	1.135
1632	1.351
1633	1.126
1634	1.194
1635	1.216
1636	1.144
1637	1.068
1638	1.154
1639	0.836
1640	1.051
1641	0.906
1642	0.885
1643	0.86
1644	0.859
1645	0.972
1646	0.937
1647	1.174
1648	1.055
1649	1.165
1650	1.024
1651	1.324
1652	1.196
1653	0.901
1654	0.877
1655	0.782
1656	1
1657	1.011
1658	0.573
1659	0.62
1660	0.648
1661	0.801
1662	0.748
1663	0.575
1664	0.529
1665	0.693
1666	0.958
1667	0.966
1668	1.019
1669	1.122
1670	1.085
1671	1.047
1672	0.753
1673	0.909
1674	0.873
1675	0.823
1676	0.813
1677	0.509
1678	0.616
1679	0.342
1680	0.552
1681	0.918
1682	1.176
1683	1.448
1684	1.421
1685	1.372
1686	1.317
1687	1.311
1688	1.196
1689	1.141
1690	0.865
1691	0.999
1692	1.381
1693	1.343
1694	1.285
1695	1.327
1696	0.913
1697	0.553
1698	0.289
1699	0.442
1700	0.8
1701	0.947
1702	1.022
1703	1.291
1704	1.189
1705	1.341
1706	0.997
1707	1.046
1708	1.253
1709	1.089
1710	1.083
1711	0.827
1712	1.12
1713	1.324
1714	1.297
1715	1.218
1716	0.839
1717	0.907
1718	1.222
1719	1.71
1720	1.377
1721	1.566
1722	1.648
1723	1.789
1724	1.575
1725	1.175
1726	0.813
1727	0.893
1728	1.203
1729	1.182
1730	0.828
1731	0.791
1732	0.927
1733	1.083
1734	0.966
1735	1.018
1736	1.109
1737	1.105
1738	0.773
1739	1.057
1740	0.971
1741	1.067
1742	1.074
1743	1.144
1744	0.716
1745	0.988
1746	0.79
1747	0.89
1748	1.063
1749	1.174
1750	1.057
1751	1.285
1752	0.929
1753	0.828
1754	0.565
