# northamerica_usa_ak12 - Pony Point  Kodiak Island - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_ak12 - Pony Point  Kodiak Island - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Pony Point  Kodiak Island
#	Location:
#	Country: United States
#	Northernmost_Latitude: 57.62
#	Southernmost_Latitude: 57.62
#	Easternmost_Longitude: -152.28
#	Westernmost_Longitude: -152.28
#	Elevation: 20 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_ak12B
#	Earliest_Year: 1750
#	Most_Recent_Year: 1985
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.95184432086","T2":"18.3024975215","M1":"0.0222036861176","M2":"0.358488614546"}}
#--------------------
# Species
#	Species_Name: Sitka spruce
#	Species_Code: PCSI
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1750	1.21
1751	1.157
1752	0.85
1753	0.618
1754	0.819
1755	0.686
1756	0.742
1757	0.91
1758	0.928
1759	0.833
1760	1.153
1761	1.056
1762	1.147
1763	1.319
1764	1.218
1765	1.311
1766	1.149
1767	1.193
1768	0.746
1769	0.919
1770	0.898
1771	0.951
1772	0.962
1773	0.902
1774	1.033
1775	1.159
1776	1.238
1777	1.451
1778	1.079
1779	1.174
1780	1.258
1781	0.698
1782	1.07
1783	0.711
1784	1.029
1785	0.989
1786	1.146
1787	0.81
1788	1.019
1789	0.907
1790	1.201
1791	1.035
1792	1.095
1793	1.306
1794	1.595
1795	1.649
1796	1.598
1797	1.666
1798	1.563
1799	1.517
1800	1.366
1801	1.397
1802	1.325
1803	1.307
1804	1.394
1805	1.2
1806	0.824
1807	0.833
1808	0.773
1809	0.549
1810	0.389
1811	0.195
1812	0.143
1813	0.196
1814	0.27
1815	0.526
1816	0.85
1817	1.053
1818	1.216
1819	1.33
1820	0.837
1821	0.913
1822	0.757
1823	0.826
1824	0.955
1825	0.751
1826	0.915
1827	1.297
1828	1.471
1829	1.899
1830	0.721
1831	0.365
1832	0.378
1833	0.335
1834	0.572
1835	1.113
1836	1.346
1837	0.911
1838	0.976
1839	1.081
1840	1.261
1841	1.621
1842	0.627
1843	0.529
1844	0.538
1845	0.641
1846	0.663
1847	0.487
1848	0.271
1849	0.307
1850	0.357
1851	0.694
1852	0.849
1853	0.901
1854	0.931
1855	0.762
1856	0.96
1857	1.02
1858	1.186
1859	0.869
1860	0.654
1861	0.587
1862	0.558
1863	0.576
1864	0.617
1865	0.821
1866	0.713
1867	0.789
1868	0.779
1869	0.532
1870	0.891
1871	0.909
1872	0.971
1873	0.89
1874	0.847
1875	0.647
1876	0.272
1877	0.376
1878	0.446
1879	0.6
1880	0.648
1881	0.6
1882	0.325
1883	0.587
1884	0.696
1885	0.833
1886	0.883
1887	0.717
1888	0.943
1889	0.758
1890	0.613
1891	0.176
1892	0.516
1893	0.772
1894	0.712
1895	0.743
1896	0.681
1897	0.689
1898	0.905
1899	1.149
1900	1.184
1901	1.177
1902	1.158
1903	1.068
1904	0.699
1905	0.787
1906	0.787
1907	0.993
1908	1.002
1909	0.984
1910	1.022
1911	0.992
1912	0.546
1913	0.587
1914	0.809
1915	1.325
1916	1.033
1917	1.376
1918	0.709
1919	0.676
1920	0.675
1921	0.74
1922	0.677
1923	0.992
1924	0.984
1925	1.063
1926	1.125
1927	1.064
1928	1.196
1929	1.123
1930	1.034
1931	1.184
1932	0.929
1933	1.132
1934	1.099
1935	1.071
1936	1.619
1937	0.985
1938	1.202
1939	1.385
1940	1.198
1941	1.523
1942	1.823
1943	1.313
1944	1.323
1945	1.362
1946	1.434
1947	1.678
1948	1.102
1949	1.072
1950	0.863
1951	0.937
1952	0.94
1953	0.955
1954	0.85
1955	1.094
1956	1.072
1957	1.229
1958	1.074
1959	1.252
1960	1.033
1961	1.342
1962	1.283
1963	1.267
1964	1.144
1965	0.98
1966	1.293
1967	1.175
1968	1.313
1969	1.142
1970	1.17
1971	0.964
1972	0.615
1973	0.693
1974	0.806
1975	0.696
1976	0.752
1977	0.783
1978	0.718
1979	0.927
1980	0.962
1981	1.142
1982	0.866
1983	0.901
1984	0.859
1985	0.959
