# northamerica_usa_ar052 - Mayberry Slough and Watson Lake - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_ar052 - Mayberry Slough and Watson Lake - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Mayberry Slough and Watson Lake
#	Location:
#	Country: United States
#	Northernmost_Latitude: 35.55
#	Southernmost_Latitude: 35.55
#	Easternmost_Longitude: -91.25
#	Westernmost_Longitude: -91.25
#	Elevation: 64 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_ar052B
#	Earliest_Year: 998
#	Most_Recent_Year: 1990
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"6.71189666008","T2":"17.94756551","M1":"0.0222149600775","M2":"0.622000371943"}}
#--------------------
# Species
#	Species_Name: baldcypress
#	Species_Code: TADI
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
998	0.869
999	0.946
1000	0.754
1001	0.943
1002	1.273
1003	2.491
1004	1.909
1005	1.166
1006	0.794
1007	0.71
1008	0.381
1009	0.387
1010	0.186
1011	0.229
1012	0.152
1013	0.234
1014	0.208
1015	0.346
1016	0.715
1017	3.069
1018	1.966
1019	1.55
1020	2.185
1021	1.76
1022	1.465
1023	1.351
1024	1.115
1025	0.552
1026	0.658
1027	0.409
1028	0.152
1029	0.224
1030	0.339
1031	0.496
1032	0.783
1033	0.919
1034	0.898
1035	1.266
1036	1.622
1037	1.335
1038	0.909
1039	2.127
1040	1.305
1041	0.477
1042	0.647
1043	0.603
1044	0.613
1045	0.524
1046	0.447
1047	0.366
1048	0.274
1049	0.417
1050	0.329
1051	0.515
1052	1.149
1053	2.352
1054	2.595
1055	2.619
1056	1.203
1057	0.833
1058	0.632
1059	0.569
1060	1.365
1061	0.657
1062	1.22
1063	0.869
1064	1.982
1065	0.389
1066	1.917
1067	3.401
1068	1.94
1069	0.862
1070	1.104
1071	0.545
1072	0.525
1073	0.837
1074	0.621
1075	0.828
1076	1.528
1077	1.937
1078	1.182
1079	2.723
1080	0.834
1081	1.162
1082	0.856
1083	1.397
1084	1.498
1085	0.69
1086	1.337
1087	1.064
1088	1.099
1089	1.165
1090	1.187
1091	1.268
1092	0.855
1093	0.54
1094	0.805
1095	0.652
1096	1.253
1097	1.668
1098	1.189
1099	1.325
1100	0.955
1101	0.461
1102	0.476
1103	0.6
1104	0.338
1105	0.82
1106	0.706
1107	0.56
1108	0.88
1109	0.47
1110	0.434
1111	0.406
1112	0.508
1113	0.491
1114	0.69
1115	0.48
1116	0.731
1117	0.602
1118	0.55
1119	0.636
1120	0.655
1121	0.51
1122	0.57
1123	0.567
1124	0.556
1125	0.611
1126	0.47
1127	0.73
1128	0.719
1129	0.884
1130	0.794
1131	0.585
1132	0.411
1133	0.776
1134	0.505
1135	0.645
1136	0.976
1137	0.812
1138	0.804
1139	0.652
1140	0.207
1141	0.903
1142	0.602
1143	0.624
1144	0.336
1145	0.322
1146	0.246
1147	0.564
1148	0.284
1149	0.22
1150	0.438
1151	0.429
1152	0.31
1153	0.309
1154	0.435
1155	0.548
1156	0.717
1157	0.933
1158	0.886
1159	1.171
1160	1.024
1161	1.153
1162	1.14
1163	0.798
1164	0.62
1165	0.974
1166	0.718
1167	1.279
1168	2.073
1169	1.857
1170	2.029
1171	1.481
1172	1.182
1173	1.799
1174	1.926
1175	2.222
1176	2.424
1177	1.465
1178	2.608
1179	1.242
1180	1.587
1181	1.98
1182	1.66
1183	1.282
1184	0.916
1185	0.586
1186	0.97
1187	1.014
1188	1.056
1189	1.097
1190	1.306
1191	1.084
1192	1.357
1193	1.117
1194	0.785
1195	0.708
1196	0.992
1197	0.745
1198	0.441
1199	0.961
1200	0.63
1201	0.732
1202	0.784
1203	1.115
1204	1.158
1205	1.615
1206	1.587
1207	0.876
1208	1.09
1209	1.044
1210	0.479
1211	0.67
1212	0.732
1213	0.891
1214	1.047
1215	0.582
1216	0.856
1217	0.888
1218	0.914
1219	1.046
1220	0.908
1221	0.652
1222	1.187
1223	1.026
1224	1.188
1225	1.475
1226	1.447
1227	1.051
1228	1.456
1229	0.957
1230	1.112
1231	1.231
1232	1.025
1233	1.158
1234	1.862
1235	2.174
1236	0.812
1237	1.94
1238	1.088
1239	0.94
1240	0.755
1241	0.42
1242	0.525
1243	0.614
1244	0.458
1245	0.615
1246	0.675
1247	0.713
1248	0.803
1249	1.185
1250	1.658
1251	1.044
1252	1.352
1253	1.571
1254	1.166
1255	0.851
1256	1.055
1257	1.251
1258	1.124
1259	1.223
1260	1.76
1261	1.617
1262	1.838
1263	1.116
1264	0.77
1265	0.81
1266	1.083
1267	1.054
1268	1.617
1269	1.027
1270	0.763
1271	1.415
1272	1.221
1273	1.302
1274	1.318
1275	1.33
1276	0.927
1277	0.178
1278	1.282
1279	1.119
1280	1.047
1281	1.611
1282	1.877
