# northamerica_usa_ar067 - Ellen Cockran Hollow - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_ar067 - Ellen Cockran Hollow - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Ellen Cockran Hollow
#	Location:
#	Country: United States
#	Northernmost_Latitude: 36.2
#	Southernmost_Latitude: 36.2
#	Easternmost_Longitude: -92.37
#	Westernmost_Longitude: -92.37
#	Elevation: 274 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_ar067B
#	Earliest_Year: 1813
#	Most_Recent_Year: 1976
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.40726341652","T2":"18.5510806015","M1":"0.0225416767857","M2":"0.580487246638"}}
#--------------------
# Species
#	Species_Name: shortleaf pine
#	Species_Code: PIEC
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1813	1.184
1814	0.84
1815	0.926
1816	1.024
1817	0.998
1818	0.751
1819	0.908
1820	1.018
1821	0.918
1822	0.791
1823	0.661
1824	0.537
1825	0.797
1826	0.742
1827	0.92
1828	0.913
1829	0.879
1830	0.992
1831	1.34
1832	1.131
1833	0.845
1834	0.221
1835	0.074
1836	0.138
1837	0.302
1838	0.19
1839	0.208
1840	0.503
1841	0.616
1842	1.32
1843	0.473
1844	1.02
1845	1.23
1846	1.093
1847	1.169
1848	0.954
1849	1.167
1850	1.225
1851	1.095
1852	1.233
1853	1.104
1854	0.881
1855	1.014
1856	0.573
1857	0.955
1858	1.076
1859	1.638
1860	1.213
1861	1.848
1862	0.993
1863	1.496
1864	1.013
1865	1.018
1866	0.975
1867	1.161
1868	1.291
1869	0.994
1870	0.785
1871	0.9
1872	1.07
1873	0.879
1874	0.86
1875	0.947
1876	0.865
1877	0.933
1878	1.238
1879	0.887
1880	0.869
1881	0.775
1882	1.672
1883	1.56
1884	1.152
1885	0.717
1886	0.536
1887	0.495
1888	0.646
1889	0.621
1890	0.693
1891	0.911
1892	2.015
1893	1.685
1894	1.376
1895	1.098
1896	0.937
1897	1.01
1898	1.251
1899	0.632
1900	0.811
1901	0.598
1902	0.325
1903	0.598
1904	1.233
1905	1.276
1906	1.387
1907	1.265
1908	1.372
1909	1.669
1910	1.482
1911	1.472
1912	0.71
1913	0.838
1914	0.658
1915	0.51
1916	0.663
1917	0.883
1918	0.715
1919	1.082
1920	1.211
1921	0.738
1922	0.923
1923	1.247
1924	1.426
1925	0.821
1926	1.053
1927	0.966
1928	0.99
1929	0.943
1930	0.816
1931	0.808
1932	0.479
1933	0.698
1934	0.427
1935	0.534
1936	0.617
1937	0.941
1938	0.905
1939	1.115
1940	1.248
1941	0.76
1942	0.985
1943	0.569
1944	0.694
1945	0.722
1946	0.934
1947	1.176
1948	1.192
1949	0.849
1950	1.33
1951	0.697
1952	0.594
1953	0.583
1954	0.911
1955	1.43
1956	1.46
1957	2.497
1958	2.017
1959	1.564
1960	0.918
1961	1.167
1962	0.856
1963	0.703
1964	0.695
1965	0.827
1966	0.859
1967	0.6
1968	0.958
1969	1.003
1970	1.069
1971	1.02
1972	0.712
1973	1.204
1974	1.251
1975	1.267
1976	1.428
