# northamerica_usa_az084 - Dinnebito Wash - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_az084 - Dinnebito Wash - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Dinnebito Wash
#	Location:
#	Country: United States
#	Northernmost_Latitude: 36.17
#	Southernmost_Latitude: 36.17
#	Easternmost_Longitude: -110.5
#	Westernmost_Longitude: -110.5
#	Elevation: 1920 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_az084B
#	Earliest_Year: 1630
#	Most_Recent_Year: 1971
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.10505200927","T2":"16.0888957984","M1":"0.0233612920565","M2":"0.471206127236"}}
#--------------------
# Species
#	Species_Name: pinyon pine
#	Species_Code: PIED
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1630	0.679
1631	0.155
1632	0.484
1633	0.955
1634	1.068
1635	1.435
1636	1.208
1637	0.68
1638	0.618
1639	0.964
1640	1.407
1641	1.496
1642	1.381
1643	1.313
1644	1.17
1645	1.219
1646	1.188
1647	1.546
1648	0.879
1649	1.059
1650	1.361
1651	1.679
1652	1.538
1653	1.066
1654	0.142
1655	1.492
1656	1.489
1657	0.89
1658	0.503
1659	0.955
1660	1.533
1661	1.707
1662	1.207
1663	0.933
1664	1.017
1665	1.05
1666	0.77
1667	0.377
1668	0.177
1669	0.333
1670	0.276
1671	0.502
1672	0.971
1673	1.141
1674	1.162
1675	0.624
1676	0.365
1677	1.048
1678	0.741
1679	0.427
1680	1.474
1681	1.587
1682	1.328
1683	1.791
1684	1.039
1685	0.709
1686	0.632
1687	1.349
1688	0.837
1689	1.439
1690	1.149
1691	1.246
1692	1.279
1693	1.398
1694	0.64
1695	1.538
1696	0.796
1697	0.764
1698	1.181
1699	1.286
1700	0.255
1701	1.346
1702	0.855
1703	0.868
1704	0.569
1705	1.152
1706	1.373
1707	0.88
1708	0.668
1709	0.855
1710	1.094
1711	0.917
1712	0.89
1713	0.897
1714	0.778
1715	0.807
1716	0.606
1717	0.816
1718	1.219
1719	1.154
1720	1.716
1721	1.276
1722	1.168
1723	1.409
1724	1.302
1725	1.62
1726	1.839
1727	1.168
1728	0.008
1729	0.037
1730	0.658
1731	0.7
1732	0.842
1733	0.203
1734	0.431
1735	-0.026
1736	0.477
1737	0.211
1738	0.422
1739	0.383
1740	0.411
1741	0.925
1742	0.658
1743	1.419
1744	1.165
1745	1.984
1746	1.938
1747	1.844
1748	0.926
1749	2.281
1750	0.832
1751	1.141
1752	0.796
1753	0.608
1754	0.81
1755	0.343
1756	0.899
1757	0.601
1758	1.133
1759	1.293
1760	1.43
1761	1.273
1762	1.212
1763	0.714
1764	1.588
1765	0.561
1766	1.63
1767	1.101
1768	1.368
1769	0.806
1770	0.865
1771	1.091
1772	0.977
1773	0.496
1774	0.834
1775	1.091
1776	0.966
1777	0.916
1778	0.199
1779	0.542
1780	0.299
1781	0.621
1782	0.313
1783	0.268
1784	0.989
1785	0.253
1786	0.648
1787	1.118
1788	0.57
1789	0.894
1790	0.121
1791	1.182
1792	1.303
1793	1.754
1794	1.352
1795	1.523
1796	1.442
1797	0.981
1798	0.899
1799	1.218
1800	1.214
1801	0.675
1802	0.734
1803	0.926
1804	1.144
1805	0.449
1806	1.009
1807	1.123
1808	0.368
1809	0.837
1810	0.4
1811	1.027
1812	0.896
1813	-0.028
1814	0.664
1815	0.653
1816	1.356
1817	1.154
1818	0.031
1819	0.002
1820	-0.028
1821	0.898
1822	-0.028
1823	0.299
1824	0.73
1825	0.878
1826	0.844
1827	0.64
1828	0.978
1829	-0.028
1830	0.917
1831	0.984
1832	0.511
1833	1.354
1834	1.151
1835	1.563
1836	1.247
1837	1.74
1838	2.375
1839	2.097
1840	1.901
1841	1.17
1842	1.026
1843	1.023
1844	1.785
1845	0.344
1846	1.25
1847	0.131
1848	1.182
1849	2.083
1850	1.74
1851	0.826
1852	1.8
1853	1.112
1854	0.82
1855	1.349
1856	1.447
1857	0.577
1858	1.374
1859	1.161
1860	0.575
1861	-0.013
1862	1.64
1863	0.57
1864	-0.028
1865	1.188
1866	1.615
1867	1.853
1868	1.823
1869	1.259
1870	0.781
1871	0.241
1872	0.442
1873	0.537
1874	1.054
1875	0.726
1876	0.347
1877	0.996
1878	0.839
1879	0.278
1880	0.422
1881	0.241
1882	0.484
1883	0.539
1884	1.057
1885	1.129
1886	0.918
1887	0.354
1888	1.147
1889	1.158
1890	1.647
1891	1.286
1892	1.294
1893	1.124
1894	0.352
1895	1.405
1896	0.392
1897	1.046
1898	0.919
1899	0.015
1900	0.536
1901	0.526
1902	-0.028
1903	1.182
1904	0.302
1905	1.371
1906	1.467
1907	1.413
1908	1.011
1909	1.338
1910	1.129
