# northamerica_usa_az101 - Jack's Canyon - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_az101 - Jack's Canyon - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Jack's Canyon
#	Location:
#	Country: United States
#	Northernmost_Latitude: 34.75
#	Southernmost_Latitude: 34.75
#	Easternmost_Longitude: -111.1
#	Westernmost_Longitude: -111.1
#	Elevation: 1951 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_az101B
#	Earliest_Year: 1685
#	Most_Recent_Year: 1972
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"5.86192200988","T2":"16.3911296595","M1":"0.0234978256618","M2":"0.469938671502"}}
#--------------------
# Species
#	Species_Name: pinyon pine
#	Species_Code: PIED
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1685	0.577
1686	0.834
1687	1.229
1688	1.103
1689	1.207
1690	1.172
1691	1.165
1692	1.158
1693	1.33
1694	0.791
1695	0.803
1696	0.746
1697	0.603
1698	0.913
1699	1.095
1700	0.782
1701	1.158
1702	1.141
1703	0.773
1704	0.789
1705	0.85
1706	0.906
1707	0.858
1708	1.089
1709	1.034
1710	1.196
1711	0.887
1712	0.924
1713	0.834
1714	0.729
1715	0.859
1716	0.477
1717	0.894
1718	1.799
1719	0.996
1720	1.701
1721	1.124
1722	1.288
1723	1.13
1724	0.645
1725	1.009
1726	1.157
1727	0.735
1728	0.653
1729	0.314
1730	0.909
1731	1.005
1732	1.184
1733	0.874
1734	1.562
1735	0.183
1736	0.606
1737	0.741
1738	1.07
1739	0.734
1740	0.756
1741	0.841
1742	0.666
1743	1.127
1744	1.065
1745	1.623
1746	1.62
1747	1.386
1748	0.117
1749	1.133
1750	0.835
1751	1.207
1752	0.621
1753	0.743
1754	0.881
1755	1.074
1756	0.985
1757	0.994
1758	1.398
1759	1.527
1760	1.595
1761	1.076
1762	1.235
1763	0.54
1764	1.126
1765	0.823
1766	1.264
1767	1.305
1768	1.601
1769	0.942
1770	0.801
1771	1.154
1772	1.117
1773	0.931
1774	1.033
1775	1.191
1776	1.202
1777	1.004
1778	0.501
1779	0.887
1780	0.256
1781	0.75
1782	0.841
1783	1.029
1784	1.592
1785	1.048
1786	1.03
1787	1.171
1788	1.091
1789	1.287
1790	1.195
1791	1.574
1792	1.798
1793	1.71
1794	1.413
1795	1.696
1796	0.875
1797	0.934
1798	0.868
1799	1.227
1800	1.098
1801	0.831
1802	1.025
1803	0.477
1804	1.196
1805	0.824
1806	0.841
1807	0.646
1808	0.704
1809	0.691
1810	0.788
1811	0.817
1812	0.73
1813	0.627
1814	0.985
1815	1.038
1816	1.208
1817	1.108
1818	0.407
1819	0.323
1820	0.279
1821	0.552
1822	0.275
1823	0.238
1824	0.722
1825	0.753
1826	1.006
1827	1.056
1828	1.487
1829	0.611
1830	0.883
1831	0.673
1832	0.569
1833	0.936
1834	0.566
1835	0.901
1836	1.028
1837	0.747
1838	1.265
1839	1.594
1840	1.362
1841	1.227
1842	0.82
1843	1.097
1844	1.196
1845	0.782
1846	0.712
1847	0.218
1848	0.909
1849	1.303
1850	1.435
1851	0.866
1852	1.508
1853	1.428
1854	1.176
1855	1.192
1856	0.778
1857	0.242
1858	0.895
1859	0.591
1860	0.982
1861	0.671
1862	1.216
1863	0.898
1864	0.84
1865	1.217
1866	1.507
1867	1.756
1868	2.111
1869	1.265
1870	1.054
1871	0.722
1872	1.005
1873	0.95
1874	1.172
1875	1.035
1876	0.924
1877	0.802
1878	1.27
1879	0.632
1880	0.813
1881	0.709
1882	1.017
1883	0.961
1884	1.199
1885	1.125
1886	0.696
1887	0.726
1888	1.051
1889	1.075
1890	1.446
1891	1.474
1892	1.066
1893	0.938
1894	0.673
1895	0.789
1896	0.541
1897	0.88
1898	0.673
1899	0.147
1900	0.257
1901	0.619
1902	0.154
1903	0.736
1904	-0.045
1905	1.083
1906	1.389
1907	1.714
1908	1.915
1909	2.117
1910	1.18
1911	1.575
1912	1.13
1913	0.828
1914	1.112
1915	1.377
1916	1.591
1917	1.52
1918	1.362
1919	0.929
1920	1.481
1921	1.091
1922	1.389
1923	1.153
1924	1.164
1925	1.193
1926	1.309
1927	1.283
1928	0.763
1929	0.958
1930	1.003
1931	0.965
1932	1.114
1933	1.029
1934	0.835
1935	0.759
1936	0.804
1937	1.019
1938	1.016
1939	0.786
1940	0.691
1941	1.247
1942	1.168
1943	0.489
1944	1.208
1945	1.156
1946	0.542
1947	0.773
1948	1.097
1949	1.395
1950	0.779
1951	0.606
1952	1.323
1953	1.005
1954	0.708
1955	0.906
1956	0.668
1957	1.016
1958	0.843
1959	0.807
1960	1.055
1961	0.63
1962	0.979
1963	0.582
1964	0.798
1965	1.124
1966	1.03
