# northamerica_usa_az518 - Eagle Creek - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_az518 - Eagle Creek - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Eagle Creek
#	Location:
#	Country: United States
#	Northernmost_Latitude: 33.47
#	Southernmost_Latitude: 33.47
#	Easternmost_Longitude: -109.48
#	Westernmost_Longitude: -109.48
#	Elevation: 1694 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_az518B
#	Earliest_Year: 1794
#	Most_Recent_Year: 1987
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"3.95291992856","T2":"16.2026192236","M1":"0.0231158957683","M2":"0.470385566938"}}
#--------------------
# Species
#	Species_Name: pinyon pine
#	Species_Code: PIED
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1794	0.388
1795	1.201
1796	1.559
1797	1.375
1798	0.855
1799	1.496
1800	1.068
1801	1.127
1802	1.426
1803	0.645
1804	1.203
1805	0.91
1806	0.63
1807	1.091
1808	0.569
1809	0.988
1810	1.163
1811	1.276
1812	0.994
1813	0.913
1814	1.073
1815	1.288
1816	1.814
1817	1.03
1818	0.342
1819	0.193
1820	0.235
1821	0.52
1822	0.355
1823	0.402
1824	0.816
1825	0.827
1826	0.825
1827	0.686
1828	0.858
1829	1.132
1830	1.211
1831	1.136
1832	1.503
1833	1.232
1834	1.4
1835	1.521
1836	1.23
1837	1.181
1838	1.319
1839	1.662
1840	1.271
1841	0.475
1842	0.825
1843	1.063
1844	1.283
1845	1.113
1846	1.282
1847	0.654
1848	1.215
1849	1.583
1850	1.296
1851	0.67
1852	1.066
1853	0.786
1854	0.875
1855	1.249
1856	1.326
1857	1.295
1858	1.065
1859	0.603
1860	1.035
1861	1.021
1862	1.046
1863	0.608
1864	0.303
1865	1.24
1866	1.357
1867	1.494
1868	1.682
1869	1.422
1870	1.195
1871	0.956
1872	0.915
1873	0.811
1874	1.275
1875	1.564
1876	0.971
1877	1.194
1878	0.509
1879	0.487
1880	0.393
1881	0.522
1882	0.819
1883	0.603
1884	0.79
1885	1.145
1886	1.082
1887	0.72
1888	0.913
1889	1.325
1890	1.476
1891	1.113
1892	0.771
1893	0.378
1894	0.232
1895	0.865
1896	1.03
1897	1.389
1898	1.451
1899	0.874
1900	0.234
1901	1.181
1902	0.061
1903	1.361
1904	-0.037
1905	1.215
1906	1.151
1907	1.595
1908	2.019
1909	1.348
1910	0.456
1911	1.3
1912	1.56
1913	0.874
1914	1.562
1915	1.657
1916	1.36
1917	1.802
1918	0.912
1919	1.579
1920	1.37
1921	0.199
1922	0.465
1923	-0.037
1924	0.409
1925	0.078
1926	1.099
1927	1.122
1928	0.803
1929	0.913
1930	1.083
1931	1.693
1932	1.436
1933	1.458
1934	0.318
1935	1.09
1936	0.938
1937	1.525
1938	1.127
1939	0.797
1940	1.412
1941	1.692
1942	1.063
1943	1.294
1944	0.827
1945	1.019
1946	0.504
1947	0.816
1948	0.537
1949	1.252
1950	0.452
1951	0.546
1952	1.38
1953	0.454
1954	0.847
1955	0.607
1956	0.216
1957	0.991
1958	1.061
1959	0.534
1960	0.938
1961	0.454
1962	0.757
1963	0.786
1964	0.838
1965	1.073
1966	0.955
1967	0.679
1968	1.119
1969	0.846
1970	1.194
1971	-0.037
1972	1.056
1973	1.238
1974	-0.037
1975	1.096
1976	0.865
1977	0.609
1978	1.012
1979	1.606
1980	1.438
1981	1.604
1982	1.418
1983	1.618
1984	1.012
1985	0.729
1986	0.719
1987	1.284
