# northamerica_usa_az533 - Ord Mountain - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_az533 - Ord Mountain - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Ord Mountain
#	Location:
#	Country: United States
#	Northernmost_Latitude: 33.9
#	Southernmost_Latitude: 33.9
#	Easternmost_Longitude: -111.4
#	Westernmost_Longitude: -111.4
#	Elevation: 2133 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_az533B
#	Earliest_Year: 1607
#	Most_Recent_Year: 1987
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"5.03087206954","T2":"16.1795249009","M1":"0.0224337771132","M2":"0.426263080055"}}
#--------------------
# Species
#	Species_Name: ponderosa pine
#	Species_Code: PIPO
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1607	1.052
1608	1.052
1609	1.501
1610	1.336
1611	1.021
1612	0.932
1613	0.599
1614	1.104
1615	1.264
1616	1.443
1617	1.635
1618	1.664
1619	1.799
1620	1.912
1621	1.61
1622	1.464
1623	0.641
1624	0.723
1625	0.957
1626	0.615
1627	0.83
1628	0.921
1629	0.942
1630	0.942
1631	0.763
1632	0.186
1633	0.634
1634	0.549
1635	0.733
1636	0.963
1637	0.823
1638	1.164
1639	1.328
1640	1.441
1641	1.26
1642	1.097
1643	1.219
1644	1.602
1645	1.526
1646	0.941
1647	0.96
1648	0.474
1649	1.156
1650	0.997
1651	1.276
1652	1.073
1653	0.408
1654	0.256
1655	0.75
1656	0.918
1657	1.078
1658	0.877
1659	1.401
1660	1.175
1661	1.441
1662	1.037
1663	0.722
1664	0.833
1665	0.853
1666	0.821
1667	0.609
1668	0.689
1669	0.295
1670	-0.008
1671	0.612
1672	0.578
1673	1.045
1674	0.993
1675	1.068
1676	0.616
1677	1.025
1678	1.07
1679	1.067
1680	1.527
1681	1.671
1682	1.23
1683	1.226
1684	0.445
1685	0.152
1686	0.5
1687	0.732
1688	1.142
1689	1.116
1690	1.386
1691	1.583
1692	0.729
1693	0.725
1694	0.871
1695	0.868
1696	0.52
1697	0.694
1698	0.53
1699	1.138
1700	0.839
1701	0.767
1702	0.868
1703	0.58
1704	1.125
1705	1.264
1706	1.284
1707	0.93
1708	0.789
1709	0.821
1710	1.367
1711	0.866
1712	0.874
1713	0.866
1714	1.113
1715	0.716
1716	0.83
1717	1.024
1718	1.314
1719	1.134
1720	1.43
1721	0.953
1722	0.943
1723	0.97
1724	0.319
1725	1.396
1726	1.844
1727	0.927
1728	0.699
1729	0.34
1730	0.806
1731	0.886
1732	0.609
1733	0.545
1734	0.669
1735	0.047
1736	0.315
1737	0.567
1738	0.739
1739	0.614
1740	0.669
1741	0.757
1742	0.378
1743	1.104
1744	1.132
1745	1.338
1746	1.847
1747	1.747
1748	0.063
1749	1.278
1750	0.883
1751	0.709
1752	-0.01
1753	0.678
1754	0.595
1755	0.825
1756	0.597
1757	0.781
1758	1.054
1759	1.003
1760	1.157
1761	0.918
1762	1.276
1763	0.782
1764	1.552
1765	1.107
1766	1.802
1767	1.308
1768	1.136
1769	0.999
1770	1.122
1771	1.387
1772	1.418
1773	0.549
1774	0.72
1775	1.135
1776	1.04
1777	1.192
1778	1.244
1779	0.959
1780	1.008
1781	0.903
1782	0.27
1783	0.948
1784	1.642
1785	0.899
1786	1.01
1787	1.444
1788	0.641
1789	1.034
1790	0.716
1791	1.161
1792	1.268
1793	1.76
1794	0.835
1795	0.98
1796	0.669
1797	1.072
1798	0.937
1799	1.434
1800	1.233
1801	0.733
1802	1.322
1803	1.331
1804	1.372
1805	1.061
1806	1.209
1807	0.869
1808	0.829
1809	1.302
1810	0.624
1811	1.282
1812	1.256
1813	0.55
1814	1.321
1815	1.798
1816	1.39
1817	-0.013
1818	0.568
1819	0.574
1820	0.173
1821	0.811
1822	0.047
1823	-0.013
1824	0.817
1825	0.648
1826	0.91
1827	0.927
1828	1.191
1829	0.403
1830	1.038
1831	0.907
1832	1.354
1833	1.502
1834	0.934
1835	1.062
1836	0.938
1837	0.725
1838	0.952
1839	0.817
1840	0.881
1841	0.51
1842	0.701
1843	0.906
1844	1.195
1845	-0.013
1846	1.206
1847	0.325
1848	1.177
1849	1.585
1850	1.375
1851	0.745
1852	1.407
1853	1.221
1854	0.6
1855	1.243
1856	1.149
1857	0.862
1858	1.622
1859	1.244
1860	1.543
1861	1.175
1862	1.437
1863	0.49
1864	0.291
1865	1.353
1866	1.496
1867	0.936
1868	1.435
1869	1.214
1870	0.67
1871	0.81
1872	1.174
1873	0.989
1874	1.163
1875	1.938
1876	1.655
1877	0.964
1878	1.938
1879	1.148
1880	0.464
1881	0.792
1882	0.597
1883	0.731
1884	1.091
1885	1.084
1886	0.752
1887	0.536
