# northamerica_usa_ca079 - Snow White Ridge - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_ca079 - Snow White Ridge - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Snow White Ridge
#	Location:
#	Country: United States
#	Northernmost_Latitude: 38.13
#	Southernmost_Latitude: 38.13
#	Easternmost_Longitude: -120.05
#	Westernmost_Longitude: -120.05
#	Elevation: 1731 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_ca079B
#	Earliest_Year: 1621
#	Most_Recent_Year: 1980
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"3.57109249242","T2":"14.9384658297","M1":"0.0222344302492","M2":"0.447882166088"}}
#--------------------
# Species
#	Species_Name: ponderosa pine
#	Species_Code: PIPO
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1621	1.244
1622	0.998
1623	0.866
1624	1.039
1625	1.049
1626	1.032
1627	0.835
1628	0.848
1629	0.703
1630	0.828
1631	0.826
1632	0.755
1633	1.008
1634	0.843
1635	1.062
1636	1.151
1637	0.801
1638	0.949
1639	0.982
1640	0.655
1641	1.284
1642	1.432
1643	1.008
1644	1.182
1645	1.155
1646	0.817
1647	1.216
1648	0.801
1649	1.02
1650	0.92
1651	0.978
1652	0.923
1653	0.832
1654	1.138
1655	0.637
1656	0.926
1657	0.631
1658	0.952
1659	0.782
1660	0.637
1661	0.995
1662	0.764
1663	1.093
1664	0.747
1665	0.952
1666	1.066
1667	0.98
1668	1.032
1669	0.923
1670	0.858
1671	1.139
1672	1.249
1673	1.614
1674	1.346
1675	1.352
1676	0.777
1677	0.798
1678	1.233
1679	1.027
1680	0.991
1681	1.807
1682	1.106
1683	1.038
1684	1.123
1685	1.005
1686	0.761
1687	0.947
1688	1.222
1689	0.857
1690	0.787
1691	1.017
1692	1.114
1693	0.832
1694	0.874
1695	0.931
1696	0.835
1697	1.065
1698	0.803
1699	1.016
1700	1.157
1701	0.904
1702	1.32
1703	0.796
1704	0.716
1705	1.112
1706	0.813
1707	0.907
1708	0.8
1709	0.877
1710	0.9
1711	0.708
1712	0.973
1713	1.036
1714	1.041
1715	0.967
1716	1.049
1717	0.95
1718	0.814
1719	0.847
1720	0.905
1721	0.902
1722	1.144
1723	1.458
1724	1.145
1725	0.921
1726	1.275
1727	1.172
1728	1.127
1729	0.829
1730	1.182
1731	1.141
1732	1.001
1733	0.8
1734	0.813
1735	1.042
1736	0.891
1737	0.927
1738	1.203
1739	1.051
1740	0.83
1741	0.902
1742	1.046
1743	0.904
1744	0.925
1745	0.984
1746	1.168
1747	1.022
1748	0.744
1749	1.413
1750	1.141
1751	1.031
1752	1.019
1753	0.868
1754	0.697
1755	1.223
1756	0.68
1757	0.686
1758	0.81
1759	0.942
1760	0.742
1761	1.223
1762	0.929
1763	0.836
1764	0.845
1765	0.946
1766	1.002
1767	0.872
1768	1.053
1769	0.846
1770	1.216
1771	0.871
1772	1.291
1773	1.289
1774	0.992
1775	1.151
1776	0.995
1777	0.864
1778	0.771
1779	0.85
1780	0.939
1781	0.754
1782	0.786
1783	0.697
1784	0.821
1785	0.925
1786	0.896
1787	0.769
1788	0.677
1789	0.886
1790	1.002
1791	1.269
1792	1.414
1793	1.167
1794	1.105
1795	0.819
1796	0.759
1797	0.972
1798	0.834
1799	1.132
1800	1.075
1801	0.883
1802	0.928
1803	1.285
1804	1.3
1805	1.278
1806	1.109
1807	0.899
1808	1.181
1809	1.233
1810	1.415
1811	1.165
1812	1.422
1813	1.203
1814	1.66
1815	1.197
1816	1.455
1817	0.956
1818	1.27
1819	1.162
1820	1.123
1821	0.87
1822	0.817
1823	0.849
1824	0.756
1825	0.944
1826	1.109
1827	0.846
1828	1.185
1829	0.961
1830	0.715
1831	0.837
1832	1.305
1833	0.761
1834	0.645
1835	0.905
1836	0.87
1837	1.014
1838	1.092
1839	1.032
1840	1.038
1841	0.936
1842	0.786
1843	0.794
1844	0.732
1845	1.339
1846	0.745
1847	0.713
1848	0.772
1849	0.64
1850	0.685
1851	0.79
1852	0.766
1853	0.922
1854	0.847
1855	1.085
1856	0.873
1857	0.967
1858	0.723
1859	0.503
1860	1.022
1861	1.014
1862	0.632
1863	0.813
1864	0.819
1865	0.629
1866	0.98
1867	0.872
1868	1.281
1869	1.117
1870	1.176
1871	1.258
1872	1.224
1873	1.229
1874	0.972
1875	1.307
1876	1.065
1877	1.313
1878	1.103
1879	1.233
1880	0.95
1881	1.204
1882	0.95
1883	1.134
1884	1.255
1885	1.781
1886	1.123
1887	1.148
1888	1.19
1889	1.119
1890	0.975
1891	1.186
1892	1.178
1893	1.117
1894	1.279
1895	1.108
1896	1.253
1897	1.479
1898	1.124
1899	1.09
1900	1.501
1901	1.281
1902	1.143
1903	1.071
1904	0.916
1905	1.089
1906	0.977
1907	1.023
1908	0.971
1909	0.832
1910	0.894
1911	0.898
1912	0.946
1913	1.303
1914	1.084
1915	1.027
1916	0.796
1917	0.673
1918	0.642
1919	0.912
1920	0.816
1921	0.918
1922	0.629
1923	1.102
1924	0.806
1925	0.965
1926	1.14
1927	0.761
1928	1.122
1929	0.721
1930	0.814
1931	1.115
1932	0.676
1933	0.523
1934	0.944
1935	0.547
1936	0.753
1937	0.58
1938	0.867
1939	0.86
1940	0.876
1941	1.167
1942	0.92
1943	1.018
1944	0.717
1945	1.09
1946	1.219
1947	1.108
1948	0.942
1949	0.764
1950	0.95
1951	1.123
1952	0.684
1953	0.935
1954	1.188
1955	0.902
1956	0.945
1957	1.165
1958	1.363
1959	1.014
1960	1.009
1961	1.127
1962	1.021
1963	1.228
1964	1.316
1965	1.097
1966	1.009
1967	0.637
1968	0.817
1969	0.856
1970	0.921
1971	0.9
1972	0.996
1973	0.791
1974	1.179
1975	0.887
1976	1.022
1977	0.949
1978	0.964
1979	0.97
1980	0.83
