# northamerica_usa_ca525 - Damon's Butte - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_ca525 - Damon's Butte - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Damon's Butte
#	Location:
#	Country: United States
#	Northernmost_Latitude: 41.5
#	Southernmost_Latitude: 41.5
#	Easternmost_Longitude: -121.17
#	Westernmost_Longitude: -121.17
#	Elevation: 1448 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_ca525B
#	Earliest_Year: 1680
#	Most_Recent_Year: 1981
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"3.2227649185","T2":"15.119036967","M1":"0.0233071056356","M2":"0.539392243764"}}
#--------------------
# Species
#	Species_Name: ponderosa pine
#	Species_Code: PIPO
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1680	0.792
1681	0.94
1682	0.983
1683	0.847
1684	0.754
1685	0.949
1686	0.93
1687	0.922
1688	0.945
1689	0.536
1690	0.846
1691	1.166
1692	1.014
1693	1.018
1694	1.177
1695	0.878
1696	0.797
1697	0.929
1698	0.806
1699	0.85
1700	1.008
1701	0.72
1702	1.039
1703	0.568
1704	0.672
1705	0.88
1706	0.806
1707	0.951
1708	0.896
1709	0.832
1710	0.78
1711	0.865
1712	0.886
1713	0.857
1714	1.076
1715	1.235
1716	1.272
1717	0.998
1718	1.001
1719	0.908
1720	1.007
1721	0.648
1722	0.987
1723	1.005
1724	0.98
1725	0.893
1726	1.149
1727	1.124
1728	0.918
1729	0.874
1730	1.033
1731	1.082
1732	1.001
1733	0.873
1734	0.962
1735	1.134
1736	1.248
1737	1.385
1738	1.769
1739	0.871
1740	0.94
1741	0.914
1742	1.045
1743	0.958
1744	1.13
1745	1.264
1746	1.17
1747	1.239
1748	0.892
1749	1.356
1750	1.212
1751	1.366
1752	1.363
1753	1.113
1754	1.047
1755	1.193
1756	0.724
1757	0.809
1758	1.088
1759	1.08
1760	0.953
1761	1.239
1762	1.038
1763	0.937
1764	0.9
1765	1.002
1766	0.893
1767	1.006
1768	0.938
1769	0.961
1770	0.924
1771	0.909
1772	0.97
1773	1.04
1774	1.0
1775	1.236
1776	0.662
1777	0.701
1778	0.764
1779	0.884
1780	1.008
1781	0.862
1782	1.063
1783	0.809
1784	1.142
1785	1.078
1786	1.206
1787	1.094
1788	0.834
1789	1.102
1790	1.024
1791	1.294
1792	1.232
1793	1.094
1794	1.068
1795	0.923
1796	0.839
1797	0.951
1798	0.861
1799	1.186
1800	1.182
1801	1.316
1802	1.096
1803	1.499
1804	1.212
1805	1.114
1806	1.312
1807	1.165
1808	1.131
1809	1.415
1810	1.382
1811	1.363
1812	1.589
1813	1.222
1814	1.335
1815	0.913
1816	0.979
1817	0.826
1818	1.173
1819	1.128
1820	1.007
1821	0.936
1822	0.508
1823	0.657
1824	0.565
1825	0.865
1826	0.935
1827	0.971
1828	1.077
1829	0.326
1830	0.772
1831	0.736
1832	1.035
1833	0.901
1834	0.77
1835	0.898
1836	1.129
1837	1.063
1838	1.1
1839	0.714
1840	0.987
1841	0.762
1842	0.763
1843	0.777
1844	0.757
1845	1.069
1846	0.85
1847	0.842
1848	0.725
1849	0.872
1850	0.754
1851	0.84
1852	1.091
1853	0.892
1854	0.878
1855	1.249
1856	0.693
1857	0.89
1858	0.793
1859	0.579
1860	1.023
1861	1.14
1862	0.703
1863	0.769
1864	0.514
1865	0.568
1866	0.882
1867	0.623
1868	0.883
1869	0.874
1870	0.784
1871	0.904
1872	0.976
1873	0.911
1874	0.949
1875	1.067
1876	0.942
1877	0.925
1878	1.099
1879	1.135
1880	0.701
1881	1.159
1882	0.836
1883	0.825
1884	1.125
1885	1.215
1886	0.857
1887	1.013
1888	0.974
1889	0.6
1890	0.513
1891	0.785
1892	0.78
1893	0.833
1894	1.206
1895	0.932
1896	0.994
1897	1.084
1898	0.781
1899	0.71
1900	1.025
1901	0.858
1902	0.818
1903	0.678
1904	0.847
1905	1.031
1906	1.144
1907	1.682
1908	1.475
1909	1.049
1910	1.093
1911	0.879
1912	1.006
1913	1.479
1914	1.185
1915	1.212
1916	1.233
1917	0.871
1918	0.72
1919	0.786
1920	0.517
1921	0.932
1922	0.559
1923	0.65
1924	0.309
1925	0.686
1926	0.648
1927	0.596
1928	0.846
1929	0.471
1930	0.575
1931	0.488
1932	0.487
1933	0.478
1934	0.714
1935	0.584
1936	0.564
1937	0.509
1938	0.735
1939	0.613
1940	0.56
1941	0.906
1942	1.026
1943	0.98
1944	0.771
1945	0.902
1946	0.909
1947	0.944
1948	0.803
1949	0.682
1950	0.88
1951	0.884
1952	1.017
1953	1.296
1954	1.844
1955	1.387
1956	1.367
1957	1.776
1958	1.925
1959	1.555
1960	1.587
1961	1.518
