# northamerica_usa_ca533 - Campito Mountain - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_ca533 - Campito Mountain - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Campito Mountain
#	Location:
#	Country: United States
#	Northernmost_Latitude: 37.5
#	Southernmost_Latitude: 37.5
#	Easternmost_Longitude: -118.22
#	Westernmost_Longitude: -118.22
#	Elevation: 3400 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_ca533B
#	Earliest_Year: 626
#	Most_Recent_Year: 1983
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.19621691358","T2":"17.8220661906","M1":"0.0226917595082","M2":"0.290547533125"}}
#--------------------
# Species
#	Species_Name: Intermountain bristlecone pine
#	Species_Code: PILO
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
626	0.629
627	0.546
628	0.567
629	0.67
630	0.732
631	0.835
632	0.918
633	0.732
634	0.856
635	0.98
636	1.146
637	1.063
638	1.311
639	0.939
640	0.691
641	1.311
642	0.959
643	1.373
644	1.021
645	0.277
646	1.042
647	0.939
648	0.546
649	1.083
650	1.455
651	1.063
652	1.497
653	1.083
654	1.559
655	1.352
656	1.414
657	1.145
658	1.166
659	1.435
660	1.248
661	1.496
662	1.868
663	1.372
664	1.434
665	1.662
666	2.054
667	1.62
668	1.558
669	1.786
670	1.517
671	0.918
672	1.31
673	1.248
674	1.661
675	1.641
676	1.393
677	1.166
678	2.095
679	2.55
680	1.847
681	1.269
682	1.062
683	1.186
684	0.959
685	1.083
686	1.145
687	0.979
688	0.773
689	0.938
690	1.021
691	0.917
692	0.979
693	0.897
694	1.083
695	0.721
696	0.701
697	0.848
698	0.786
699	0.502
700	0.892
701	0.984
702	1.348
703	1.025
704	1.634
705	1.621
706	1.306
707	1.037
708	1.468
709	1.353
710	1.133
711	1.297
712	1.29
713	0.935
714	1.135
715	1.092
716	0.803
717	0.806
718	0.672
719	1.07
720	0.838
721	0.674
722	0.972
723	0.944
724	1.033
725	1.125
726	1.152
727	1.119
728	1.122
729	1.038
730	1.075
731	1.13
732	1.123
733	0.916
734	1.018
735	1.256
736	0.911
737	0.926
738	1.016
739	0.864
740	0.285
741	0.885
742	1.153
743	0.837
744	0.917
745	0.907
746	1.101
747	1.027
748	1.038
749	1.113
750	1.04
751	1.17
752	1.247
753	1.341
754	1.448
755	1.182
756	1.416
757	1.235
758	1.27
759	1.716
760	1.217
761	1.023
762	0.866
763	1.129
764	1.135
765	1.26
766	1.409
767	1.151
768	1.152
769	1.472
770	1.34
771	1.56
772	1.4
773	1.089
774	1.262
775	1.178
776	1.206
777	1.194
778	1.076
779	0.965
780	0.881
781	1.093
782	0.887
783	0.861
784	0.988
785	1.038
786	1.16
787	1.19
788	0.967
789	0.941
790	0.928
791	0.972
792	1.045
793	0.834
794	0.949
795	0.856
796	1.038
797	0.896
798	0.877
799	0.492
800	0.763
801	0.686
802	0.61
803	0.906
804	0.966
805	1.098
806	1.071
807	1.014
808	1.074
809	0.52
810	0.81
811	0.634
812	1.081
813	1.234
814	0.995
815	1.381
816	1.208
817	0.874
818	0.72
819	1.018
820	1.005
821	1.181
822	1.082
823	1.308
824	1.257
825	1.08
826	1.207
827	1.196
828	1.075
829	1.033
830	1.022
831	0.889
832	0.969
833	0.989
834	0.869
835	0.83
836	0.811
837	0.671
838	0.65
839	0.571
840	0.733
841	0.571
842	1.075
843	1.234
844	1.075
845	1.062
846	1.225
847	0.747
848	0.861
849	1.087
850	1.154
851	1.326
852	1.438
853	1.604
854	1.318
855	1.094
856	1.445
857	1.21
858	1.133
859	0.914
860	0.968
861	1.074
862	0.823
863	1.074
864	0.836
865	0.836
866	0.81
867	0.67
868	0.525
869	0.781
870	0.798
871	1.133
872	1.155
873	1.342
874	1.247
875	1.839
876	1.441
877	0.979
878	0.74
879	1.061
880	1.238
881	1.127
882	1.289
883	1.21
884	1.227
885	1.373
886	0.954
887	1.198
888	0.94
889	1.183
890	0.974
891	1.185
892	1.089
893	1.047
894	1.206
895	1.259
896	1.338
897	1.295
898	1.153
899	0.785
900	0.786
901	0.933
902	0.82
903	0.853
904	0.788
905	0.821
906	0.691
907	0.478
908	0.823
909	0.919
910	0.874
911	1.023
912	0.908
913	0.892
914	0.843
915	1.058
916	1.103
917	1.082
918	1.011
919	0.846
920	0.797
921	1.021
922	0.764
923	0.689
924	0.356
925	0.646
926	0.647
927	0.65
928	0.543
929	0.967
930	0.852
931	0.652
932	0.635
933	0.57
934	1.004
935	0.789
936	0.771
937	0.872
938	0.889
939	0.77
940	0.705
941	0.862
942	0.672
943	0.864
944	0.622
945	0.791
946	0.758
947	0.876
948	0.843
949	0.728
950	0.826
951	0.946
952	0.625
953	0.811
954	0.991
955	0.931
