# northamerica_usa_ca534 - Sheep Mountain California - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_ca534 - Sheep Mountain California - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Sheep Mountain California
#	Location:
#	Country: United States
#	Northernmost_Latitude: 37.37
#	Southernmost_Latitude: 37.37
#	Easternmost_Longitude: -118.22
#	Westernmost_Longitude: -118.22
#	Elevation: 3475 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_ca534B
#	Earliest_Year: 0
#	Most_Recent_Year: 1990
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.34452127932","T2":"17.7018012898","M1":"0.0224107621699","M2":"0.302307895644"}}
#--------------------
# Species
#	Species_Name: Intermountain bristlecone pine
#	Species_Code: PILO
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
0	1.235
1	1.177
2	1.062
3	1.322
4	1.004
5	1.033
6	1.033
7	1.41
8	1.063
9	1.15
10	1.468
11	1.44
12	1.527
13	1.324
14	1.179
15	0.919
16	0.977
17	0.948
18	1.209
19	1.412
20	1.355
21	0.774
22	1.075
23	1.559
24	1.628
25	1.882
26	1.858
27	1.858
28	1.468
29	0.599
30	1.175
31	1.277
32	1.917
33	1.517
34	1.961
35	1.836
36	2.036
37	1.351
38	1.773
39	1.514
40	0.885
41	1.197
42	1.025
43	0.779
44	0.559
45	0.449
46	0.546
47	0.656
48	0.668
49	0.799
50	0.942
51	0.701
52	1.012
53	0.627
54	1.025
55	1.025
56	0.69
57	0.628
58	0.499
59	0.598
60	0.708
61	0.773
62	0.825
63	0.754
64	0.696
65	0.489
66	0.868
67	0.687
68	0.998
69	0.784
70	1.05
71	0.975
72	1.072
73	0.61
74	0.745
75	1.177
76	1.3
77	1.335
78	1.614
79	1.588
80	1.372
81	1.234
82	1.362
83	0.691
84	1.083
85	0.559
86	0.925
87	0.898
88	1.478
89	1.512
90	1.631
91	1.303
92	0.989
93	0.845
94	0.986
95	1.072
96	1.29
97	0.734
98	0.663
99	0.572
100	0.258
101	0.41
102	0.41
103	0.819
104	0.803
105	0.828
106	0.3
107	0.522
108	0.656
109	0.611
110	0.733
111	0.741
112	0.803
113	0.815
114	0.852
115	1.097
116	0.76
117	0.496
118	0.58
119	0.607
120	0.914
121	0.912
122	0.905
123	0.77
124	1.099
125	1.222
126	0.91
127	0.916
128	0.993
129	0.771
130	1.048
131	0.803
132	1.117
133	0.736
134	0.879
135	0.956
136	0.334
137	0.25
138	1.033
139	0.873
140	0.665
141	0.611
142	0.769
143	0.729
144	0.63
145	0.526
146	0.605
147	0.612
148	0.802
149	0.492
150	0.419
151	0.306
152	0.365
153	0.709
154	0.815
155	0.81
156	0.797
157	1.167
158	1.041
159	1.001
160	0.958
161	1.114
162	0.999
163	0.94
164	1.138
165	0.639
166	0.663
167	1.288
168	0.82
169	0.835
170	1.004
171	1.078
172	0.99
173	1.167
174	0.857
175	0.965
176	0.395
177	0.858
178	0.682
179	0.701
180	1.028
181	0.967
182	0.908
183	0.889
184	1.097
185	0.988
186	0.978
187	1.056
188	1.436
189	1.094
190	1.057
191	1.315
192	1.013
193	1.223
194	0.91
195	0.59
196	0.748
197	1.09
198	1.069
199	1.326
200	1.209
201	1.094
202	1.063
203	1.059
204	1.128
205	1.187
206	1.041
207	1.037
208	0.597
209	1.013
210	1.299
211	0.974
212	1.097
213	1.398
214	0.882
215	0.796
216	0.987
217	1.095
218	1.32
219	1.059
220	0.984
221	0.74
222	1.118
223	0.847
224	0.822
225	0.923
226	0.839
227	0.788
228	0.81
229	1.062
230	0.866
231	0.883
232	0.961
233	0.809
234	0.825
235	0.011
236	0.481
237	0.882
238	0.854
239	0.836
240	1.029
241	1.085
242	1.033
243	0.843
244	0.951
245	1.11
246	0.984
247	1.247
248	0.846
249	0.933
250	1.272
251	1.335
252	1.324
253	1.31
254	1.213
255	0.663
256	0.869
257	1.043
258	1.158
259	0.869
260	0.988
261	0.833
262	0.879
263	1.024
264	1.079
265	1.145
266	1.237
267	0.948
268	1.129
269	1.204
270	1.167
271	0.901
272	0.859
273	0.919
274	0.641
275	0.899
276	0.964
277	1.057
278	0.607
279	0.952
280	1.164
281	1.249
282	1.202
283	1.105
284	1.147
285	1.019
286	1.384
287	0.981
288	1.307
289	1.115
290	0.987
291	0.76
292	1.091
293	0.593
294	0.409
295	0.819
296	0.943
297	0.893
298	0.865
299	0.996
300	1.156
301	0.81
302	0.971
303	0.976
304	1.017
305	0.743
306	0.46
307	0.557
308	0.531
309	0.714
310	1.01
311	0.974
312	1.038
313	1.336
314	1.363
315	1.39
316	1.382
317	1.375
318	1.324
319	1.342
320	0.964
321	0.473
322	0.989
323	0.997
324	0.975
325	1.098
326	1.091
327	1.355
328	0.835
329	1.256
330	1.371
