# northamerica_usa_ca535 - Methuselah Walk - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_ca535 - Methuselah Walk - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Methuselah Walk
#	Location:
#	Country: United States
#	Northernmost_Latitude: 37.43
#	Southernmost_Latitude: 37.43
#	Easternmost_Longitude: -118.17
#	Westernmost_Longitude: -118.17
#	Elevation: 2805 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_ca535B
#	Earliest_Year: 0
#	Most_Recent_Year: 1979
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.2801984481","T2":"16.833949759","M1":"0.0226863580035","M2":"0.390587264149"}}
#--------------------
# Species
#	Species_Name: Intermountain bristlecone pine
#	Species_Code: PILO
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
0	1.174
1	1.017
2	1.094
3	1.364
4	1.308
5	1.024
6	1.162
7	0.49
8	1.01
9	1.117
10	1.09
11	1.091
12	1.057
13	1.026
14	0.389
15	0.006
16	0.284
17	0.685
18	1.036
19	1.01
20	0.479
21	0.882
22	0.929
23	0.769
24	1.085
25	1.033
26	1.242
27	1.321
28	1.105
29	0.588
30	1.211
31	0.389
32	1.148
33	1.209
34	1.234
35	1.4
36	1.488
37	0.286
38	1.31
39	1.35
40	1.216
41	1.352
42	0.573
43	1.131
44	0.759
45	1.025
46	0.745
47	1.092
48	1.026
49	1.181
50	1.202
51	1.28
52	1.17
53	0.622
54	1.061
55	1.032
56	0.516
57	1.046
58	1.072
59	0.973
60	1.025
61	1.049
62	0.945
63	0.704
64	0.835
65	0.511
66	1.026
67	0.411
68	1.057
69	0.706
70	0.931
71	0.407
72	1.092
73	0.873
74	1.06
75	0.754
76	1.074
77	1.134
78	1.119
79	1.154
80	1.15
81	1.318
82	0.895
83	0.468
84	0.915
85	0.711
86	0.733
87	0.406
88	1.075
89	1.289
90	1.23
91	1.173
92	1.223
93	0.99
94	0.93
95	0.88
96	1.267
97	1.085
98	0.889
99	0.99
100	0.319
101	0.684
102	1.132
103	1.02
104	1.035
105	1.091
106	0.944
107	0.928
108	0.965
109	0.006
110	1.26
111	1.21
112	0.982
113	1.142
114	1.103
115	1.087
116	1.143
117	0.976
118	0.614
119	1.056
120	1.13
121	1.226
122	1.002
123	0.696
124	1.241
125	1.166
126	1.119
127	1.036
128	1.243
129	1.202
130	1.212
131	0.791
132	1.235
133	1.001
134	1.185
135	1.135
136	1.088
137	0.998
138	1.293
139	1.079
140	1.126
141	1.283
142	1.171
143	0.728
144	1.029
145	0.625
146	0.962
147	0.447
148	1.348
149	1.342
150	0.593
151	0.38
152	0.658
153	0.946
154	1.154
155	1.013
156	1.409
157	1.505
158	1.04
159	1.185
160	1.053
161	1.106
162	0.727
163	1.289
164	0.908
165	0.855
166	1.056
167	1.08
168	0.676
169	0.846
170	0.891
171	0.995
172	0.591
173	0.972
174	0.629
175	0.875
176	0.633
177	1.036
178	0.591
179	0.891
180	1.164
181	1.021
182	1.383
183	1.139
184	1.279
185	1.343
186	1.337
187	1.437
188	1.111
189	0.946
190	0.917
191	1.487
192	1.267
193	1.556
194	1.229
195	1.062
196	0.94
197	0.496
198	1.073
199	1.352
200	0.969
201	1.014
202	0.939
203	1.271
204	1.438
205	1.207
206	1.466
207	0.785
208	0.693
209	0.952
210	0.906
211	0.929
212	1.235
213	1.114
214	0.724
215	0.797
216	1.261
217	1.155
218	1.133
219	0.979
220	0.921
221	1.021
222	1.076
223	0.795
224	1.068
225	0.929
226	0.719
227	1.103
228	1.246
229	1.121
230	0.956
231	0.951
232	1.289
233	0.779
234	0.844
235	0.338
236	0.006
237	1.279
238	1.026
239	0.921
240	1.273
241	1.178
242	0.9
243	0.885
244	0.821
245	0.928
246	0.906
247	1.113
248	0.902
249	1.084
250	0.929
251	0.824
252	1.07
253	1.191
254	1.176
255	0.315
256	1.118
257	0.983
258	0.909
259	1.043
260	1.298
261	0.668
262	0.757
263	1.048
264	1.104
265	1.057
266	1.218
267	1.267
268	1.282
269	1.169
270	0.7
271	1.045
272	1.193
273	1.311
274	0.544
275	1.179
276	1.422
277	1.214
278	0.792
279	0.743
280	1.253
281	1.53
282	1.198
283	1.314
284	1.235
285	1.086
286	1.442
287	1.211
288	1.556
289	1.217
290	1.317
291	1.022
292	0.83
293	0.872
294	0.006
295	1.407
296	1.208
297	1.212
298	1.185
299	1.448
300	1.345
301	1.245
302	1.182
303	1.125
304	1.234
305	0.006
306	0.521
307	0.75
308	0.541
309	0.921
310	1.143
311	1.199
312	0.86
313	1.019
314	1.124
315	1.067
316	1.007
317	1.089
318	1.112
319	1.042
320	0.829
321	0.274
322	1.195
323	0.536
324	0.768
325	0.946
326	0.982
327	1.136
328	1.187
329	1.179
330	1.44
331	1.322
332	1.14
333	0.657
334	0.796
335	1.263
336	0.911
337	1.009
338	1.336
339	1.04
340	0.994
341	1
342	1.161
343	1.346
344	0.682
345	1.308
346	1.236
347	1.122
348	1.049
349	1.22
350	1.341
351	1.288
352	1.183
353	0.895
354	1.186
355	1.238
356	0.96
357	1.129
358	1.191
359	1.051
360	1.244
361	0.041
362	1.041
363	0.874
364	1.019
365	1.175
366	1.1
367	1.108
368	1.288
369	0.104
370	0.578
371	0.783
372	1.068
373	1.017
374	1.022
375	1.147
376	0.558
377	0.635
378	0.744
379	1.091
380	1.026
381	1.208
382	0.963
383	1.044
384	1.055
385	0.742
386	0.241
387	0.98
388	0.95
389	0.91
390	0.9
391	0.914
392	0.901
393	1.287
394	1.054
395	1.225
396	1.191
397	1.019
398	1.172
399	1
400	0.873
401	0.909
402	0.712
403	0.819
404	0.708
405	1.197
406	0.872
407	0.999
408	1.186
409	0.918
410	1.02
411	0.923
412	1.055
413	0.838
414	0.854
415	1.131
416	0.533
417	1.171
418	0.979
419	0.809
420	0.821
421	0.856
422	1.132
423	1.131
424	1.031
425	1.012
426	0.947
427	1.063
428	1.181
429	1.012
430	1.208
431	0.698
432	1.234
433	1.23
434	1.012
435	1.197
436	1.031
437	0.559
438	0.904
439	0.875
440	1.047
441	0.797
442	0.006
443	0.91
444	1.12
445	1.278
446	0.519
447	0.768
448	1.107
449	0.135
450	1.246
451	0.587
452	1.168
453	1.284
454	1.32
455	0.801
456	1.208
457	1.439
458	1.213
459	1.089
460	1.083
461	0.882
462	0.907
463	0.645
464	0.745
465	0.898
466	0.993
467	0.818
468	1.02
469	0.963
470	0.941
471	0.729
472	0.623
473	0.774
474	0.54
475	0.993
476	0.939
477	0.951
478	0.829
479	1.009
480	1.298
481	1.005
482	0.93
483	1.162
484	1.074
485	1.062
486	0.67
487	1.179
488	0.868
489	1.029
490	0.77
491	0.813
492	1.034
493	1.077
494	1.101
495	1.434
496	1.375
497	1.066
498	1.247
499	1.176
500	1.025
501	0.696
502	1.208
503	1.206
504	1.294
505	1.151
506	1.005
507	0.807
508	1.199
509	1.163
510	1.372
511	1.08
512	0.95
513	0.598
514	0.755
515	0.793
516	0.948
517	0.584
518	0.529
519	0.79
520	0.767
521	1.12
522	1.164
523	1.074
524	1.019
525	0.676
526	0.792
527	0.908
528	0.687
529	0.94
530	0.968
531	0.585
532	1.136
533	1.147
534	1.079
535	0.804
536	0.45
537	1.043
538	1.145
539	0.894
540	1.225
541	0.916
542	0.644
543	0.804
544	0.721
545	0.697
546	0.895
547	0.85
548	1.249
549	1.104
550	1.347
551	1.135
552	1.395
553	1.028
554	0.003
555	1.257
556	1.209
557	1.211
558	1.037
559	1.067
560	1.315
561	1.089
562	0.285
563	0.003
564	1.029
565	0.617
566	0.5
567	0.938
568	0.944
569	0.295
570	0.409
571	0.795
572	0.668
573	0.792
574	0.941
575	1.093
576	1.058
577	1.053
578	1.094
579	0.926
580	0.665
581	1.043
582	1.069
583	1.233
584	0.875
585	1.092
586	0.95
587	1.101
588	0.61
589	0.949
590	0.749
591	0.348
592	1.086
593	1.263
594	0.551
595	0.99
596	0.505
597	1.218
598	1.095
599	0.959
600	1.175
601	1.102
602	0.723
603	0.735
604	0.994
605	0.986
606	0.813
607	0.923
608	1.054
609	0.971
610	0.499
611	0.559
612	0.649
