# northamerica_usa_ca636 - Boreal Plateau - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_ca636 - Boreal Plateau - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Boreal Plateau
#	Location:
#	Country: United States
#	Northernmost_Latitude: 36.45
#	Southernmost_Latitude: 36.45
#	Easternmost_Longitude: -118.55
#	Westernmost_Longitude: -118.55
#	Elevation: 3420 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_ca636B
#	Earliest_Year: 831
#	Most_Recent_Year: 1992
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.33252671175","T2":"16.1252206808","M1":"0.0228918290661","M2":"0.480971599985"}}
#--------------------
# Species
#	Species_Name: foxtail pine
#	Species_Code: PIBA
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
831	0.97
832	1.381
833	1.381
834	1.56
835	1.38
836	1.355
837	1.149
838	1.303
839	1.38
840	1.354
841	1.431
842	1.79
843	1.585
844	1.38
845	1.251
846	1.508
847	1.072
848	1.405
849	1.405
850	1.969
851	1.995
852	1.353
853	1.738
854	1.635
855	1.635
856	2.122
857	1.507
858	1.455
859	1.814
860	1.66
861	0.968
862	1.532
863	1.404
864	1.224
865	0.917
866	1.045
867	0.866
868	0.763
869	0.789
870	0.993
871	0.993
872	0.814
873	0.737
874	0.788
875	1.044
876	1.223
877	0.891
878	0.993
879	1.07
880	0.814
881	1.121
882	1.018
883	0.942
884	0.711
885	1.223
886	0.916
887	1.197
888	1.146
889	1.197
890	0.967
891	1.427
892	1.964
893	1.657
894	1.554
895	1.657
896	1.631
897	2.014
898	1.784
899	1.707
900	1.605
901	1.528
902	1.298
903	1.017
904	1.35
905	1.105
906	0.94
907	0.903
908	1.04
909	0.921
910	0.983
911	1.066
912	1.036
913	0.831
914	1.038
915	1.399
916	1.163
917	1.117
918	1.273
919	1.15
920	1.264
921	1.467
922	1.188
923	1.085
924	0.977
925	0.972
926	1.107
927	1.18
928	0.895
929	1.084
930	1.006
931	0.998
932	1.128
933	1.254
934	1.285
935	1.28
936	1.429
937	1.623
938	1.431
939	1.315
940	1.497
941	1.849
942	1.541
943	1.656
944	1.454
945	1.273
946	1.355
947	1.537
948	1.273
949	1.469
950	1.267
951	1.349
952	0.878
953	1.253
954	0.883
955	0.957
956	1.011
957	0.832
958	0.655
959	1.17
960	1.238
961	1.127
962	1.066
963	1.475
964	1.159
965	1.107
966	1.389
967	1.12
968	1.356
969	0.97
970	1.126
971	1.288
972	1.254
973	0.83
974	0.934
975	0.736
976	0.737
977	0.943
978	0.916
979	0.665
980	0.945
981	0.845
982	0.872
983	0.696
984	1.004
985	1.093
986	0.828
987	1.016
988	1.072
989	1.245
990	0.983
991	1.168
992	1.161
993	1.551
994	1.459
995	0.966
996	0.948
997	1.092
998	1.336
999	1.121
1000	1.377
1001	1.007
1002	0.966
1003	1.124
1004	1.107
1005	1.043
1006	0.99
1007	1.447
1008	1.041
1009	1.027
1010	1.229
1011	0.989
1012	1.011
1013	1.065
1014	0.798
1015	0.892
1016	0.921
1017	0.964
1018	1.074
1019	1.147
1020	1.045
1021	1.136
1022	1.131
1023	1.371
1024	1.378
1025	1.063
1026	1.202
1027	1.303
1028	1.064
1029	1.134
1030	1.144
1031	1.239
1032	1.404
1033	1.121
1034	1.081
1035	0.977
1036	0.933
1037	1.036
1038	1.141
1039	0.808
1040	0.78
1041	0.888
1042	1.043
1043	0.756
1044	0.95
1045	1.031
1046	0.966
1047	0.846
1048	0.919
1049	0.819
1050	0.861
1051	1.031
1052	0.977
1053	0.842
1054	0.921
1055	0.96
1056	0.954
1057	0.975
1058	0.998
1059	0.667
1060	0.677
1061	1.085
1062	0.914
1063	0.879
1064	1.166
1065	1.183
1066	1.033
1067	1.137
1068	1.06
1069	0.947
1070	0.973
1071	0.992
1072	1.086
1073	1.077
1074	1.039
1075	1.362
1076	1.105
1077	1.394
1078	0.891
1079	1.346
1080	1.403
1081	1.558
1082	1.244
1083	1.085
1084	1.567
1085	1.447
1086	1.285
1087	1.489
1088	1.482
1089	1.362
1090	1.338
1091	1.487
1092	1.239
1093	0.971
1094	1.32
1095	1.219
1096	1.351
1097	1.231
1098	0.718
1099	1.037
1100	1.242
1101	1.226
1102	1.097
1103	1.085
1104	1.182
1105	1.244
1106	1.401
1107	1.047
1108	1.045
1109	0.871
1110	0.81
1111	1.064
1112	1.174
1113	1.012
1114	0.759
1115	0.895
1116	1.035
1117	0.975
1118	0.885
1119	0.939
1120	1.03
1121	0.718
1122	1.07
1123	0.773
1124	0.885
1125	1.215
1126	0.706
1127	0.698
1128	1.002
1129	1.082
1130	0.992
1131	0.935
1132	0.671
1133	0.617
1134	0.749
1135	0.772
1136	0.709
1137	0.808
1138	0.763
1139	0.854
1140	0.796
1141	0.756
1142	0.834
1143	0.801
1144	0.772
1145	0.669
1146	0.715
1147	0.851
1148	0.751
1149	0.729
1150	0.726
1151	0.5
1152	0.788
1153	0.723
1154	0.723
1155	0.878
1156	0.9
1157	0.906
1158	0.838
1159	1.289
1160	0.991
1161	1.007
1162	0.849
1163	1.198
1164	0.99
1165	1.272
1166	1.22
1167	1.13
1168	1.219
1169	1.331
1170	1.054
1171	1.018
1172	0.931
1173	0.919
1174	0.962
1175	0.986
1176	1.054
1177	0.777
1178	0.965
1179	0.921
1180	0.96
1181	1.108
1182	1.227
1183	0.924
1184	1.021
1185	0.787
1186	0.893
1187	0.886
1188	1.076
1189	1.183
1190	1.164
1191	0.828
1192	0.807
1193	1.16
1194	0.919
1195	1.283
1196	0.834
1197	1.06
1198	0.921
1199	0.873
1200	0.698
1201	0.756
1202	0.912
1203	0.997
1204	0.944
1205	1.034
1206	0.695
1207	0.633
1208	0.833
1209	1.046
1210	1.01
1211	1.013
1212	1.081
1213	0.972
1214	0.994
1215	0.907
1216	0.851
1217	0.593
1218	0.746
1219	0.869
1220	1.1
1221	0.85
1222	1.079
1223	1.057
1224	1.163
1225	1.207
1226	1.006
1227	0.691
1228	0.995
1229	1.133
1230	0.504
1231	0.999
1232	1.018
1233	0.884
1234	0.973
1235	0.738
1236	0.741
1237	0.607
1238	0.997
1239	0.914
1240	1.039
1241	0.999
1242	0.848
1243	0.878
1244	0.955
1245	0.99
1246	1.056
1247	0.925
1248	1.269
1249	1.218
1250	0.737
1251	0.745
1252	0.965
1253	1.122
1254	0.741
1255	0.879
1256	1.15
1257	1.034
1258	0.907
1259	1.051
1260	0.981
1261	1.151
1262	1.364
1263	1.07
1264	1.027
1265	0.96
1266	0.901
1267	1.073
1268	0.871
1269	0.851
1270	0.924
1271	0.861
1272	0.903
1273	0.754
1274	0.878
1275	0.916
1276	0.914
1277	0.947
1278	0.892
1279	1.214
1280	0.991
1281	1.033
1282	1.138
1283	1.453
1284	0.779
1285	0.836
1286	1.062
1287	0.899
1288	0.829
1289	1.027
1290	1.058
1291	0.974
1292	0.808
1293	0.652
1294	0.793
1295	0.857
1296	0.715
1297	0.691
1298	0.909
1299	1.028
1300	1.028
1301	1.035
1302	1.018
1303	0.87
1304	1.071
1305	0.907
1306	0.963
1307	0.848
1308	0.973
1309	0.646
1310	1.035
1311	0.972
1312	0.955
1313	1.213
1314	1.203
1315	0.905
1316	0.99
1317	1.101
1318	1.015
1319	1.102
1320	1.23
1321	1.217
1322	1.264
1323	1.31
1324	1.409
1325	1.391
1326	1.337
1327	1.834
1328	1.695
1329	1.26
1330	1.54
1331	1.365
1332	0.847
1333	1.474
1334	1.072
1335	0.769
1336	0.476
1337	0.907
1338	0.65
1339	0.637
1340	0.696
1341	0.68
1342	0.794
1343	0.855
1344	0.764
1345	0.807
1346	0.826
1347	0.636
1348	0.574
1349	0.692
1350	0.811
1351	0.788
1352	0.854
1353	0.884
1354	0.823
1355	0.811
1356	1.053
1357	0.977
1358	0.67
1359	0.97
1360	0.744
1361	0.609
1362	0.786
1363	0.876
1364	0.679
1365	0.786
1366	0.991
1367	1.099
1368	1.324
1369	1.16
1370	1.093
1371	1.093
1372	1.275
1373	1.113
1374	1.279
1375	1.13
1376	1.271
1377	1.212
1378	1.401
1379	1.117
1380	1.386
1381	1.594
1382	1.434
1383	1.337
1384	1.238
1385	1.65
1386	1.088
1387	1.232
1388	1.363
1389	1.277
1390	0.989
1391	0.893
1392	1.148
1393	1.162
1394	1.3
1395	1.19
1396	0.929
1397	1.139
1398	0.978
