# northamerica_usa_ca646 - Rock Springs Ranch - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_ca646 - Rock Springs Ranch - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Rock Springs Ranch
#	Location:
#	Country: United States
#	Northernmost_Latitude: 36.82
#	Southernmost_Latitude: 36.82
#	Easternmost_Longitude: -120.88
#	Westernmost_Longitude: -120.88
#	Elevation: 1067 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_ca646B
#	Earliest_Year: 1379
#	Most_Recent_Year: 2003
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.3672225736","T2":"16.3182136452","M1":"0.0224996090645","M2":"0.468699733746"}}
#--------------------
# Species
#	Species_Name: blue oak
#	Species_Code: QUDG
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1379	0.583
1380	1.189
1381	1.014
1382	0.862
1383	1.514
1384	0.973
1385	1.157
1386	0.787
1387	0.809
1388	0.902
1389	0.893
1390	0.429
1391	0.681
1392	0.812
1393	0.738
1394	1.004
1395	0.999
1396	1.169
1397	0.922
1398	0.946
1399	0.861
1400	0.879
1401	0.754
1402	0.515
1403	1.067
1404	1.025
1405	0.866
1406	1.161
1407	0.352
1408	0.72
1409	0.986
1410	0.747
1411	1.257
1412	1.412
1413	0.851
1414	1.719
1415	1.168
1416	1
1417	0.761
1418	1.062
1419	0.609
1420	1.943
1421	0.934
1422	1.34
1423	1.283
1424	1.463
1425	0.728
1426	0.813
1427	0.954
1428	0.873
1429	0.811
1430	0.484
1431	0.52
1432	0.806
1433	1.592
1434	0.687
1435	1.273
1436	1.945
1437	1.438
1438	1.422
1439	1.242
1440	1.733
1441	1.56
1442	1.244
1443	1.287
1444	0.541
1445	1.432
1446	1.173
1447	0.933
1448	1.27
1449	1.475
1450	0.925
1451	1.186
1452	0.381
1453	0.753
1454	0.943
1455	1.254
1456	0.738
1457	1.028
1458	1.573
1459	0.483
1460	0.988
1461	0.679
1462	1.325
1463	0.88
1464	0.593
1465	0.678
1466	1.578
1467	1.89
1468	0.551
1469	1.309
1470	1.954
1471	1.33
1472	0.804
1473	0.823
1474	1.141
1475	0.796
1476	0.527
1477	0.76
1478	0.759
1479	0.404
1480	0.194
1481	0.707
1482	0.994
1483	0.896
1484	1.488
1485	1.296
1486	1.38
1487	1.489
1488	1.587
1489	1.358
1490	1.078
1491	1.466
1492	0.847
1493	1.357
1494	0.852
1495	0.958
1496	0.873
1497	0.38
1498	0.874
1499	0.198
1500	0.928
1501	1.415
1502	1.236
1503	1.404
1504	0.827
1505	0.516
1506	0.571
1507	0.377
1508	1.058
1509	1.341
1510	0.64
1511	0.597
1512	1.104
1513	1.095
1514	0.94
1515	0.914
1516	0.682
1517	1.008
1518	0.225
1519	0.412
1520	0.642
1521	0.317
1522	0.949
1523	1.011
1524	1.811
1525	1.305
1526	1.098
1527	0.758
1528	0.738
1529	0.195
1530	1.512
1531	0.831
1532	0.288
1533	0.711
1534	1.386
1535	1.372
1536	1.311
1537	1.022
1538	1.071
1539	1.262
1540	0.74
1541	0.361
1542	0.48
1543	0.509
1544	0.732
1545	0.781
1546	1.129
1547	0.819
1548	0.471
1549	1.115
1550	0.976
1551	1.049
1552	0.937
1553	1.379
1554	0.853
1555	0.782
1556	0.917
1557	1.383
1558	1.218
1559	1.191
1560	1.475
1561	0.681
1562	0.833
1563	1.091
1564	1.173
1565	1.446
1566	1.167
1567	1.248
1568	1.208
1569	0.621
1570	0.699
1571	0.128
1572	0.284
1573	1.068
1574	0.902
1575	0.652
1576	0.697
1577	1.441
1578	0.998
1579	0.168
1580	0.023
1581	0.928
1582	0.955
1583	1.636
1584	1.02
1585	0.216
1586	1.039
1587	1.029
1588	0.647
1589	1.429
1590	0.626
1591	1.649
1592	0.628
1593	1.015
1594	0.439
1595	0.381
1596	1.188
1597	0.415
1598	1.022
1599	1.547
1600	0.935
1601	1.971
1602	1.59
1603	0.978
1604	1.152
1605	1.401
1606	1.695
1607	1.211
1608	0.867
1609	1.336
1610	1.519
1611	1.367
1612	1.314
1613	0.331
1614	1.005
1615	1.239
1616	1.392
1617	1.277
1618	0.977
1619	1.108
1620	1.478
1621	0.539
1622	0.587
1623	1.755
1624	1.046
1625	1.436
1626	0.784
1627	1.447
1628	1.041
1629	0.486
1630	1.042
1631	0.527
1632	0.355
1633	0.544
1634	0.369
1635	1.152
1636	0.655
1637	0.251
1638	0.859
1639	0.307
1640	1.315
1641	1.17
1642	1.18
1643	0.616
1644	0.892
1645	0.982
1646	0.736
1647	0.855
1648	0.964
1649	1.221
1650	0.94
1651	1.689
1652	0.898
1653	0.649
1654	0.174
1655	0.387
1656	1.768
1657	0.867
1658	0.749
1659	0.394
1660	1.493
1661	1.29
1662	1.356
