# northamerica_usa_ca655 - Empire Creek - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_ca655 - Empire Creek - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Empire Creek
#	Location:
#	Country: United States
#	Northernmost_Latitude: 38.0
#	Southernmost_Latitude: 38.0
#	Easternmost_Longitude: -120.62
#	Westernmost_Longitude: -120.62
#	Elevation: 457 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_ca655B
#	Earliest_Year: 1770
#	Most_Recent_Year: 2004
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.85766590243","T2":"15.373928071","M1":"0.0224993022965","M2":"0.472734760797"}}
#--------------------
# Species
#	Species_Name: blue oak
#	Species_Code: QUDG
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1770	0.64
1771	0.809
1772	0.701
1773	1.165
1774	0.868
1775	0.87
1776	0.457
1777	0.366
1778	0.761
1779	1.088
1780	1.128
1781	0.899
1782	0.471
1783	0.484
1784	1.019
1785	1.361
1786	1.078
1787	0.901
1788	0.687
1789	1.066
1790	1.211
1791	1.167
1792	1.418
1793	0.99
1794	0.626
1795	0.425
1796	0.93
1797	1.053
1798	1.152
1799	1.302
1800	0.725
1801	0.937
1802	1.068
1803	0.981
1804	0.978
1805	1.045
1806	0.919
1807	0.795
1808	0.873
1809	0.843
1810	0.968
1811	1.013
1812	0.791
1813	0.947
1814	1.197
1815	1.145
1816	1.115
1817	1.033
1818	0.725
1819	0.933
1820	1.312
1821	1.068
1822	0.849
1823	0.998
1824	0.911
1825	0.985
1826	1.193
1827	1.039
1828	1.197
1829	0.494
1830	1.249
1831	1.318
1832	1.429
1833	1.505
1834	1.207
1835	1.073
1836	1.4
1837	1.07
1838	1.332
1839	0.979
1840	0.863
1841	0.371
1842	1.009
1843	0.708
1844	0.59
1845	1.256
1846	1.153
1847	0.939
1848	1.779
1849	1.023
1850	1.0
1851	0.827
1852	0.96
1853	1.144
1854	1.272
1855	1.113
1856	0.926
1857	0.769
1858	0.984
1859	1.047
1860	1.267
1861	1.114
1862	1.251
1863	1.444
1864	0.513
1865	0.911
1866	1.208
1867	1.022
1868	1.339
1869	1.365
1870	1.09
1871	0.946
1872	0.8
1873	0.839
1874	1.04
1875	0.578
1876	0.803
1877	0.381
1878	1.031
1879	1.093
1880	0.983
1881	0.859
1882	1.163
1883	0.887
1884	1.151
1885	0.679
1886	0.927
1887	0.828
1888	0.9
1889	0.943
1890	1.009
1891	1.147
1892	1.028
1893	1.04
1894	1.257
1895	1.331
1896	1.251
1897	0.867
1898	0.668
1899	1.086
1900	1.075
1901	1.264
1902	1.366
1903	1.099
1904	1.258
1905	1.292
1906	1.382
1907	0.992
1908	0.792
1909	0.799
1910	0.948
1911	0.994
1912	0.966
1913	0.855
1914	0.998
1915	1.785
1916	0.975
1917	1.068
1918	0.709
1919	0.871
1920	0.816
1921	0.891
1922	0.863
1923	1.077
1924	0.626
1925	1.284
1926	1.09
1927	0.745
1928	1.034
1929	0.86
1930	0.795
1931	0.638
1932	0.784
1933	0.799
1934	0.63
1935	1.24
1936	1.313
1937	1.239
1938	1.066
1939	0.872
1940	1.039
1941	1.172
1942	1.286
1943	1.114
1944	0.922
1945	0.94
1946	0.994
1947	0.775
1948	1.077
1949	0.905
1950	0.793
1951	0.861
1952	0.986
1953	1.188
1954	0.867
1955	0.957
1956	0.968
1957	0.992
1958	0.794
1959	0.64
1960	0.838
1961	0.523
1962	0.539
1963	0.829
1964	0.88
1965	0.904
1966	0.952
1967	0.847
1968	0.864
1969	1.03
1970	0.982
1971	1.135
1972	0.933
1973	1.067
1974	1.209
1975	0.984
1976	0.759
1977	0.558
1978	1.339
1979	1.228
1980	1.121
1981	1.205
1982	1.093
1983	1.346
1984	1.215
1985	1.028
1986	1.195
1987	0.818
1988	0.694
1989	0.666
1990	0.953
1991	0.895
1992	0.813
1993	1.412
1994	1.078
1995	1.153
1996	1.024
1997	0.729
1998	1.278
1999	0.963
2000	0.962
2001	0.761
2002	0.663
2003	0.795
2004	0.695
