# northamerica_usa_co565 - Ridge Road - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_co565 - Ridge Road - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Ridge Road
#	Location:
#	Country: United States
#	Northernmost_Latitude: 39.38
#	Southernmost_Latitude: 39.38
#	Easternmost_Longitude: -104.2
#	Westernmost_Longitude: -104.2
#	Elevation: 1850 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_co565B
#	Earliest_Year: 1820
#	Most_Recent_Year: 1998
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.12007416779","T2":"15.6940567184","M1":"0.0233691340084","M2":"0.533929223651"}}
#--------------------
# Species
#	Species_Name: ponderosa pine
#	Species_Code: PIPO
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1820	1.073
1821	0.963
1822	1.171
1823	0.843
1824	0.762
1825	1.13
1826	0.908
1827	1.178
1828	1.346
1829	1.225
1830	1.097
1831	0.723
1832	1.085
1833	1.096
1834	1.019
1835	1.113
1836	1.398
1837	1.211
1838	1.579
1839	1.425
1840	1.094
1841	1.072
1842	0.495
1843	0.875
1844	1.318
1845	0.508
1846	0.662
1847	0.339
1848	0.251
1849	0.325
1850	0.472
1851	0.423
1852	0.373
1853	0.657
1854	0.786
1855	0.337
1856	0.378
1857	1.008
1858	1.353
1859	0.858
1860	1.261
1861	0.657
1862	0.905
1863	0.145
1864	0.631
1865	0.753
1866	1.008
1867	1.146
1868	1.251
1869	1.38
1870	0.892
1871	0.82
1872	1.151
1873	1.31
1874	0.871
1875	0.976
1876	1.256
1877	1.044
1878	1.421
1879	1.534
1880	0.38
1881	0.733
1882	0.953
1883	1.397
1884	1.337
1885	0.842
1886	0.915
1887	0.853
1888	0.899
1889	0.652
1890	0.759
1891	1.117
1892	1.123
1893	1.155
1894	1.194
1895	0.987
1896	0.841
1897	1.272
1898	1.48
1899	0.943
1900	1.197
1901	0.824
1902	0.662
1903	0.698
1904	0.927
1905	1.282
1906	1.595
1907	1.868
1908	1.039
1909	1.698
1910	1.421
1911	1.291
1912	1.335
1913	1.217
1914	1.098
1915	1.775
1916	1.256
1917	0.834
1918	1.118
1919	1.091
1920	0.908
1921	1.149
1922	1.181
1923	1.062
1924	0.416
1925	0.878
1926	1.338
1927	0.713
1928	1.161
1929	0.904
1930	0.741
1931	0.924
1932	0.872
1933	0.91
1934	0.436
1935	0.563
1936	0.623
1937	0.77
1938	0.785
1939	1.031
1940	1.01
1941	1.089
1942	1.539
1943	0.969
1944	1.324
1945	1.664
1946	1.108
1947	1.047
1948	1.049
1949	0.964
1950	0.603
1951	0.726
1952	0.781
1953	0.94
1954	0.476
1955	0.724
1956	0.273
1957	0.77
1958	1.019
1959	0.9
1960	0.788
1961	1.099
1962	0.72
1963	0.28
1964	0.669
1965	0.967
1966	0.655
1967	0.706
1968	0.976
1969	0.867
1970	0.726
1971	0.878
1972	1.012
1973	0.839
1974	0.598
1975	0.859
1976	0.987
1977	0.743
1978	0.605
1979	0.769
1980	1.053
1981	1.014
1982	0.889
1983	1.045
1984	1.129
1985	1.54
1986	1.385
1987	0.772
1988	1.007
1989	0.699
1990	0.872
1991	0.536
1992	0.945
1993	0.666
1994	0.356
1995	0.868
1996	0.864
1997	0.557
1998	0.454
