# northamerica_usa_co566 - Valley View Ranch - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_co566 - Valley View Ranch - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Valley View Ranch
#	Location:
#	Country: United States
#	Northernmost_Latitude: 39.07
#	Southernmost_Latitude: 39.07
#	Easternmost_Longitude: -104.43
#	Westernmost_Longitude: -104.43
#	Elevation: 2170 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_co566B
#	Earliest_Year: 1641
#	Most_Recent_Year: 1998
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"3.58513485817","T2":"15.4120208733","M1":"0.0230137998144","M2":"0.51352256468"}}
#--------------------
# Species
#	Species_Name: Douglas fir
#	Species_Code: PSME
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1641	0.547
1642	0.793
1643	1.007
1644	1.125
1645	0.192
1646	0.621
1647	0.609
1648	0.583
1649	0.638
1650	0.259
1651	0.596
1652	0.777
1653	0.584
1654	0.235
1655	1.026
1656	0.806
1657	0.589
1658	1.127
1659	1.133
1660	1.293
1661	1.75
1662	1.731
1663	1.936
1664	1.418
1665	1.275
1666	0.553
1667	0.935
1668	0.367
1669	0.097
1670	0.196
1671	0.503
1672	0.47
1673	0.712
1674	0.925
1675	0.952
1676	1.354
1677	2.108
1678	1.483
1679	0.696
1680	1.405
1681	0.781
1682	0.246
1683	1.277
1684	0.446
1685	0.105
1686	0.88
1687	0.351
1688	0.699
1689	0.769
1690	1.007
1691	1.084
1692	1.574
1693	1.006
1694	0.695
1695	1.607
1696	1.174
1697	1.435
1698	1.671
1699	1.088
1700	1.221
1701	0.574
1702	1.237
1703	1.794
1704	1.565
1705	0.834
1706	2.086
1707	1.458
1708	1.615
1709	1.076
1710	1.549
1711	0.935
1712	1.446
1713	2.146
1714	1.779
1715	0.682
1716	1.002
1717	0.803
1718	0.768
1719	1.58
1720	1.069
1721	1.556
1722	0.445
1723	1.038
1724	1.752
1725	1.192
1726	1.457
1727	0.957
1728	1.095
1729	1.015
1730	0.407
1731	0.516
1732	0.882
1733	0.746
1734	1.083
1735	1.728
1736	0.487
1737	0.453
1738	0.524
1739	0.388
1740	0.839
1741	0.615
1742	0.867
1743	1.19
1744	0.309
1745	0.723
1746	1.414
1747	1.536
1748	0.937
1749	0.933
1750	1.09
1751	0.944
1752	0.887
1753	0.914
1754	0.183
1755	0.453
1756	0.395
1757	0.767
1758	0.94
1759	1.344
1760	1.292
1761	1.415
1762	0.776
1763	0.885
1764	0.728
1765	0.849
1766	1.327
1767	1.049
1768	1.614
1769	1.12
1770	0.9
1771	1.238
1772	0.857
1773	1.11
1774	0.952
1775	0.558
1776	1.021
1777	0.825
1778	1.057
1779	1.058
1780	0.184
1781	0.752
1782	0.634
1783	0.946
1784	0.707
1785	1.261
1786	0.566
1787	0.83
1788	0.862
1789	0.393
1790	0.792
1791	0.454
1792	0.946
1793	0.976
1794	1.209
1795	1.011
1796	0.828
1797	0.865
1798	0.6
1799	1.304
1800	1.367
1801	0.616
1802	1.081
1803	1.486
1804	1.557
1805	0.677
1806	1.21
1807	1.532
1808	1.295
1809	0.471
1810	1.105
1811	0.813
1812	0.723
1813	0.613
1814	0.638
1815	0.818
1816	1.142
1817	1.22
1818	0.371
1819	0.51
1820	0.449
1821	0.578
1822	1.147
1823	0.944
1824	0.703
1825	1.155
1826	0.637
1827	1.283
1828	1.621
1829	1.298
1830	0.576
1831	1.097
1832	0.899
1833	1.134
1834	1.222
1835	1.244
1836	1.992
1837	1.859
1838	1.837
1839	2.202
1840	1.028
1841	1.457
1842	0.582
1843	0.465
1844	1.295
1845	0.324
1846	0.776
1847	0.12
1848	0.206
1849	0.402
1850	0.5
1851	0.032
1852	0.445
1853	0.505
1854	1.026
1855	0.283
1856	0.151
1857	0.342
1858	0.796
1859	0.633
1860	0.838
1861	0.18
1862	0.712
1863	0.192
1864	1.133
1865	0.25
1866	1.288
1867	0.816
1868	0.672
1869	1.356
1870	0.54
1871	0.368
1872	1.108
1873	0.801
1874	0.857
1875	0.866
1876	0.773
1877	0.821
1878	1.21
1879	1.13
1880	0.071
1881	0.74
1882	1.153
1883	1.229
1884	1.231
1885	0.85
1886	1.309
1887	0.694
1888	1.129
1889	0.858
1890	0.479
1891	1.119
1892	0.978
1893	0.386
1894	0.479
1895	0.775
1896	0.932
1897	1.223
1898	1.761
1899	0.447
1900	1.247
1901	1.148
1902	1.434
1903	1.211
1904	1.695
1905	2.122
1906	1.543
1907	1.619
1908	0.526
1909	1.236
1910	0.888
1911	1.157
1912	1.16
1913	1.171
1914	2.304
1915	1.267
1916	1.107
1917	1.027
1918	1.126
1919	1.942
1920	0.553
1921	1.001
1922	1.173
