# northamerica_usa_co595 - Collins Gulch - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_co595 - Collins Gulch - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Collins Gulch
#	Location:
#	Country: United States
#	Northernmost_Latitude: 39.83
#	Southernmost_Latitude: 39.83
#	Easternmost_Longitude: -108.2
#	Westernmost_Longitude: -108.2
#	Elevation: 2050 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_co595B
#	Earliest_Year: 1168
#	Most_Recent_Year: 2001
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.90952493056","T2":"15.9154652968","M1":"0.0226206234395","M2":"0.472408983176"}}
#--------------------
# Species
#	Species_Name: pinyon pine
#	Species_Code: PIED
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1168	0.709
1169	0.824
1170	0.864
1171	1.096
1172	0.615
1173	0.718
1174	0.467
1175	0.679
1176	0.716
1177	0.618
1178	0.958
1179	0.737
1180	0.949
1181	0.903
1182	0.543
1183	0.852
1184	0.929
1185	0.783
1186	1.058
1187	1.244
1188	1.353
1189	1.047
1190	1.018
1191	0.626
1192	0.652
1193	0.635
1194	0.467
1195	0.981
1196	1.055
1197	1.439
1198	1.272
1199	1.252
1200	1.035
1201	0.959
1202	1.005
1203	1.181
1204	1.256
1205	1.355
1206	1.084
1207	0.482
1208	1.154
1209	1.292
1210	1.174
1211	1.428
1212	0.8
1213	0.795
1214	0.97
1215	1.255
1216	1.095
1217	0.934
1218	0.865
1219	1.346
1220	1.026
1221	1.106
1222	0.88
1223	0.788
1224	1.242
1225	1.002
1226	1.194
1227	1.08
1228	1.363
1229	0.826
1230	0.665
1231	0.94
1232	0.447
1233	0.503
1234	0.415
1235	1.004
1236	0.951
1237	0.942
1238	1.086
1239	0.975
1240	0.675
1241	1.008
1242	0.824
1243	0.752
1244	1.063
1245	1.058
1246	1.316
1247	1.038
1248	1.185
1249	0.839
1250	0.873
1251	0.313
1252	0.918
1253	0.757
1254	0.975
1255	0.859
1256	0.959
1257	0.684
1258	0.096
1259	1.07
1260	1.137
1261	1.031
1262	0.908
1263	0.82
1264	0.754
1265	0.705
1266	0.798
1267	1.272
1268	1.282
1269	1.288
1270	0.537
1271	0.929
1272	0.737
1273	0.331
1274	0.308
1275	0.676
1276	0.435
1277	0.384
1278	0.588
1279	0.599
1280	0.526
1281	0.615
1282	0.631
1283	0.57
1284	0.748
1285	0.454
1286	0.63
1287	0.699
1288	0.893
1289	0.97
1290	0.787
1291	0.686
1292	0.814
1293	0.895
1294	0.884
1295	0.575
1296	0.843
1297	0.687
1298	1.054
1299	0.851
1300	1.257
1301	1.33
1302	1.624
1303	1.125
1304	0.793
1305	1.227
1306	1.246
1307	1.082
1308	1.299
1309	1.247
1310	1.498
1311	1.171
1312	1.387
1313	1.297
1314	0.933
1315	1.001
1316	0.535
1317	0.679
1318	0.955
1319	0.544
1320	1.422
1321	0.859
1322	0.745
1323	0.501
1324	0.773
1325	0.436
1326	0.899
1327	0.87
1328	0.912
1329	1.098
1330	1.805
1331	1.709
1332	2.056
1333	1.748
1334	1.274
1335	0.878
1336	0.719
1337	1.125
1338	0.719
1339	1.408
1340	1.094
1341	1.437
1342	1.301
1343	1.288
1344	1.163
1345	1.078
1346	1.258
1347	1.12
1348	0.663
1349	1.073
1350	0.855
1351	0.934
1352	1.095
1353	1.309
1354	1.349
1355	1.022
1356	1.819
1357	2.173
1358	1.967
1359	1.323
1360	0.787
1361	0.858
1362	0.599
1363	1.005
1364	1.199
1365	1.045
1366	1.181
1367	0.808
1368	0.628
1369	0.784
1370	0.8
1371	0.876
1372	0.818
1373	0.771
1374	0.864
1375	0.499
1376	0.655
1377	0.92
1378	0.685
1379	1.254
1380	0.823
1381	0.923
1382	1.142
1383	1.734
1384	2.318
1385	1.578
1386	1.377
1387	1.004
1388	0.98
1389	0.396
1390	0.668
1391	1.096
1392	0.922
1393	0.868
1394	1.243
1395	1.183
1396	0.945
1397	0.685
1398	1.123
1399	0.145
1400	0.442
1401	0.882
1402	0.919
1403	0.86
1404	1.431
1405	1.414
1406	1.206
1407	1.093
1408	1.028
1409	1.244
1410	0.82
1411	1.063
1412	0.857
1413	0.541
1414	1.05
1415	0.869
1416	0.809
1417	0.897
1418	1.173
1419	1.197
1420	1.315
1421	0.868
1422	1.301
1423	0.621
1424	1.022
1425	1.252
1426	1.112
1427	1.257
1428	1.258
1429	1.284
1430	1.468
1431	1.621
1432	1.036
1433	0.558
1434	0.79
1435	0.789
1436	1.174
1437	1.026
1438	1.121
1439	1.24
1440	1.354
1441	1.232
1442	0.578
1443	1.108
1444	0.748
1445	0.605
1446	0.632
1447	1.213
1448	0.85
1449	1.098
