# northamerica_usa_co620 - Red Creek - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_co620 - Red Creek - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Red Creek
#	Location:
#	Country: United States
#	Northernmost_Latitude: 38.53
#	Southernmost_Latitude: 38.53
#	Easternmost_Longitude: -107.22
#	Westernmost_Longitude: -107.22
#	Elevation: 2835 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_co620B
#	Earliest_Year: 1635
#	Most_Recent_Year: 2000
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.65979737387","T2":"12.0439287377","M1":"0.023276012319","M2":"0.590397729718"}}
#--------------------
# Species
#	Species_Name: Douglas fir
#	Species_Code: PSME
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1635	0.939
1636	1.016
1637	0.887
1638	0.975
1639	1.205
1640	0.946
1641	0.984
1642	1.138
1643	1.158
1644	1.2
1645	0.913
1646	1.189
1647	1.433
1648	1.709
1649	1.195
1650	1.03
1651	1.343
1652	0.742
1653	0.816
1654	0.315
1655	1.009
1656	1.158
1657	1.246
1658	0.941
1659	0.934
1660	1.008
1661	1.106
1662	1.31
1663	1.077
1664	0.94
1665	1.023
1666	1.137
1667	0.887
1668	0.785
1669	1.224
1670	0.985
1671	0.987
1672	1.118
1673	1.22
1674	1.292
1675	1.058
1676	0.814
1677	0.941
1678	1.842
1679	1.147
1680	0.898
1681	0.942
1682	0.976
1683	1.097
1684	0.853
1685	0.173
1686	0.781
1687	0.769
1688	0.782
1689	1.11
1690	1.048
1691	0.723
1692	1.189
1693	1.032
1694	0.526
1695	0.577
1696	0.578
1697	0.572
1698	0.938
1699	0.846
1700	0.71
1701	1.074
1702	0.843
1703	0.766
1704	0.651
1705	0.745
1706	0.933
1707	0.799
1708	0.785
1709	0.774
1710	0.99
1711	1.163
1712	0.881
1713	0.813
1714	0.649
1715	0.873
1716	1.159
1717	0.86
1718	1.373
1719	1.48
1720	1.643
1721	1.104
1722	1.005
1723	0.769
1724	0.889
1725	1.304
1726	1.497
1727	0.957
1728	1.074
1729	0.536
1730	1.345
1731	0.866
1732	1.122
1733	0.994
1734	0.929
1735	1.011
1736	0.892
1737	0.618
1738	1.07
1739	1.269
1740	0.82
1741	1.028
1742	0.874
1743	0.949
1744	1.211
1745	1.118
1746	1.046
1747	1.359
1748	0.853
1749	1.013
1750	0.889
1751	1.114
1752	1.125
1753	1.253
1754	1.316
1755	0.869
1756	0.422
1757	0.748
1758	0.895
1759	0.887
1760	0.749
1761	0.736
1762	0.854
1763	0.698
1764	0.7
1765	0.948
1766	1.077
1767	1.119
1768	0.965
1769	1.096
1770	1.065
1771	1.621
1772	1.044
1773	1.034
1774	1.014
1775	0.814
1776	0.82
1777	0.67
1778	0.605
1779	0.632
1780	0.682
1781	0.773
1782	0.752
1783	1.155
1784	1.076
1785	1.279
1786	0.761
1787	1.217
1788	0.947
1789	0.84
1790	1.404
1791	1.334
1792	1.467
1793	0.965
1794	1.119
1795	0.694
1796	0.886
1797	0.795
1798	0.537
1799	0.668
1800	0.913
1801	1.19
1802	1.085
1803	0.9
1804	1.003
1805	0.975
1806	0.648
1807	0.769
1808	0.809
1809	0.854
1810	0.718
1811	0.764
1812	0.932
1813	0.883
1814	0.814
1815	0.832
1816	1.121
1817	1.101
1818	0.925
1819	1.001
1820	1.024
1821	1.012
1822	0.891
1823	1.003
1824	0.705
1825	0.626
1826	0.806
1827	0.721
1828	0.996
1829	0.886
1830	1.043
1831	1.727
1832	1.456
1833	1.156
1834	0.769
1835	1.226
1836	1.062
1837	1.194
1838	1.125
1839	1.037
1840	1.3
1841	1.256
1842	0.909
1843	1.124
1844	0.814
1845	0.611
1846	0.744
1847	0.418
1848	0.929
1849	1.116
1850	1.051
1851	0.282
1852	0.887
1853	1.165
1854	1.036
1855	0.875
1856	0.692
1857	0.748
1858	0.828
1859	1.031
1860	1.169
1861	0.875
1862	1.052
1863	1.162
1864	0.959
1865	1.316
1866	1.684
1867	1.125
1868	0.855
1869	1.399
1870	1.071
1871	0.941
1872	0.913
1873	1.055
1874	0.64
1875	0.89
1876	0.945
1877	1.196
1878	0.829
1879	0.773
1880	0.754
1881	0.795
1882	0.874
1883	1.074
1884	1.161
1885	1.337
1886	1.102
1887	0.953
1888	1.188
1889	0.852
1890	0.783
1891	0.862
1892	1.044
1893	0.88
1894	0.995
1895	1.153
1896	0.882
1897	1.118
1898	0.913
1899	0.66
1900	0.703
1901	0.631
1902	0.592
1903	0.882
1904	0.616
1905	0.744
1906	0.916
1907	1.352
1908	1.071
1909	1.068
1910	0.992
1911	1.227
1912	1.281
1913	1.008
1914	1.112
1915	1.192
