# northamerica_usa_ia023 - Ledges State Park - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_ia023 - Ledges State Park - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Ledges State Park
#	Location:
#	Country: United States
#	Northernmost_Latitude: 42.0
#	Southernmost_Latitude: 42.0
#	Easternmost_Longitude: -93.88
#	Westernmost_Longitude: -93.88
#	Elevation: 305 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_ia023B
#	Earliest_Year: 1684
#	Most_Recent_Year: 1981
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.25166745461","T2":"15.7513198399","M1":"0.0226108609209","M2":"0.543350276041"}}
#--------------------
# Species
#	Species_Name: white oak
#	Species_Code: QUAL
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1684	1.065
1685	0.802
1686	1.136
1687	0.967
1688	1.186
1689	0.94
1690	1.168
1691	0.838
1692	0.991
1693	1.031
1694	1.544
1695	1.127
1696	0.908
1697	0.766
1698	0.711
1699	0.966
1700	0.956
1701	1.209
1702	0.854
1703	0.962
1704	0.813
1705	1.028
1706	1.516
1707	1.731
1708	0.943
1709	1.094
1710	1.063
1711	1.301
1712	1.195
1713	1.13
1714	0.966
1715	1.232
1716	1.018
1717	1.205
1718	0.802
1719	1.195
1720	0.767
1721	0.668
1722	1.176
1723	1.385
1724	0.884
1725	0.993
1726	1.478
1727	1.22
1728	1.087
1729	1.079
1730	1.088
1731	1.032
1732	1.388
1733	1.099
1734	0.738
1735	0.902
1736	0.583
1737	0.75
1738	1.014
1739	0.887
1740	0.829
1741	0.859
1742	0.692
1743	0.617
1744	0.871
1745	1.276
1746	1.348
1747	1.213
1748	0.963
1749	0.96
1750	1.196
1751	1.033
1752	0.885
1753	0.993
1754	1.362
1755	1.15
1756	0.991
1757	0.9
1758	0.969
1759	1.084
1760	0.716
1761	0.991
1762	1.329
1763	0.787
1764	1.115
1765	1.043
1766	1.381
1767	1.14
1768	0.997
1769	1.084
1770	0.997
1771	0.564
1772	0.603
1773	0.585
1774	0.969
1775	1.186
1776	0.838
1777	1.129
1778	1.016
1779	1.136
1780	0.861
1781	1.238
1782	0.898
1783	0.833
1784	0.812
1785	0.756
1786	0.847
1787	0.836
1788	0.767
1789	0.752
1790	0.923
1791	0.607
1792	0.879
1793	0.806
1794	0.861
1795	0.896
1796	0.762
1797	0.815
1798	0.614
1799	0.666
1800	0.422
1801	0.723
1802	1.113
1803	0.728
1804	0.891
1805	0.905
1806	1.058
1807	0.876
1808	0.793
1809	0.716
1810	0.747
1811	0.878
1812	0.71
1813	0.762
1814	1.085
1815	0.966
1816	0.627
1817	0.758
1818	0.8
1819	0.811
1820	0.701
1821	0.627
1822	0.703
1823	0.542
1824	0.84
1825	0.875
1826	1.069
1827	1.107
1828	1.352
1829	0.922
1830	1.218
1831	1.24
1832	1.319
1833	1.61
1834	1.3
1835	1.255
1836	1.077
1837	1.182
1838	0.912
1839	0.893
1840	1.166
1841	1.25
1842	0.936
1843	1.183
1844	1.174
1845	0.973
1846	0.915
1847	1.026
1848	0.77
1849	0.987
1850	1.023
1851	1.154
1852	0.919
1853	1.11
1854	1.131
1855	0.973
1856	0.841
1857	0.808
1858	1.04
1859	1.013
1860	0.739
1861	0.779
1862	1.024
1863	0.94
1864	0.91
1865	0.818
1866	1.009
1867	0.995
1868	0.961
1869	1.308
1870	0.867
1871	0.843
1872	1.129
1873	0.921
1874	0.697
1875	1.043
1876	0.996
1877	1.108
1878	1.058
1879	1.111
1880	0.945
1881	1.125
1882	1.141
1883	1.065
1884	1.095
1885	1.161
1886	0.829
1887	0.73
1888	0.971
1889	1.047
1890	0.872
1891	0.858
1892	1.1
1893	0.932
1894	0.642
1895	0.698
1896	1.107
1897	1.086
1898	1.074
1899	0.96
1900	0.786
1901	0.865
1902	1.32
1903	1.352
1904	1.255
1905	1.245
1906	1.286
1907	1.29
1908	1.369
1909	1.351
1910	0.88
1911	0.918
1912	1.311
1913	0.955
1914	0.884
1915	1.366
1916	1.16
1917	1.1
1918	0.832
1919	0.976
1920	1.153
1921	1.093
1922	1.131
1923	1.085
1924	1.242
1925	0.831
1926	0.723
1927	1.167
1928	1.308
1929	0.904
1930	0.957
1931	0.63
1932	1.137
1933	0.89
1934	0.59
1935	1.219
1936	0.941
1937	0.886
1938	1.081
1939	0.828
1940	0.633
1941	1.159
1942	1.166
1943	1.095
1944	1.184
1945	1.309
1946	0.954
1947	1.095
1948	0.689
1949	0.898
1950	0.926
1951	1.129
1952	1.017
1953	1.024
1954	0.85
1955	0.916
1956	0.598
1957	0.903
1958	0.918
1959	0.929
1960	0.889
1961	1.051
1962	1.065
1963	0.673
1964	1.025
1965	1.002
