# northamerica_usa_ia029 - Yellow River State Forest - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_ia029 - Yellow River State Forest - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Yellow River State Forest
#	Location:
#	Country: United States
#	Northernmost_Latitude: 43.18
#	Southernmost_Latitude: 43.18
#	Easternmost_Longitude: -91.25
#	Westernmost_Longitude: -91.25
#	Elevation: 330 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_ia029B
#	Earliest_Year: 1709
#	Most_Recent_Year: 1980
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.49370499733","T2":"15.7663277571","M1":"0.0226534138829","M2":"0.502389577136"}}
#--------------------
# Species
#	Species_Name: white oak
#	Species_Code: QUAL
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1709	1.288
1710	0.991
1711	0.911
1712	0.873
1713	0.883
1714	1.114
1715	1.124
1716	1.031
1717	0.497
1718	0.38
1719	0.846
1720	0.605
1721	0.55
1722	0.799
1723	0.904
1724	0.612
1725	1.136
1726	0.907
1727	0.992
1728	1.058
1729	0.919
1730	0.863
1731	1.179
1732	1.272
1733	0.983
1734	0.932
1735	1.122
1736	0.923
1737	1.504
1738	1.148
1739	1.071
1740	1.261
1741	0.844
1742	0.971
1743	1.337
1744	1.069
1745	1.252
1746	1.051
1747	0.965
1748	0.737
1749	0.726
1750	1.13
1751	1.232
1752	1.271
1753	1.049
1754	1.381
1755	1.397
1756	1.46
1757	1.136
1758	1.268
1759	0.801
1760	1.206
1761	1.341
1762	1.085
1763	0.839
1764	1.044
1765	0.9
1766	1.027
1767	1.176
1768	0.937
1769	1.274
1770	0.854
1771	0.928
1772	0.742
1773	1.016
1774	1.086
1775	1.421
1776	1.034
1777	1.27
1778	1.052
1779	1.177
1780	1.071
1781	1.493
1782	1.344
1783	1.096
1784	1.147
1785	1.012
1786	0.947
1787	0.977
1788	1.288
1789	1.059
1790	1.06
1791	0.801
1792	0.996
1793	1.336
1794	1.178
1795	1.097
1796	0.904
1797	0.966
1798	0.775
1799	0.905
1800	0.532
1801	0.798
1802	1.105
1803	0.767
1804	1.117
1805	0.914
1806	0.962
1807	1.035
1808	0.744
1809	0.948
1810	0.962
1811	0.862
1812	0.951
1813	0.733
1814	0.983
1815	0.922
1816	0.595
1817	1.043
1818	0.808
1819	1.007
1820	0.706
1821	0.81
1822	1.208
1823	0.891
1824	1.19
1825	1.056
1826	1.194
1827	1.337
1828	1.173
1829	0.841
1830	1.253
1831	0.972
1832	1.127
1833	1.212
1834	1.109
1835	1.02
1836	1.047
1837	1.101
1838	0.984
1839	0.601
1840	0.97
1841	1.055
1842	0.804
1843	0.749
1844	0.707
1845	0.961
1846	0.817
1847	0.784
1848	0.817
1849	0.912
1850	1.017
1851	1.165
1852	0.905
1853	0.964
1854	1.136
1855	0.972
1856	1.064
1857	0.941
1858	1.015
1859	0.971
1860	0.924
1861	0.86
1862	1.104
1863	1.044
1864	0.904
1865	0.958
1866	1.112
1867	1.232
1868	1.042
1869	1.05
1870	0.9
1871	1.099
1872	1.011
1873	0.937
1874	0.869
1875	1.161
1876	1.118
1877	1.159
1878	1.038
1879	1.109
1880	1.295
1881	1.07
1882	1.273
1883	1.151
1884	1.214
1885	1.453
1886	0.978
1887	0.926
1888	1.279
1889	1.235
1890	1.106
1891	1.038
1892	1.224
1893	1.029
1894	0.827
1895	0.563
1896	0.83
1897	0.927
1898	0.84
1899	0.729
1900	0.704
1901	0.638
1902	0.928
1903	1.014
1904	0.92
1905	0.956
1906	0.845
1907	1.022
1908	1.028
1909	0.927
1910	0.669
1911	0.823
1912	1.017
1913	1.018
1914	0.801
1915	0.994
1916	0.941
1917	0.869
1918	0.895
1919	0.959
1920	0.933
1921	1.193
1922	1.384
1923	1.194
1924	1.496
1925	1.145
1926	1.003
1927	1.08
1928	1.319
1929	1.112
1930	1.124
1931	0.776
1932	1.164
1933	1.14
1934	0.828
1935	1.241
1936	0.917
1937	1.098
1938	1.175
1939	0.831
1940	0.816
1941	1.055
1942	1.06
1943	0.972
1944	0.948
1945	0.884
1946	0.87
1947	1.018
1948	0.662
1949	0.975
1950	1.028
1951	1.118
1952	0.903
1953	0.814
1954	0.889
1955	0.86
1956	0.767
1957	0.985
1958	0.761
1959	0.816
1960	0.763
1961	0.778
1962	0.875
1963	0.582
1964	0.761
1965	0.862
1966	0.832
1967	0.722
1968	0.919
1969	1.027
1970	0.905
1971	0.974
1972	1.062
1973	1.072
1974	0.914
1975	1.015
1976	0.87
1977	0.786
1978	1.205
1979	1.106
1980	0.936
