# northamerica_usa_il007 - Piney Creek - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_il007 - Piney Creek - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Piney Creek
#	Location:
#	Country: United States
#	Northernmost_Latitude: 37.9
#	Southernmost_Latitude: 37.9
#	Easternmost_Longitude: -89.63
#	Westernmost_Longitude: -89.63
#	Elevation: 152 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_il007B
#	Earliest_Year: 1827
#	Most_Recent_Year: 1972
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.80582856641","T2":"15.9716108728","M1":"0.022606099944","M2":"0.596180583869"}}
#--------------------
# Species
#	Species_Name: shortleaf pine
#	Species_Code: PIEC
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1827	1.371
1828	1.351
1829	1.087
1830	1.302
1831	1.002
1832	0.657
1833	0.732
1834	0.966
1835	1.199
1836	1.138
1837	0.844
1838	0.665
1839	0.891
1840	1.133
1841	0.981
1842	1.285
1843	0.684
1844	1.062
1845	1.167
1846	0.775
1847	0.983
1848	1.094
1849	1.361
1850	1.168
1851	1.09
1852	0.898
1853	1.086
1854	0.787
1855	0.821
1856	0.402
1857	0.698
1858	1.203
1859	1.659
1860	1.241
1861	1.422
1862	1.435
1863	1.149
1864	0.726
1865	1.209
1866	0.792
1867	0.855
1868	0.841
1869	1.104
1870	0.865
1871	0.804
1872	0.599
1873	0.509
1874	0.668
1875	0.729
1876	1.198
1877	0.784
1878	1.093
1879	0.849
1880	1.581
1881	0.48
1882	1.04
1883	1.427
1884	1.513
1885	0.681
1886	0.822
1887	0.765
1888	0.815
1889	1.088
1890	1.288
1891	1.252
1892	0.788
1893	0.788
1894	0.666
1895	0.572
1896	0.528
1897	0.686
1898	0.769
1899	0.355
1900	0.512
1901	0.301
1902	0.458
1903	0.452
1904	1.244
1905	1.138
1906	1.156
1907	1.878
1908	2.041
1909	1.963
1910	1.879
1911	1.219
1912	0.828
1913	0.786
1914	0.472
1915	0.715
1916	0.869
1917	1.257
1918	0.569
1919	0.599
1920	0.702
1921	1.447
1922	1.025
1923	0.948
1924	1.174
1925	1.004
1926	1.364
1927	1.887
1928	1.822
1929	1.859
1930	0.542
1931	0.61
1932	0.666
1933	0.592
1934	0.468
1935	0.862
1936	0.337
1937	0.372
1938	0.782
1939	0.873
1940	0.634
1941	0.222
1942	0.41
1943	0.645
1944	0.915
1945	0.724
1946	1.176
1947	1.382
1948	1.548
1949	1.034
1950	1.134
1951	1.626
1952	1.067
1953	1.081
1954	0.381
1955	0.858
1956	1.192
1957	1.305
1958	1.856
1959	1.386
1960	1.457
1961	1.813
1962	1.296
1963	1.043
1964	0.758
1965	0.804
1966	0.833
1967	0.844
1968	0.992
1969	1.136
1970	1.008
1971	0.574
1972	0.436
