# northamerica_usa_ks007 - Fall River - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_ks007 - Fall River - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Fall River
#	Location:
#	Country: United States
#	Northernmost_Latitude: 37.58
#	Southernmost_Latitude: 37.58
#	Easternmost_Longitude: -95.95
#	Westernmost_Longitude: -95.95
#	Elevation: 285 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_ks007B
#	Earliest_Year: 1763
#	Most_Recent_Year: 1982
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.9516201471","T2":"16.0734011644","M1":"0.0225393520135","M2":"0.563662515286"}}
#--------------------
# Species
#	Species_Name: post oak
#	Species_Code: QUST
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1763	0.898
1764	1.251
1765	1.062
1766	1.113
1767	0.475
1768	0.915
1769	0.837
1770	0.738
1771	1.006
1772	0.656
1773	0.68
1774	1.175
1775	1.378
1776	1.544
1777	1.07
1778	1.126
1779	1.205
1780	0.795
1781	1.05
1782	1.136
1783	1.178
1784	0.977
1785	0.91
1786	0.667
1787	1.028
1788	1.044
1789	0.887
1790	0.707
1791	0.72
1792	0.775
1793	1.05
1794	1.251
1795	1.165
1796	1.145
1797	0.971
1798	0.879
1799	1.164
1800	0.99
1801	0.768
1802	1.062
1803	0.946
1804	1.072
1805	0.886
1806	1.029
1807	1.022
1808	0.425
1809	0.823
1810	0.832
1811	1.245
1812	0.754
1813	0.982
1814	1.216
1815	0.882
1816	1.114
1817	1.036
1818	1.207
1819	1.028
1820	0.988
1821	1.15
1822	0.965
1823	0.908
1824	0.793
1825	1.149
1826	1.302
1827	1.165
1828	1.085
1829	0.827
1830	1.101
1831	0.929
1832	1.017
1833	0.721
1834	0.955
1835	0.787
1836	1.146
1837	1.167
1838	1.049
1839	1.027
1840	1.054
1841	0.943
1842	0.94
1843	1.222
1844	1.099
1845	0.918
1846	0.846
1847	1.002
1848	0.746
1849	0.965
1850	0.781
1851	0.64
1852	0.822
1853	0.943
1854	0.911
1855	0.368
1856	0.722
1857	0.796
1858	0.906
1859	0.815
1860	0.48
1861	1.145
1862	0.734
1863	0.881
1864	0.759
1865	0.801
1866	0.975
1867	1.136
1868	0.792
1869	1.359
1870	1.083
1871	1.177
1872	1.157
1873	1.271
1874	0.969
1875	0.92
1876	1.379
1877	1.311
1878	1.333
1879	1.226
1880	1.144
1881	1.075
1882	1.328
1883	1.197
1884	0.973
1885	1.173
1886	0.974
1887	0.863
1888	1.056
1889	1.114
1890	0.999
1891	1.26
1892	1.204
1893	1.009
1894	0.79
1895	0.598
1896	0.919
1897	0.967
1898	1.199
1899	1.12
1900	0.861
1901	0.858
1902	1.141
1903	1.159
1904	1.117
1905	0.999
1906	1.0
1907	0.877
1908	1.158
1909	1.164
1910	0.847
1911	0.706
1912	1.003
1913	0.665
1914	0.815
1915	1.328
1916	1.203
1917	0.905
1918	0.771
1919	1.198
1920	1.165
1921	1.101
1922	1.046
1923	1.143
1924	0.964
1925	0.881
1926	1.012
1927	1.002
1928	1.179
1929	1.071
1930	0.902
1931	0.964
1932	0.914
1933	0.798
1934	0.836
1935	1.08
1936	0.919
1937	1.076
1938	1.258
1939	0.898
1940	0.807
1941	1.014
1942	1.077
1943	1.001
1944	0.958
1945	1.057
1946	0.889
1947	1.119
1948	0.896
1949	1.143
1950	0.804
1951	1.024
1952	0.853
1953	0.626
1954	0.759
1955	0.982
1956	0.718
1957	1.045
1958	1.327
1959	1.088
1960	1.003
1961	1.163
1962	1.077
1963	0.879
1964	0.871
1965	1.171
1966	0.769
1967	0.91
1968	0.953
1969	1.018
1970	1.052
1971	0.978
1972	0.81
1973	1.045
1974	1.013
1975	1.336
1976	0.945
1977	0.827
1978	0.919
1979	0.884
1980	0.833
1981	0.696
1982	1.087
