# northamerica_usa_la001 - Big Cypress State Park - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_la001 - Big Cypress State Park - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Big Cypress State Park
#	Location:
#	Country: United States
#	Northernmost_Latitude: 32.25
#	Southernmost_Latitude: 32.25
#	Easternmost_Longitude: -92.97
#	Westernmost_Longitude: -92.97
#	Elevation: 47 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_la001B
#	Earliest_Year: 997
#	Most_Recent_Year: 1988
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.9092281256","T2":"18.3679346485","M1":"0.0219972235177","M2":"0.602720289127"}}
#--------------------
# Species
#	Species_Name: baldcypress
#	Species_Code: TADI
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
997	1.769
998	0.959
999	0.86
1000	0.573
1001	0.714
1002	1.421
1003	1.006
1004	0.865
1005	0.802
1006	0.677
1007	0.956
1008	0.926
1009	0.845
1010	0.933
1011	0.973
1012	0.836
1013	1.033
1014	0.57
1015	0.586
1016	0.537
1017	1.192
1018	1.006
1019	1.843
1020	1.068
1021	1.053
1022	0.802
1023	0.853
1024	1.395
1025	0.963
1026	1.026
1027	1.414
1028	1.284
1029	1.048
1030	1.396
1031	1.471
1032	1.243
1033	0.844
1034	0.816
1035	1.104
1036	1.035
1037	1.177
1038	1.289
1039	1.136
1040	0.889
1041	0.774
1042	0.849
1043	0.824
1044	0.606
1045	0.564
1046	1.066
1047	1.151
1048	0.841
1049	1.211
1050	0.808
1051	0.659
1052	0.965
1053	1.584
1054	1.77
1055	1.876
1056	1.628
1057	1.316
1058	1.108
1059	1.323
1060	1.435
1061	0.942
1062	0.52
1063	0.651
1064	0.649
1065	1.158
1066	1.184
1067	0.849
1068	1.206
1069	0.799
1070	1.163
1071	1.005
1072	0.796
1073	0.772
1074	0.515
1075	0.794
1076	0.822
1077	1.006
1078	0.753
1079	0.683
1080	0.315
1081	0.712
1082	0.738
1083	1.129
1084	1.059
1085	1.145
1086	0.696
1087	0.892
1088	1.225
1089	0.926
1090	0.701
1091	0.863
1092	0.909
1093	1.024
1094	1.125
1095	1.363
1096	1.208
1097	1.126
1098	1.409
1099	0.91
1100	0.835
1101	0.856
1102	1.058
1103	1.134
1104	0.733
1105	0.546
1106	1.404
1107	1.328
1108	0.84
1109	0.831
1110	0.813
1111	0.825
1112	0.673
1113	0.946
1114	1.622
1115	0.859
1116	0.859
1117	0.846
1118	0.901
1119	0.811
1120	1.102
1121	0.993
1122	0.742
1123	1.135
1124	0.75
1125	0.723
1126	0.619
1127	0.851
1128	0.669
1129	0.455
1130	0.613
1131	0.7
1132	0.791
1133	0.819
1134	0.531
1135	0.652
1136	1.405
1137	0.694
1138	0.455
1139	0.707
1140	0.807
1141	0.774
1142	0.764
1143	0.916
1144	0.888
1145	0.761
1146	0.761
1147	0.943
1148	0.959
1149	0.508
1150	0.596
1151	0.795
1152	0.666
1153	0.777
1154	0.562
1155	0.613
1156	0.604
1157	0.679
1158	0.357
1159	0.626
1160	0.834
1161	0.783
1162	0.926
1163	0.969
1164	0.706
1165	1.344
1166	1.577
1167	0.793
1168	1.203
1169	1.666
1170	1.454
1171	1.885
1172	1.753
1173	2.206
1174	2.334
1175	2.672
1176	2.27
1177	1.314
1178	1.947
1179	1.368
1180	1.889
1181	0.811
1182	1.523
1183	1.22
1184	0.873
1185	0.859
1186	1.097
1187	0.817
1188	1.128
1189	1.329
1190	1.139
1191	1.269
1192	1.277
1193	0.738
1194	0.936
1195	1.104
1196	1.157
1197	1.621
1198	0.894
1199	0.78
1200	0.73
1201	0.635
1202	0.729
1203	0.567
1204	0.805
1205	0.829
1206	0.652
1207	0.605
1208	0.666
1209	0.686
1210	0.66
1211	0.469
1212	0.913
1213	1.002
1214	0.841
1215	0.489
1216	0.439
1217	0.48
1218	0.933
1219	1.225
1220	1.165
1221	0.929
1222	0.826
1223	0.767
1224	0.498
1225	0.501
1226	0.678
1227	0.965
1228	1.344
1229	0.925
1230	0.856
1231	0.654
1232	0.537
1233	0.496
1234	0.444
1235	0.985
1236	0.552
1237	0.816
1238	0.774
1239	1.037
1240	0.555
1241	0.525
1242	0.892
1243	1.034
1244	1.146
1245	0.857
1246	0.712
1247	0.737
1248	0.838
1249	0.7
1250	0.842
1251	0.759
1252	0.935
1253	1.341
1254	0.838
1255	0.926
1256	0.665
1257	0.627
1258	0.748
1259	0.936
1260	1.062
1261	0.84
1262	0.813
1263	0.905
1264	1.15
1265	1.419
1266	1.352
1267	2.092
1268	1.702
1269	0.461
1270	1.267
1271	1.007
1272	0.822
1273	1.239
1274	1.043
1275	0.907
1276	0.365
1277	0.807
1278	1.164
1279	0.949
