# northamerica_usa_mo027 - Hahatonka - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_mo027 - Hahatonka - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Hahatonka
#	Location:
#	Country: United States
#	Northernmost_Latitude: 37.97
#	Southernmost_Latitude: 37.97
#	Easternmost_Longitude: -92.75
#	Westernmost_Longitude: -92.75
#	Elevation: 335 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_mo027B
#	Earliest_Year: 1741
#	Most_Recent_Year: 1982
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"5.33430607705","T2":"17.7184248635","M1":"0.0230474594661","M2":"0.526220454721"}}
#--------------------
# Species
#	Species_Name: post oak
#	Species_Code: QUST
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1741	0.916
1742	0.788
1743	0.885
1744	1.291
1745	1.86
1746	1.062
1747	1.433
1748	0.939
1749	0.991
1750	1.269
1751	1.176
1752	1.203
1753	1.005
1754	0.916
1755	1.061
1756	1.045
1757	0.989
1758	0.747
1759	0.892
1760	0.895
1761	1.154
1762	0.926
1763	0.657
1764	0.86
1765	0.857
1766	0.93
1767	0.602
1768	0.844
1769	1.013
1770	1.115
1771	1.022
1772	0.604
1773	0.695
1774	0.961
1775	1.162
1776	1.455
1777	1.424
1778	1.34
1779	1.363
1780	0.978
1781	1.191
1782	0.974
1783	0.761
1784	0.794
1785	0.769
1786	1.015
1787	0.759
1788	1.059
1789	0.728
1790	0.884
1791	1.048
1792	0.978
1793	0.932
1794	0.909
1795	1.018
1796	1.142
1797	1.018
1798	1.2
1799	0.87
1800	0.701
1801	0.77
1802	0.889
1803	0.76
1804	0.863
1805	0.791
1806	0.84
1807	0.949
1808	0.812
1809	0.893
1810	0.888
1811	1.165
1812	0.758
1813	0.866
1814	0.852
1815	1.026
1816	0.77
1817	0.613
1818	0.596
1819	0.95
1820	0.908
1821	1.102
1822	1.105
1823	0.925
1824	1.124
1825	0.978
1826	0.838
1827	1.493
1828	1.098
1829	0.891
1830	1.162
1831	1.049
1832	1.022
1833	1.347
1834	1.039
1835	1.081
1836	1.383
1837	1.145
1838	0.936
1839	1.246
1840	1.222
1841	0.947
1842	1.047
1843	1.135
1844	1.272
1845	0.893
1846	1.145
1847	0.971
1848	1.165
1849	1.536
1850	1.173
1851	1.186
1852	1.112
1853	0.916
1854	1.041
1855	0.943
1856	0.798
1857	0.719
1858	0.936
1859	0.726
1860	0.722
1861	0.915
1862	0.742
1863	0.914
1864	0.795
1865	0.866
1866	0.843
1867	0.892
1868	0.717
1869	0.971
1870	0.714
1871	0.857
1872	0.765
1873	0.799
1874	0.671
1875	0.796
1876	0.909
1877	0.932
1878	0.884
1879	0.633
1880	0.827
1881	0.755
1882	1.093
1883	1.011
1884	0.775
1885	0.879
1886	0.743
1887	0.771
1888	0.687
1889	1.099
1890	0.797
1891	0.713
1892	1.02
1893	1.117
1894	1.011
1895	0.915
1896	0.937
1897	1.078
1898	1.122
1899	1.077
1900	1.025
1901	0.769
1902	1.475
1903	1.862
1904	1.417
1905	0.988
1906	1.138
1907	1.101
1908	1.146
1909	1.314
1910	1.099
1911	0.764
1912	1.315
1913	0.732
1914	0.856
1915	1.169
1916	1.081
1917	0.875
1918	0.959
1919	1.072
1920	0.927
1921	1.075
1922	0.844
1923	0.915
1924	1.055
1925	0.766
1926	0.825
1927	1.03
1928	1.192
1929	1.082
1930	0.882
1931	0.835
1932	0.847
1933	0.796
1934	0.758
1935	1.149
1936	0.721
1937	1.019
1938	1.202
1939	1.042
1940	0.927
1941	0.917
1942	0.975
1943	0.903
1944	0.955
1945	1.199
1946	0.97
1947	0.803
1948	0.82
1949	1.042
1950	1.114
1951	1.072
1952	0.96
1953	0.94
1954	0.878
1955	1.283
1956	1.09
1957	1.317
1958	1.149
1959	1.083
1960	0.931
1961	0.972
1962	1.071
1963	0.973
1964	1.059
1965	1.085
1966	1.014
1967	1.164
1968	1.053
1969	1.156
1970	1.106
1971	1.097
1972	0.799
1973	1.131
1974	1.042
1975	0.922
1976	0.986
1977	0.992
1978	1.019
1979	0.939
1980	0.751
1981	0.76
1982	1.147
