# northamerica_usa_mo040 - Mill Mtn (+ VAN K1R K2R:Duvick Jack Fork coll.) - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_mo040 - Mill Mtn (+ VAN K1R K2R:Duvick Jack Fork coll.) - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Mill Mtn (+ VAN K1R K2R:Duvick Jack Fork coll.)
#	Location:
#	Country: United States
#	Northernmost_Latitude: 37.12
#	Southernmost_Latitude: 37.12
#	Easternmost_Longitude: -91.2
#	Westernmost_Longitude: -91.2
#	Elevation: 305 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_mo040B
#	Earliest_Year: 1723
#	Most_Recent_Year: 1992
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.87917722248","T2":"17.4640682483","M1":"0.0231071269428","M2":"0.568908925596"}}
#--------------------
# Species
#	Species_Name: post oak
#	Species_Code: QUST
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1723	1.139
1724	1.65
1725	1.239
1726	1.304
1727	1.357
1728	0.965
1729	1.271
1730	0.922
1731	0.713
1732	1.05
1733	1.298
1734	0.776
1735	1.212
1736	0.655
1737	0.912
1738	0.868
1739	0.737
1740	1.225
1741	0.933
1742	0.95
1743	0.877
1744	0.938
1745	0.918
1746	0.611
1747	1.285
1748	0.75
1749	0.798
1750	1.214
1751	1.202
1752	0.916
1753	0.82
1754	0.87
1755	0.621
1756	0.736
1757	0.884
1758	0.663
1759	1.008
1760	0.859
1761	1.025
1762	0.651
1763	0.82
1764	1.117
1765	0.956
1766	0.613
1767	0.638
1768	0.909
1769	0.81
1770	0.717
1771	0.784
1772	0.604
1773	0.733
1774	0.919
1775	0.815
1776	0.898
1777	0.833
1778	0.666
1779	0.744
1780	0.789
1781	1.052
1782	0.886
1783	1.039
1784	0.564
1785	0.654
1786	0.902
1787	0.854
1788	1.09
1789	0.752
1790	0.766
1791	1.264
1792	0.796
1793	0.934
1794	0.822
1795	1.112
1796	1.067
1797	1.36
1798	1.304
1799	0.847
1800	1.004
1801	0.575
1802	1.171
1803	0.877
1804	0.935
1805	0.992
1806	1.062
1807	1.154
1808	1.096
1809	0.939
1810	1.159
1811	1.357
1812	1.149
1813	0.93
1814	0.84
1815	0.851
1816	0.678
1817	0.681
1818	0.826
1819	1.281
1820	0.997
1821	1.095
1822	1.215
1823	1.013
1824	1.224
1825	1.117
1826	1.088
1827	1.173
1828	1.085
1829	0.85
1830	1.033
1831	0.98
1832	1.091
1833	1.134
1834	0.872
1835	0.862
1836	0.904
1837	1.216
1838	0.95
1839	0.874
1840	1.276
1841	0.953
1842	0.853
1843	1.012
1844	1.218
1845	1.214
1846	1.138
1847	1.005
1848	0.936
1849	1.503
1850	1.075
1851	0.847
1852	1.075
1853	0.692
1854	1.125
1855	0.793
1856	0.817
1857	0.725
1858	0.976
1859	0.808
1860	0.731
1861	0.906
1862	0.924
1863	1.015
1864	1.027
1865	0.987
1866	1.156
1867	0.999
1868	0.768
1869	0.64
1870	0.573
1871	0.684
1872	0.659
1873	0.83
1874	0.68
1875	0.811
1876	1.04
1877	0.91
1878	1.136
1879	0.777
1880	1.126
1881	0.943
1882	1.301
1883	1.397
1884	1.124
1885	1.211
1886	1.124
1887	1.058
1888	0.96
1889	1.264
1890	1.013
1891	1.036
1892	1.446
1893	1.345
1894	1.147
1895	1.052
1896	1.126
1897	1.325
1898	1.106
1899	1.144
1900	0.948
1901	0.672
1902	0.855
1903	1.179
1904	1.239
1905	0.876
1906	1.007
1907	1.018
1908	1.081
1909	1.281
1910	1.249
1911	0.715
1912	1.255
1913	0.724
1914	0.713
1915	1.427
1916	1.311
1917	1.216
1918	1.03
1919	1.122
1920	1.106
1921	1.125
1922	0.942
1923	1.388
1924	1.375
1925	0.859
1926	1.014
1927	1.235
1928	1.489
1929	1.248
1930	0.908
1931	0.93
1932	0.84
1933	1.004
1934	0.82
1935	1.252
1936	0.741
1937	1.094
1938	1.162
1939	1.087
1940	0.953
1941	0.977
1942	0.985
1943	0.98
1944	0.938
1945	1.117
1946	0.97
1947	0.904
1948	1.033
1949	1.049
1950	1.075
1951	1.222
1952	0.965
1953	0.864
1954	0.688
1955	1.026
1956	0.897
1957	1.039
1958	0.958
1959	0.85
1960	0.875
1961	0.884
1962	1.009
1963	0.824
1964	0.972
1965	0.998
1966	0.914
1967	0.746
1968	0.835
1969	0.822
1970	1.029
1971	1.021
1972	0.913
1973	1.106
1974	1.173
1975	1.061
1976	0.796
1977	0.687
1978	0.78
1979	0.84
1980	0.757
1981	0.823
1982	1.2
1983	1.019
1984	0.715
1985	0.976
1986	0.924
1987	0.874
1988	0.823
1989	1.064
1990	0.951
1991	0.778
1992	1.141
