# northamerica_usa_nm030 - Turkey Springs - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_nm030 - Turkey Springs - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Turkey Springs
#	Location:
#	Country: United States
#	Northernmost_Latitude: 35.4
#	Southernmost_Latitude: 35.4
#	Easternmost_Longitude: -108.52
#	Westernmost_Longitude: -108.52
#	Elevation: 2377 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_nm030B
#	Earliest_Year: 1411
#	Most_Recent_Year: 1972
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.15663146405","T2":"15.6510405983","M1":"0.0231668627448","M2":"0.468358227473"}}
#--------------------
# Species
#	Species_Name: pinyon pine
#	Species_Code: PIED
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1411	1.34
1412	0.952
1413	0.661
1414	0.926
1415	0.933
1416	0.887
1417	0.982
1418	0.903
1419	0.771
1420	0.619
1421	0.434
1422	0.771
1423	0.619
1424	0.922
1425	1.072
1426	1.184
1427	1.177
1428	1.298
1429	1.372
1430	1.103
1431	1.43
1432	1.069
1433	1.18
1434	1.16
1435	0.988
1436	0.983
1437	1.482
1438	0.993
1439	1.343
1440	1.467
1441	1.321
1442	0.861
1443	0.814
1444	1.364
1445	0.955
1446	0.908
1447	0.973
1448	0.666
1449	0.84
1450	0.83
1451	1.007
1452	0.875
1453	1.204
1454	0.937
1455	0.756
1456	0.746
1457	0.551
1458	1.14
1459	0.527
1460	0.763
1461	0.848
1462	1.172
1463	1.035
1464	0.533
1465	0.817
1466	1.092
1467	1.068
1468	1.08
1469	1.291
1470	0.993
1471	0.475
1472	0.766
1473	0.892
1474	0.994
1475	0.607
1476	0.885
1477	1.23
1478	1.204
1479	0.848
1480	0.513
1481	1.279
1482	1.482
1483	1.234
1484	1.809
1485	1.441
1486	1.397
1487	0.691
1488	1.218
1489	1.38
1490	1.623
1491	1.625
1492	1.224
1493	1.173
1494	1.174
1495	0.593
1496	1.112
1497	1.298
1498	1.382
1499	0.987
1500	0.79
1501	1.311
1502	1.126
1503	1.096
1504	1.175
1505	1.189
1506	0.743
1507	1.091
1508	1.147
1509	1.188
1510	0.902
1511	1.145
1512	0.986
1513	1.133
1514	1.193
1515	1.287
1516	0.715
1517	0.656
1518	0.924
1519	1.083
1520	1.004
1521	0.99
1522	0.642
1523	0.665
1524	0.737
1525	0.796
1526	1.034
1527	0.812
1528	0.846
1529	0.689
1530	0.857
1531	0.868
1532	0.802
1533	0.766
1534	0.801
1535	0.835
1536	1.01
1537	1.09
1538	0.669
1539	0.95
1540	1.02
1541	1.14
1542	0.665
1543	1.012
1544	0.909
1545	0.786
1546	0.893
1547	0.76
1548	0.816
1549	1.035
1550	1.028
1551	0.9
1552	0.91
1553	1.074
1554	0.832
1555	1.101
1556	1.139
1557	1.037
1558	0.934
1559	0.717
1560	0.622
1561	0.639
1562	0.617
1563	0.957
1564	1.066
1565	1.059
1566	0.987
1567	0.862
1568	0.867
1569	1.143
1570	1.14
1571	0.889
1572	0.999
1573	0.574
1574	0.681
1575	0.708
1576	0.726
1577	0.796
1578	0.743
1579	0.544
1580	0.386
1581	1.05
1582	0.922
1583	0.79
1584	0.269
1585	0.367
1586	1.375
1587	1.717
1588	1.447
1589	1.647
1590	1.025
1591	1.352
1592	0.559
1593	0.795
1594	1.841
1595	1.5
1596	1.663
1597	0.987
1598	0.983
1599	1.585
1600	0.608
1601	1.091
1602	1.209
1603	1.156
1604	0.944
1605	1.268
1606	1.073
1607	1.045
1608	1.226
1609	1.075
1610	1.162
1611	1.341
1612	1.199
1613	1.162
1614	0.923
1615	1.316
1616	1.052
1617	1.304
1618	1.338
1619	0.957
1620	1.374
1621	1.317
1622	0.855
1623	0.684
1624	0.509
1625	0.547
1626	0.746
1627	0.921
1628	0.825
1629	1.088
1630	1.159
1631	0.774
1632	0.612
1633	1.222
1634	0.993
1635	1.162
1636	1.025
1637	1.121
1638	0.998
1639	1.175
1640	1.339
1641	1.073
1642	0.906
1643	1.141
1644	1.009
1645	0.901
1646	0.979
1647	0.98
1648	0.537
1649	0.724
1650	0.91
1651	1.201
1652	1.14
1653	0.787
1654	0.784
1655	0.964
1656	0.937
1657	0.67
1658	0.593
1659	0.95
1660	1.061
1661	0.911
1662	0.818
1663	0.869
1664	0.725
1665	0.976
1666	0.774
1667	0.446
1668	0.316
1669	0.665
1670	0.601
1671	0.88
1672	0.933
1673	1.227
1674	1.055
1675	1.189
1676	0.808
1677	0.918
1678	0.818
1679	0.893
1680	1.227
1681	1.252
1682	1.141
1683	1.354
1684	0.703
1685	0.258
1686	1.172
1687	1.097
1688	1.301
1689	1.348
1690	1.374
1691	1.23
1692	1.63
