# northamerica_usa_nm053 - Burning Bridge Wash - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_nm053 - Burning Bridge Wash - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Burning Bridge Wash
#	Location:
#	Country: United States
#	Northernmost_Latitude: 35.9
#	Southernmost_Latitude: 35.9
#	Easternmost_Longitude: -107.63
#	Westernmost_Longitude: -107.63
#	Elevation: 2195 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_nm053B
#	Earliest_Year: 1681
#	Most_Recent_Year: 1976
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"5.11991513409","T2":"16.5313493926","M1":"0.0233669307452","M2":"0.442207198311"}}
#--------------------
# Species
#	Species_Name: pinyon pine
#	Species_Code: PIED
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1681	1.213
1682	1.197
1683	1.372
1684	0.583
1685	0.295
1686	0.58
1687	0.791
1688	1.22
1689	1.175
1690	0.66
1691	0.952
1692	1.393
1693	1.273
1694	1.017
1695	0.879
1696	0.676
1697	1.05
1698	0.27
1699	1.376
1700	0.979
1701	1.738
1702	1.286
1703	0.942
1704	0.576
1705	0.69
1706	1.868
1707	0.748
1708	1.182
1709	1.446
1710	1.664
1711	1.041
1712	1.025
1713	0.85
1714	0.912
1715	0.824
1716	0.52
1717	0.691
1718	0.856
1719	0.805
1720	1.67
1721	1.585
1722	1.222
1723	1.322
1724	0.942
1725	1.419
1726	1.86
1727	1.122
1728	0.632
1729	0.338
1730	0.681
1731	1.225
1732	1.34
1733	0.398
1734	0.72
1735	0.153
1736	1.072
1737	0.629
1738	0.702
1739	0.774
1740	1.013
1741	1.062
1742	0.354
1743	1.267
1744	0.947
1745	1.418
1746	1.902
1747	1.563
1748	0.136
1749	1.446
1750	0.776
1751	0.876
1752	0.662
1753	0.467
1754	0.935
1755	0.712
1756	0.431
1757	1.369
1758	1.497
1759	1.637
1760	1.226
1761	1.055
1762	1.159
1763	0.18
1764	0.882
1765	1.125
1766	1.226
1767	1.062
1768	1.532
1769	1.44
1770	1.96
1771	1.796
1772	1.401
1773	0.807
1774	1.035
1775	0.854
1776	0.911
1777	0.575
1778	1.05
1779	0.396
1780	0.538
1781	0.626
1782	0.585
1783	1.253
1784	1.491
1785	0.871
1786	0.747
1787	1.105
1788	1.043
1789	0.68
1790	1.305
1791	1.381
1792	1.147
1793	1.845
1794	1.317
1795	1.053
1796	0.828
1797	0.524
1798	0.983
1799	1.285
1800	0.866
1801	1.168
1802	1.217
1803	1.186
1804	1.37
1805	1.159
1806	-0.009
1807	1.492
1808	0.685
1809	1.232
1810	0.785
1811	1.396
1812	0.898
1813	0.711
1814	1.266
1815	1.206
1816	1.911
1817	1.339
1818	0.92
1819	0.571
1820	0.784
1821	1.069
1822	-0.009
1823	0.382
1824	0.546
1825	0.899
1826	0.543
1827	0.626
1828	1.368
1829	0.315
1830	1.632
1831	1.17
1832	1.734
1833	1.869
1834	1.523
1835	1.635
1836	1.281
1837	1.229
1838	1.611
1839	1.663
1840	1.254
1841	1.44
1842	0.95
1843	0.863
1844	1.234
1845	0.875
1846	0.968
1847	0.045
1848	1.147
1849	1.556
1850	1.257
1851	0.261
1852	1.546
1853	0.772
1854	0.98
1855	1.317
1856	1.017
1857	0.718
1858	1.1
1859	0.645
1860	1.298
1861	0.029
1862	0.847
1863	0.9
1864	0.587
1865	0.925
1866	1.196
1867	0.893
1868	1.488
1869	1.78
1870	0.723
1871	0.801
1872	0.544
1873	0.36
1874	1.243
1875	0.635
1876	0.878
1877	1.27
1878	0.6
1879	0.996
1880	0.216
1881	0.26
1882	1.0
1883	0.354
1884	0.684
1885	0.633
1886	0.453
1887	0.757
1888	1.038
1889	0.731
1890	0.875
1891	1.099
1892	0.911
1893	0.352
1894	0.448
1895	1.442
1896	0.321
1897	1.323
1898	0.843
1899	-0.009
1900	0.348
1901	0.384
1902	-0.009
1903	0.946
1904	-0.009
1905	1.237
1906	0.733
1907	1.28
1908	1.167
1909	0.451
1910	0.905
1911	1.554
1912	0.934
1913	0.344
1914	1.661
1915	1.916
1916	1.523
1917	0.724
1918	0.823
1919	1.678
1920	1.886
1921	0.884
1922	0.461
1923	0.707
1924	1.537
1925	0.471
1926	1.515
1927	1.55
1928	1.232
1929	1.006
1930	1.641
1931	1.246
1932	1.781
1933	1.135
1934	1.143
1935	1.6
1936	1.303
1937	1.56
1938	0.983
1939	0.846
1940	1.09
1941	1.885
1942	1.197
1943	0.889
1944	1.069
1945	1.478
1946	0.869
1947	1.427
1948	1.62
1949	1.867
1950	0.067
1951	-0.009
1952	0.947
1953	0.262
1954	-0.009
1955	0.536
1956	0.255
1957	0.439
1958	1.046
1959	0.647
1960	1.156
1961	0.76
1962	0.953
1963	0.987
1964	0.743
1965	1.36
1966	1.062
1967	-0.009
1968	1.008
1969	1.371
1970	1.392
1971	0.332
1972	1.217
1973	1.544
1974	0.177
1975	1.907
1976	0.738
