# northamerica_usa_nm119 - Mimbres Junction - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_nm119 - Mimbres Junction - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Mimbres Junction
#	Location:
#	Country: United States
#	Northernmost_Latitude: 32.93
#	Southernmost_Latitude: 32.93
#	Easternmost_Longitude: -108.02
#	Westernmost_Longitude: -108.02
#	Elevation: 1925 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_nm119B
#	Earliest_Year: 1696
#	Most_Recent_Year: 1982
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.89544020619","T2":"16.7980917383","M1":"0.0237982972889","M2":"0.360069242361"}}
#--------------------
# Species
#	Species_Name: pinyon pine
#	Species_Code: PIED
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1696	0.871
1697	1.21
1698	0.969
1699	1.303
1700	1.215
1701	1.088
1702	0.485
1703	1.109
1704	0.696
1705	0.858
1706	0.971
1707	0.931
1708	1.378
1709	0.67
1710	1.32
1711	0.944
1712	1.048
1713	0.685
1714	0.557
1715	0.492
1716	0.444
1717	1.124
1718	1.344
1719	1.322
1720	1.353
1721	1.218
1722	1.158
1723	0.777
1724	1.199
1725	0.933
1726	1.312
1727	1.188
1728	1.006
1729	1.567
1730	1.073
1731	0.861
1732	1.524
1733	0.257
1734	1.49
1735	1.004
1736	0.853
1737	0.792
1738	1.22
1739	0.458
1740	1.2
1741	1.228
1742	0.735
1743	1.272
1744	0.799
1745	1.031
1746	1.608
1747	1.414
1748	0.453
1749	1.252
1750	0.586
1751	1.335
1752	0.253
1753	0.506
1754	0.82
1755	0.396
1756	0.569
1757	0.313
1758	0.956
1759	1.075
1760	0.698
1761	0.748
1762	1.452
1763	0.406
1764	1.134
1765	0.878
1766	0.575
1767	0.861
1768	0.725
1769	0.727
1770	1.042
1771	1.591
1772	1.115
1773	0.122
1774	0.552
1775	1.176
1776	1.059
1777	0.412
1778	1.054
1779	1.308
1780	0.384
1781	0.801
1782	0.459
1783	1.275
1784	1.292
1785	0.881
1786	0.676
1787	1.344
1788	0.769
1789	0.756
1790	1.142
1791	1.207
1792	1.214
1793	1.687
1794	0.523
1795	1.223
1796	0.925
1797	0.142
1798	1.096
1799	1.036
1800	0.824
1801	0.964
1802	0.92
1803	0.326
1804	1.259
1805	0.967
1806	0.365
1807	1.2
1808	1.082
1809	0.896
1810	1.445
1811	0.74
1812	0.845
1813	0.715
1814	0.853
1815	1.387
1816	1.466
1817	0.856
1818	0.081
1819	0.51
1820	0.447
1821	0.84
1822	0.552
1823	0.991
1824	1.188
1825	0.798
1826	1.121
1827	1.249
1828	1.843
1829	1.609
1830	1.666
1831	0.541
1832	0.7
1833	1.555
1834	1.203
1835	1.142
1836	0.502
1837	1.264
1838	0.628
1839	1.398
1840	1.129
1841	1.029
1842	0.69
1843	1.12
1844	1.357
1845	1.449
1846	1.057
1847	0.512
1848	0.705
1849	1.429
1850	1.324
1851	0.351
1852	1.391
1853	0.875
1854	0.776
1855	1.108
1856	1.446
1857	1.173
1858	1.048
1859	0.343
1860	1.015
1861	0.389
1862	0.126
1863	0.271
1864	0.349
1865	1.208
1866	1.093
1867	1.253
1868	1.47
1869	1.242
1870	0.948
1871	1.521
1872	0.818
1873	1.016
1874	1.165
1875	0.715
1876	1.217
1877	1.327
1878	0.85
1879	1.129
1880	0.414
1881	0.749
1882	0.878
1883	0.618
1884	0.94
1885	1.421
1886	0.888
1887	1.285
1888	0.849
1889	1.337
1890	0.67
1891	1.719
1892	0.885
1893	0.277
1894	0.582
1895	0.497
1896	0.61
1897	1.102
1898	1.48
1899	0.747
1900	0.417
1901	1.029
1902	0.548
1903	1.93
1904	0.35
1905	1.985
1906	1.807
1907	2.19
1908	1.947
1909	1.108
1910	0.37
1911	1.884
1912	1.837
1913	1.182
1914	2.004
1915	0.995
1916	0.869
1917	1.284
1918	0.44
1919	1.381
1920	0.955
1921	1.11
1922	0.833
1923	0.991
1924	1.097
1925	-0.015
1926	1.026
1927	0.958
1928	1.005
1929	0.929
1930	0.911
1931	1.121
1932	0.584
1933	0.996
1934	0.33
1935	1.149
1936	0.612
1937	0.887
1938	0.557
1939	0.536
1940	1.302
1941	1.199
1942	1.07
1943	0.853
1944	0.459
1945	1.29
1946	0.798
1947	0.624
1948	0.907
1949	1.064
1950	0.383
1951	0.102
1952	1.308
1953	0.72
1954	-0.014
1955	0.252
1956	-0.014
1957	0.415
1958	1.239
1959	0.872
1960	1.261
1961	0.479
1962	1.314
1963	1.075
1964	0.867
1965	1.479
1966	1.651
1967	0.729
1968	1.684
1969	0.338
1970	0.828
1971	0.1
1972	1.193
1973	1.342
1974	0.213
1975	1.844
1976	1.392
1977	1.401
1978	0.928
1979	1.87
1980	0.995
1981	0.543
1982	1.233
