# northamerica_usa_nm547 - Salinas Peak San Andres Mountains - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_nm547 - Salinas Peak San Andres Mountains - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Salinas Peak San Andres Mountains
#	Location:
#	Country: United States
#	Northernmost_Latitude: 33.25
#	Southernmost_Latitude: 33.25
#	Easternmost_Longitude: -106.75
#	Westernmost_Longitude: -106.75
#	Elevation: 2438 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_nm547B
#	Earliest_Year: 1701
#	Most_Recent_Year: 1990
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.87311000946","T2":"16.9157400144","M1":"0.0233820728392","M2":"0.334300293515"}}
#--------------------
# Species
#	Species_Name: pinyon pine
#	Species_Code: PIED
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1701	0.732
1702	0.679
1703	1.106
1704	0.981
1705	0.704
1706	0.766
1707	0.918
1708	1.056
1709	0.607
1710	1.571
1711	1.01
1712	1.568
1713	0.967
1714	0.561
1715	0.955
1716	0.5
1717	0.886
1718	1.255
1719	1.149
1720	1.595
1721	1.648
1722	1.243
1723	0.809
1724	0.534
1725	0.685
1726	1.418
1727	1.075
1728	0.73
1729	0.198
1730	0.23
1731	0.166
1732	0.998
1733	1.071
1734	1.623
1735	0.662
1736	0.609
1737	1.034
1738	1.232
1739	0.349
1740	0.75
1741	1.001
1742	0.353
1743	1.723
1744	1.69
1745	1.675
1746	1.811
1747	1.592
1748	0.205
1749	1.093
1750	0.586
1751	1.734
1752	0.831
1753	0.935
1754	0.962
1755	0.814
1756	0.664
1757	0.007
1758	1.385
1759	1.151
1760	0.734
1761	1.152
1762	1.66
1763	0.69
1764	1.512
1765	0.917
1766	1.298
1767	1.218
1768	1.406
1769	1.074
1770	1.427
1771	2.146
1772	1.382
1773	0.004
1774	0.761
1775	1.1
1776	0.923
1777	0.464
1778	1.077
1779	0.957
1780	0.189
1781	0.704
1782	0.38
1783	1.262
1784	1.021
1785	0.699
1786	0.901
1787	0.469
1788	1.291
1789	0.5
1790	1.379
1791	0.959
1792	1.135
1793	2.15
1794	1.162
1795	1.648
1796	0.763
1797	0.488
1798	0.247
1799	0.757
1800	0.75
1801	1.061
1802	1.352
1803	1.177
1804	0.991
1805	0.85
1806	0.424
1807	1.178
1808	0.296
1809	0.859
1810	1.367
1811	1.28
1812	1.051
1813	0.984
1814	0.716
1815	1.45
1816	1.486
1817	0.701
1818	0.039
1819	0.501
1820	0.32
1821	1.405
1822	0.378
1823	0.39
1824	0.861
1825	0.791
1826	0.787
1827	1.463
1828	1.208
1829	1.267
1830	1.438
1831	0.829
1832	0.415
1833	1.291
1834	1.162
1835	1.123
1836	0.663
1837	1.119
1838	0.684
1839	1.528
1840	1.439
1841	1.285
1842	0.511
1843	1.497
1844	1.331
1845	1.237
1846	1.011
1847	0.61
1848	0.971
1849	1.531
1850	1.18
1851	0.961
1852	1.35
1853	0.948
1854	0.876
1855	0.826
1856	1.228
1857	1.576
1858	1.548
1859	0.709
1860	0.734
1861	0.711
1862	0.835
1863	0.883
1864	0.604
1865	1.031
1866	1.218
1867	0.382
1868	0.563
1869	1.058
1870	0.708
1871	1.3
1872	1.038
1873	0.636
1874	0.843
1875	0.61
1876	0.76
1877	1.249
1878	0.763
1879	0.398
1880	0.676
1881	0.936
1882	1.266
1883	0.55
1884	0.762
1885	1.219
1886	0.381
1887	1.395
1888	0.642
1889	1.095
1890	0.706
1891	1.003
1892	0.21
1893	0.389
1894	0.605
1895	0.98
1896	0.888
1897	1.41
1898	1.77
1899	1.239
1900	0.99
1901	0.697
1902	0.686
1903	1.604
1904	0.165
1905	2.287
1906	1.672
1907	2.451
1908	1.955
1909	0.52
1910	-0.007
1911	0.878
1912	0.874
1913	1.226
1914	1.433
1915	1.403
1916	1.636
1917	1.379
1918	0.504
1919	1.657
1920	1.647
1921	1.314
1922	0.557
1923	0.633
1924	1.151
1925	-0.007
1926	0.882
1927	0.888
1928	1.113
1929	1.26
1930	0.797
1931	1.096
1932	1.012
1933	1.687
1934	0.335
1935	0.53
1936	1.215
1937	0.872
1938	0.84
1939	0.562
1940	0.962
1941	1.695
1942	1.106
1943	1.062
1944	1.164
1945	1.152
1946	0.329
1947	0.406
1948	0.579
1949	0.736
1950	0.412
1951	-0.002
1952	0.75
1953	0.499
1954	-0.002
1955	0.465
1956	-0.002
1957	0.142
1958	1.05
1959	1.373
1960	1.982
1961	1.023
1962	1.286
1963	1.514
1964	0.722
1965	0.65
1966	1.159
1967	0.731
1968	1.192
1969	0.756
1970	1.418
1971	0.376
1972	1.355
1973	1.588
1974	0.436
1975	1.767
1976	1.138
1977	0.584
1978	0.724
1979	1.676
1980	1.374
1981	0.924
1982	0.405
1983	1.415
1984	0.579
1985	1.662
1986	1.654
1987	1.742
1988	1.466
1989	0.796
1990	0.527
