# northamerica_usa_nm566 - Black Mountain - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_nm566 - Black Mountain - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Black Mountain
#	Location:
#	Country: United States
#	Northernmost_Latitude: 33.38
#	Southernmost_Latitude: 33.38
#	Easternmost_Longitude: -108.23
#	Westernmost_Longitude: -108.23
#	Elevation: 2651 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_nm566B
#	Earliest_Year: 1450
#	Most_Recent_Year: 1987
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"3.50158468337","T2":"15.7193771338","M1":"0.0236132976158","M2":"0.491524086565"}}
#--------------------
# Species
#	Species_Name: ponderosa pine
#	Species_Code: PIPO
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1450	1.116
1451	1.013
1452	0.905
1453	0.721
1454	1.002
1455	0.849
1456	0.586
1457	0.753
1458	1.066
1459	0.891
1460	1.285
1461	1.1
1462	1.112
1463	0.839
1464	0.788
1465	1.251
1466	1.063
1467	1.054
1468	0.834
1469	0.816
1470	0.623
1471	0.718
1472	0.733
1473	0.885
1474	1.276
1475	1.029
1476	0.499
1477	0.896
1478	1.21
1479	1.201
1480	0.989
1481	1.307
1482	1.494
1483	1.164
1484	1.581
1485	1.47
1486	0.973
1487	0.694
1488	1.217
1489	1.502
1490	1.023
1491	1.629
1492	1.329
1493	1.201
1494	1.009
1495	0.472
1496	1.034
1497	0.925
1498	1.871
1499	1.595
1500	0.91
1501	0.475
1502	0.551
1503	0.714
1504	1.44
1505	1.388
1506	0.545
1507	1.249
1508	1.576
1509	1.362
1510	1.315
1511	1.562
1512	1.018
1513	0.568
1514	0.568
1515	0.834
1516	0.502
1517	0.44
1518	0.833
1519	1.128
1520	0.992
1521	1.121
1522	0.489
1523	0.712
1524	0.926
1525	1.676
1526	1.54
1527	0.705
1528	0.296
1529	1.314
1530	0.796
1531	0.458
1532	0.656
1533	1.158
1534	1.15
1535	0.778
1536	1.399
1537	1.171
1538	0.453
1539	1.404
1540	1.29
1541	1.192
1542	0.531
1543	1.346
1544	1.225
1545	1.019
1546	1.311
1547	1.066
1548	0.911
1549	1.143
1550	1.224
1551	0.862
1552	1.385
1553	1.365
1554	0.822
1555	1.122
1556	1.084
1557	1.084
1558	0.771
1559	0.873
1560	0.493
1561	0.788
1562	0.611
1563	0.835
1564	1.108
1565	0.838
1566	0.939
1567	0.924
1568	0.859
1569	0.956
1570	0.619
1571	0.704
1572	0.898
1573	0.864
1574	0.467
1575	0.808
1576	0.562
1577	0.718
1578	0.833
1579	0.383
1580	0.895
1581	1.184
1582	1.137
1583	0.081
1584	0.751
1585	0.611
1586	0.907
1587	1.109
1588	1.287
1589	0.662
1590	1.041
1591	0.803
1592	0.271
1593	0.519
1594	1.161
1595	1.25
1596	1.076
1597	1.581
1598	1.057
1599	1.716
1600	0.746
1601	0.582
1602	1.088
1603	1.266
1604	1.186
1605	1.016
1606	1.493
1607	0.953
1608	1.525
1609	1.189
1610	1.553
1611	1.529
1612	1.41
1613	0.92
1614	1.055
1615	1.077
1616	1.226
1617	1.031
1618	1.467
1619	1.078
1620	1.076
1621	1.365
1622	1.021
1623	0.796
1624	0.704
1625	1.05
1626	0.701
1627	1.011
1628	1.079
1629	1.215
1630	1.267
1631	0.973
1632	0.552
1633	1.178
1634	1.148
1635	1.017
1636	0.924
1637	0.916
1638	0.91
1639	1.333
1640	1.312
1641	1.166
1642	1.163
1643	1.174
1644	1.314
1645	0.729
1646	0.845
1647	0.98
1648	0.42
1649	0.722
1650	1.033
1651	0.92
1652	0.817
1653	0.509
1654	0.455
1655	1.128
1656	0.858
1657	0.827
1658	1.127
1659	0.878
1660	0.939
1661	1.275
1662	1.053
1663	0.836
1664	0.45
1665	1.222
1666	0.912
1667	0.59
1668	0.472
1669	0.554
1670	0.415
1671	1.176
1672	0.979
1673	0.91
1674	1.179
1675	0.944
1676	0.862
1677	0.955
1678	0.884
1679	1.054
1680	1.272
1681	1.172
1682	1.207
1683	1.401
1684	0.788
1685	0.278
1686	1.395
1687	1.173
1688	1.591
1689	1.296
1690	1.296
1691	0.69
1692	1.594
1693	1.39
1694	1.175
1695	1.095
1696	0.803
1697	1.101
1698	1.019
1699	1.645
1700	1.405
1701	1.269
1702	0.94
1703	1.361
1704	1.188
1705	0.523
1706	0.778
1707	0.486
1708	1.069
1709	0.45
1710	1.192
1711	0.966
1712	1.154
1713	0.816
1714	1.182
1715	0.698
1716	0.374
1717	1.001
1718	0.933
1719	1.012
1720	1.378
1721	1.475
1722	1.175
1723	0.976
1724	0.972
1725	1.11
1726	1.5
1727	0.899
1728	0.699
1729	0.722
1730	0.71
1731	0.492
