# northamerica_usa_nv061 - Jarbidge Canyon - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_nv061 - Jarbidge Canyon - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Jarbidge Canyon
#	Location:
#	Country: United States
#	Northernmost_Latitude: 41.9
#	Southernmost_Latitude: 41.9
#	Easternmost_Longitude: -115.42
#	Westernmost_Longitude: -115.42
#	Elevation: 1852 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_nv061B
#	Earliest_Year: 1334
#	Most_Recent_Year: 1984
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"3.43454620607","T2":"15.0500450173","M1":"0.0224741300457","M2":"0.529310134402"}}
#--------------------
# Species
#	Species_Name: Rocky Mountain juniper
#	Species_Code: JUSC
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1334	1.454
1335	1.137
1336	1.18
1337	1.042
1338	1.37
1339	1.17
1340	1.296
1341	1.546
1342	1.84
1343	2.053
1344	1.623
1345	1.315
1346	1.466
1347	1.765
1348	1.581
1349	1.501
1350	0.698
1351	1.361
1352	1.451
1353	1.176
1354	1.352
1355	1.01
1356	0.686
1357	1.431
1358	1.172
1359	1.616
1360	1.201
1361	1.005
1362	0.696
1363	0.854
1364	1.036
1365	0.769
1366	0.952
1367	1.068
1368	1.3
1369	0.731
1370	1.17
1371	1.105
1372	1.085
1373	1.484
1374	1.466
1375	1.729
1376	1.263
1377	0.77
1378	0.938
1379	1.371
1380	0.885
1381	0.542
1382	0.404
1383	0.515
1384	0.763
1385	1.115
1386	1.023
1387	1.334
1388	1.074
1389	0.724
1390	0.974
1391	0.516
1392	0.976
1393	0.465
1394	1.261
1395	0.56
1396	1.08
1397	0.69
1398	0.754
1399	0.692
1400	1.076
1401	0.696
1402	0.426
1403	0.427
1404	1.116
1405	1.504
1406	0.59
1407	0.494
1408	1.303
1409	1.193
1410	0.788
1411	0.807
1412	1.297
1413	0.843
1414	0.861
1415	0.959
1416	0.731
1417	0.983
1418	1.3
1419	0.454
1420	1.187
1421	1.174
1422	0.758
1423	0.858
1424	0.507
1425	0.643
1426	0.795
1427	1.255
1428	0.869
1429	1.044
1430	0.653
1431	0.58
1432	0.459
1433	0.292
1434	0.379
1435	0.91
1436	0.7
1437	0.48
1438	0.707
1439	0.859
1440	0.95
1441	1.2
1442	0.915
1443	1.278
1444	0.81
1445	0.933
1446	0.773
1447	1.319
1448	1.591
1449	1.188
1450	0.62
1451	0.826
1452	0.911
1453	0.995
1454	1.042
1455	0.836
1456	0.842
1457	0.964
1458	0.965
1459	1.057
1460	0.488
1461	0.602
1462	1.006
1463	1.035
1464	0.813
1465	0.975
1466	0.85
1467	1.075
1468	0.731
1469	1.227
1470	1.026
1471	0.936
1472	1.162
1473	1.144
1474	0.682
1475	0.628
1476	1.353
1477	0.914
1478	0.859
1479	0.596
1480	0.961
1481	0.845
1482	0.811
1483	0.692
1484	0.875
1485	0.727
1486	1.072
1487	1.03
1488	0.93
1489	0.714
1490	1.119
1491	1.049
1492	0.723
1493	0.809
1494	0.751
1495	0.568
1496	1.175
1497	0.615
1498	0.93
1499	1.075
1500	0.977
1501	0.977
1502	0.547
1503	0.968
1504	1.032
1505	0.882
1506	0.806
1507	0.976
1508	0.839
1509	1.112
1510	0.903
1511	1.026
1512	1.158
1513	0.816
1514	1.061
1515	0.581
1516	0.946
1517	0.874
1518	0.635
1519	1.171
1520	0.857
1521	0.995
1522	0.813
1523	0.801
1524	0.972
1525	1.085
1526	0.96
1527	0.967
1528	1.098
1529	1.064
1530	0.904
1531	0.911
1532	0.749
1533	0.639
1534	0.787
1535	0.893
1536	1.129
1537	1.04
1538	1.166
1539	1.44
1540	1.096
1541	1.297
1542	0.846
1543	0.915
1544	1.148
1545	0.826
1546	1.092
1547	0.519
1548	1.235
1549	1.041
1550	1.088
1551	1.109
1552	1.177
1553	0.906
1554	0.466
1555	1.034
1556	0.948
1557	1.245
1558	1.348
1559	1.085
1560	1.239
1561	1.251
1562	1.144
1563	0.984
1564	1.71
1565	0.697
1566	1.221
1567	0.888
1568	1.141
1569	1.013
1570	0.515
1571	0.895
1572	1.095
1573	0.908
1574	1.12
1575	1.397
1576	0.878
1577	1.407
1578	0.972
1579	0.82
1580	0.256
1581	0.959
1582	0.984
1583	1.177
1584	0.7
1585	1.13
1586	1.315
1587	1.335
1588	1.348
1589	1.268
1590	1.072
1591	1.409
1592	0.961
1593	0.832
1594	1.238
1595	0.572
1596	1.455
1597	1.097
1598	1.3
1599	1.668
1600	0.854
1601	0.978
1602	0.772
1603	0.925
1604	1.206
1605	1.169
1606	1.458
1607	0.8
1608	1.671
1609	0.806
1610	1.465
1611	1.187
1612	1.267
1613	1.218
1614	0.989
1615	1.367
1616	1.393
1617	1.167
