# northamerica_usa_or026 - Abbot Creek RNA - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_or026 - Abbot Creek RNA - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Abbot Creek RNA
#	Location:
#	Country: United States
#	Northernmost_Latitude: 42.92
#	Southernmost_Latitude: 42.92
#	Easternmost_Longitude: -122.5
#	Westernmost_Longitude: -122.5
#	Elevation: 1448 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_or026B
#	Earliest_Year: 1682
#	Most_Recent_Year: 1980
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"5.13577274015","T2":"16.4440543001","M1":"0.0222143682361","M2":"0.481379595473"}}
#--------------------
# Species
#	Species_Name: Douglas fir
#	Species_Code: PSME
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1682	0.868
1683	0.668
1684	0.815
1685	0.821
1686	0.991
1687	1.092
1688	0.809
1689	0.839
1690	0.753
1691	0.828
1692	0.926
1693	0.884
1694	0.982
1695	1.133
1696	1.013
1697	1.156
1698	0.992
1699	0.949
1700	0.88
1701	0.71
1702	1.115
1703	0.793
1704	1.063
1705	0.991
1706	1.033
1707	1.095
1708	1.106
1709	0.925
1710	1.193
1711	1.12
1712	1.27
1713	1.194
1714	1.1
1715	1.093
1716	1.131
1717	0.83
1718	0.966
1719	1.086
1720	1.223
1721	1.145
1722	1.073
1723	1.203
1724	1.035
1725	0.839
1726	1.077
1727	1.22
1728	0.962
1729	0.877
1730	0.801
1731	0.986
1732	1.12
1733	1.232
1734	1.013
1735	0.974
1736	1.157
1737	1.4
1738	1.887
1739	0.974
1740	0.995
1741	0.792
1742	0.688
1743	0.797
1744	0.686
1745	0.886
1746	1.073
1747	1.081
1748	0.948
1749	1.335
1750	1.459
1751	1.227
1752	1.334
1753	1.092
1754	0.748
1755	1.184
1756	0.95
1757	0.787
1758	1.004
1759	0.885
1760	0.939
1761	1.286
1762	1.251
1763	1.064
1764	0.797
1765	1.09
1766	1.145
1767	1.051
1768	1.039
1769	0.667
1770	1.032
1771	0.963
1772	1.344
1773	1.485
1774	1.321
1775	0.958
1776	0.939
1777	0.937
1778	0.919
1779	0.827
1780	1.041
1781	0.826
1782	0.72
1783	0.638
1784	0.669
1785	0.742
1786	0.857
1787	0.75
1788	1.006
1789	0.943
1790	0.914
1791	1.246
1792	1.049
1793	0.99
1794	0.925
1795	0.93
1796	0.753
1797	0.655
1798	0.969
1799	0.967
1800	1.122
1801	1.126
1802	1.175
1803	1.154
1804	1.455
1805	1.426
1806	1.061
1807	0.998
1808	0.975
1809	0.927
1810	0.903
1811	0.907
1812	0.945
1813	1.133
1814	1.214
1815	0.884
1816	0.846
1817	0.777
1818	1.042
1819	1.061
1820	0.804
1821	0.913
1822	1.385
1823	0.625
1824	0.681
1825	0.97
1826	0.821
1827	0.621
1828	0.82
1829	1.329
1830	0.943
1831	0.874
1832	1.114
1833	0.969
1834	0.916
1835	1.136
1836	0.932
1837	1.095
1838	1.369
1839	1.198
1840	0.833
1841	1.1
1842	0.766
1843	0.855
1844	0.827
1845	1.031
1846	0.971
1847	0.603
1848	0.962
1849	0.676
1850	0.629
1851	1.029
1852	0.972
1853	0.74
1854	0.792
1855	1.185
1856	0.848
1857	0.788
1858	0.938
1859	0.733
1860	1.035
1861	1.006
1862	0.912
1863	1.021
1864	0.73
1865	0.733
1866	0.851
1867	0.728
1868	1.034
1869	0.905
1870	0.91
1871	0.656
1872	0.614
1873	0.854
1874	0.8
1875	0.785
1876	0.598
1877	0.968
1878	0.981
1879	1.083
1880	0.678
1881	0.988
1882	1.001
1883	0.646
1884	0.845
1885	1.039
1886	0.65
1887	0.67
1888	1.094
1889	1.279
1890	0.886
1891	1.256
1892	1.136
1893	1.22
1894	1.351
1895	1.286
1896	0.783
1897	0.971
1898	1.168
1899	1.037
1900	1.737
1901	1.527
1902	1.216
1903	1.189
1904	1.492
1905	1.208
1906	1.268
1907	1.425
1908	1.349
1909	0.982
1910	0.969
1911	1.047
1912	1.249
1913	1.642
1914	1.554
1915	1.46
1916	1.169
1917	1.088
1918	0.662
1919	0.802
1920	1.001
1921	1.168
1922	0.943
1923	1.024
1924	0.905
1925	0.852
1926	1.059
1927	1.093
1928	1.216
1929	1.107
1930	1.13
1931	1.282
1932	1.016
1933	0.921
1934	1.047
1935	0.9
1936	0.96
1937	0.7
1938	0.865
1939	0.935
1940	0.976
1941	1.143
1942	1.381
1943	0.993
1944	1.069
1945	0.907
1946	0.719
1947	0.932
1948	1.296
1949	0.886
1950	0.937
1951	0.857
1952	0.988
1953	0.668
1954	0.919
1955	0.91
1956	0.88
1957	0.955
1958	1.193
1959	0.893
1960	1.029
1961	0.893
1962	0.803
1963	1.093
1964	0.795
