# northamerica_usa_or037 - Summit Springs - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_or037 - Summit Springs - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Summit Springs
#	Location:
#	Country: United States
#	Northernmost_Latitude: 45.68
#	Southernmost_Latitude: 45.68
#	Easternmost_Longitude: -117.47
#	Westernmost_Longitude: -117.47
#	Elevation: 1354 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_or037B
#	Earliest_Year: 1803
#	Most_Recent_Year: 1990
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"3.79130629729","T2":"15.604658279","M1":"0.022369028941","M2":"0.537056087002"}}
#--------------------
# Species
#	Species_Name: ponderosa pine
#	Species_Code: PIPO
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1803	0.957
1804	1.037
1805	1.161
1806	1.081
1807	0.926
1808	1.046
1809	1.262
1810	1.107
1811	1.064
1812	1.057
1813	0.88
1814	0.765
1815	0.753
1816	1.096
1817	1.006
1818	1.121
1819	1.175
1820	1.073
1821	1.311
1822	1.108
1823	0.812
1824	1.133
1825	1.108
1826	0.981
1827	0.952
1828	1.123
1829	1.286
1830	0.913
1831	0.657
1832	1.023
1833	1.127
1834	1.039
1835	0.684
1836	0.674
1837	0.833
1838	1.207
1839	1.036
1840	0.772
1841	0.892
1842	0.925
1843	1.088
1844	1.253
1845	1.22
1846	1.147
1847	0.563
1848	0.794
1849	0.368
1850	0.435
1851	0.78
1852	0.79
1853	0.855
1854	1.084
1855	1.561
1856	1.005
1857	1.209
1858	1.357
1859	0.79
1860	0.782
1861	1.107
1862	0.857
1863	1.016
1864	1.018
1865	0.88
1866	1.058
1867	0.702
1868	0.852
1869	0.59
1870	0.838
1871	0.935
1872	0.811
1873	1.156
1874	1.091
1875	1.053
1876	1.186
1877	1.716
1878	1.482
1879	1.366
1880	0.861
1881	1.311
1882	0.944
1883	0.568
1884	0.438
1885	0.817
1886	0.617
1887	0.665
1888	0.819
1889	0.529
1890	0.507
1891	0.99
1892	0.939
1893	0.673
1894	0.967
1895	0.937
1896	0.912
1897	1.156
1898	1.115
1899	0.753
1900	1.366
1901	1.217
1902	1.244
1903	1.327
1904	1.828
1905	1.467
1906	1.379
1907	1.907
1908	1.781
1909	1.863
1910	1.601
1911	1.47
1912	1.676
1913	1.995
1914	1.608
1915	1.679
1916	1.7
1917	0.978
1918	1.124
1919	1.142
1920	0.583
1921	0.98
1922	0.545
1923	0.803
1924	0.585
1925	0.5
1926	0.764
1927	0.986
1928	1.191
1929	1.032
1930	0.882
1931	0.799
1932	0.578
1933	0.585
1934	1.365
1935	0.55
1936	0.466
1937	0.605
1938	1.001
1939	0.851
1940	0.758
1941	1.655
1942	1.78
1943	0.906
1944	0.987
1945	0.915
1946	1.33
1947	1.105
1948	0.936
1949	1.027
1950	0.928
1951	0.861
1952	0.997
1953	0.671
1954	0.899
1955	1.253
1956	1.35
1957	1.028
1958	0.728
1959	0.68
1960	0.748
1961	0.701
1962	0.72
1963	0.941
1964	0.636
1965	0.672
1966	0.917
1967	0.736
1968	0.665
1969	1.139
1970	0.783
1971	0.75
1972	0.479
1973	0.322
1974	0.357
1975	0.53
1976	0.83
1977	0.695
1978	0.723
1979	0.64
1980	0.827
1981	1.242
1982	0.829
1983	1.26
1984	1.052
1985	0.607
1986	0.874
1987	1.178
1988	0.64
1989	0.468
1990	1.194
