# northamerica_usa_or043 - Barlow Pass   am Mt.Hood - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_or043 - Barlow Pass   am Mt.Hood - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Barlow Pass   am Mt.Hood
#	Location:
#	Country: United States
#	Northernmost_Latitude: 45.32
#	Southernmost_Latitude: 45.32
#	Easternmost_Longitude: -121.65
#	Westernmost_Longitude: -121.65
#	Elevation: 1300 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_or043B
#	Earliest_Year: 1625
#	Most_Recent_Year: 1983
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"5.35314344723","T2":"17.2158542979","M1":"0.0224881762614","M2":"0.415833937452"}}
#--------------------
# Species
#	Species_Name: Douglas fir
#	Species_Code: PSME
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1625	1.003
1626	0.964
1627	0.751
1628	0.829
1629	0.92
1630	0.684
1631	0.762
1632	0.835
1633	0.945
1634	0.757
1635	0.568
1636	0.72
1637	0.605
1638	0.797
1639	0.622
1640	0.641
1641	0.664
1642	0.679
1643	0.596
1644	0.762
1645	0.891
1646	1.02
1647	0.963
1648	1.004
1649	0.851
1650	0.879
1651	1.068
1652	0.882
1653	0.788
1654	0.783
1655	0.833
1656	0.893
1657	1.003
1658	1.163
1659	1.049
1660	1.184
1661	1.147
1662	0.891
1663	0.954
1664	1.129
1665	0.812
1666	0.981
1667	1.316
1668	1.333
1669	1.284
1670	1.16
1671	1.143
1672	1.027
1673	0.957
1674	1.143
1675	1.023
1676	0.96
1677	0.9
1678	0.991
1679	1.084
1680	1.019
1681	1.022
1682	1.081
1683	0.862
1684	0.888
1685	0.945
1686	1.081
1687	1.221
1688	0.97
1689	1.155
1690	1.311
1691	0.668
1692	0.766
1693	0.654
1694	0.843
1695	0.869
1696	0.985
1697	1.016
1698	1.0
1699	0.929
1700	1.034
1701	0.524
1702	0.77
1703	0.666
1704	0.588
1705	0.868
1706	0.955
1707	1.166
1708	0.779
1709	0.848
1710	0.93
1711	0.974
1712	0.908
1713	1.03
1714	1.174
1715	1.167
1716	1.296
1717	1.151
1718	1.169
1719	1.142
1720	1.114
1721	1.189
1722	1.273
1723	1.207
1724	1.267
1725	1.192
1726	1.229
1727	1.395
1728	1.153
1729	1.166
1730	1.103
1731	0.894
1732	1.043
1733	1.091
1734	1.146
1735	1.15
1736	1.164
1737	1.152
1738	1.409
1739	0.883
1740	0.95
1741	0.964
1742	1.07
1743	1.016
1744	0.918
1745	0.977
1746	0.948
1747	0.998
1748	0.956
1749	0.968
1750	1.21
1751	1.176
1752	1.284
1753	1.053
1754	0.838
1755	1.054
1756	1.015
1757	1.022
1758	0.998
1759	0.862
1760	0.849
1761	1.0
1762	0.987
1763	0.958
1764	0.862
1765	1.039
1766	1.166
1767	1.061
1768	1.121
1769	1.018
1770	1.292
1771	1.379
1772	1.256
1773	1.527
1774	1.228
1775	1.117
1776	1.111
1777	1.175
1778	1.212
1779	1.19
1780	1.166
1781	1.096
1782	0.816
1783	0.912
1784	0.692
1785	0.688
1786	0.701
1787	0.541
1788	0.688
1789	0.721
1790	0.525
1791	0.651
1792	0.695
1793	0.695
1794	0.827
1795	0.928
1796	0.906
1797	1.104
1798	1.269
1799	1.092
1800	1.009
1801	1.356
1802	1.242
1803	1.013
1804	1.182
1805	1.084
1806	0.989
1807	0.985
1808	0.995
1809	0.921
1810	0.989
1811	1.03
1812	0.908
1813	0.848
1814	0.977
1815	0.848
1816	0.888
1817	0.969
1818	0.939
1819	1.034
1820	1.012
1821	0.874
1822	1.164
1823	0.724
1824	0.95
1825	1.126
1826	1.181
1827	0.733
1828	0.829
1829	1.078
1830	0.969
1831	0.865
1832	0.795
1833	1.015
1834	1.075
1835	1.091
1836	0.923
1837	1.011
1838	0.895
1839	1.231
1840	0.893
1841	1.172
1842	0.985
1843	1.005
1844	1.011
1845	1.127
1846	1.036
1847	0.708
1848	1.024
1849	0.679
1850	0.785
1851	1.046
1852	0.905
1853	0.927
1854	0.938
1855	1.093
1856	0.852
1857	0.806
1858	0.999
1859	0.86
1860	1.022
1861	1.059
1862	0.813
1863	1.071
1864	0.764
1865	0.814
1866	0.811
1867	0.785
1868	0.899
1869	0.758
1870	0.912
1871	0.823
1872	0.799
1873	0.944
1874	1.051
1875	1.161
1876	0.967
1877	1.251
1878	1.11
1879	1.047
1880	0.747
1881	0.821
1882	0.974
1883	0.86
1884	0.78
1885	0.798
1886	0.757
1887	0.729
1888	0.735
1889	0.887
1890	0.783
1891	0.931
1892	1.017
1893	1.091
1894	1.044
1895	0.932
1896	0.951
1897	0.703
1898	0.995
1899	0.842
1900	1.162
1901	1.151
1902	1.075
1903	1.043
1904	1.444
1905	1.303
1906	1.076
1907	1.043
1908	1.198
1909	0.777
1910	0.732
