# northamerica_usa_or062 - Table Rock - Arrow Gap - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_or062 - Table Rock - Arrow Gap - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Table Rock - Arrow Gap
#	Location:
#	Country: United States
#	Northernmost_Latitude: 43.18
#	Southernmost_Latitude: 43.18
#	Easternmost_Longitude: -120.9
#	Westernmost_Longitude: -120.9
#	Elevation: 1418 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_or062B
#	Earliest_Year: 530
#	Most_Recent_Year: 1996
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.34519816311","T2":"15.8282467592","M1":"0.0232045000519","M2":"0.468199282616"}}
#--------------------
# Species
#	Species_Name: western juniper
#	Species_Code: JUOC
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
530	1.05
531	0.979
532	1.343
533	0.608
534	0.554
535	0.411
536	0.233
537	0.588
538	0.797
539	0.788
540	0.611
541	0.858
542	0.767
543	1.113
544	1.166
545	0.735
546	0.6
547	0.854
548	0.75
549	0.118
550	0.474
551	0.545
552	0.437
553	0.191
554	0.526
555	0.662
556	0.772
557	1.06
558	1.281
559	0.592
560	0.151
561	0.842
562	0.453
563	0.157
564	0.881
565	0.793
566	0.783
567	0.899
568	0.516
569	1.011
570	1.019
571	1.501
572	1.184
573	1.903
574	1.157
575	0.824
576	0.763
577	0.266
578	0.581
579	0.163
580	0.849
581	1.692
582	1.05
583	1.377
584	1.896
585	1.08
586	1.177
587	1.838
588	0.64
589	0.614
590	1.342
591	1.162
592	1.613
593	1.984
594	1.097
595	1.732
596	0.618
597	1.671
598	1.176
599	0.908
600	1.264
601	0.75
602	0.832
603	0.788
604	0.178
605	1.419
606	0.835
607	0.102
608	1.219
609	0.11
610	0.995
611	1.654
612	1.064
613	0.873
614	1.936
615	0.282
616	1.262
617	1.276
618	1.195
619	1.895
620	1.278
621	0.389
622	1.225
623	0.62
624	0.214
625	1.61
626	0.842
627	1.137
628	1.967
629	1.399
630	1.633
631	1.078
632	0.145
633	0.101
634	1.516
635	2.13
636	2.414
637	1.291
638	0.462
639	0.031
640	1.124
641	0.87
642	2.165
643	1.505
644	1.147
645	0.606
646	1.559
647	1.617
648	2.478
649	0.671
650	0.933
651	1.451
652	0.878
653	0.039
654	0.2
655	0.833
656	0.69
657	0.555
658	1.453
659	0.302
660	1.77
661	0.016
662	0.44
663	0.76
664	0.819
665	0.928
666	0.307
667	1.183
668	1.642
669	1.196
670	1.162
671	0.391
672	0.638
673	0.843
674	1.647
675	1.751
676	0.762
677	0.126
678	0.848
679	0.154
680	1.88
681	2.11
682	2.484
683	0.72
684	2.286
685	1.115
686	1.104
687	1.848
688	1.363
689	1.218
690	1.544
691	2.072
692	1.372
693	0.016
694	1.264
695	0.922
696	0.333
697	1.558
698	0.457
699	0.297
700	0.426
701	0.431
702	0.32
703	0.773
704	1.157
705	1.441
706	1.505
707	1.006
708	0.131
709	1.392
710	1.511
711	0.813
712	0.64
713	0.984
714	0.224
715	0.787
716	0.709
717	1.084
718	0.763
719	1.184
720	0.742
721	1.885
722	1.13
723	0.977
724	1.159
725	1.744
726	2.009
727	1.146
728	0.806
729	0.773
730	0.831
731	1.135
732	0.618
733	0.607
734	1.103
735	0.486
736	0.838
737	0.953
738	0.788
739	0.115
740	0.563
741	0.065
742	0.93
743	0.515
744	0.92
745	0.678
746	0.483
747	0.686
748	0.927
749	1.208
750	0.959
751	2.507
752	1.049
753	0.378
754	0.421
755	0.967
756	0.338
757	1.062
758	0.994
759	1.789
760	1.326
761	0.569
762	0.67
763	0.458
764	0.414
765	0.839
766	0.271
767	0.362
768	0.243
769	0.723
770	0.658
771	1.456
772	1.193
773	0.624
774	1.246
775	1.629
776	0.491
777	0.411
778	1.372
779	0.96
780	1.698
781	0.444
782	0.963
783	0.062
784	0.324
785	1.163
786	0.713
787	1.171
788	0.709
789	1.176
790	1.02
791	1.624
792	1.015
793	1.15
794	0.132
795	0.327
796	1.539
797	1.451
798	1.499
799	0.683
800	0.937
801	1.644
802	1.606
803	1.777
804	1.24
805	0.577
806	0.926
807	0.527
808	0.962
809	1.295
810	0.319
811	1.333
812	1.447
813	0.929
814	1.571
815	1.744
816	1.195
817	1.342
818	1.786
819	0.186
820	2.064
821	1.882
822	2.17
823	1.755
824	1.331
825	1.474
826	0.221
827	1.028
828	1.173
829	1.552
830	1.513
831	1.761
832	1.556
833	0.362
834	0.597
835	0.967
836	0.839
837	1.172
838	0.971
839	0.494
840	1.457
841	1.182
842	0.886
843	1.215
844	1.061
845	1.035
846	1.697
847	0.697
848	1.21
849	0.367
850	0.809
851	0.885
852	0.918
853	2.123
854	0.596
855	1.064
856	0.544
857	0.401
858	0.693
859	0.455
860	0.888
