# northamerica_usa_pa009 - Otter Creek Natural Area - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_pa009 - Otter Creek Natural Area - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Otter Creek Natural Area
#	Location:
#	Country: United States
#	Northernmost_Latitude: 39.88
#	Southernmost_Latitude: 39.88
#	Easternmost_Longitude: -76.4
#	Westernmost_Longitude: -76.4
#	Elevation: 150 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_pa009B
#	Earliest_Year: 1722
#	Most_Recent_Year: 1981
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.84931754115","T2":"15.5819547607","M1":"0.0224264873623","M2":"0.541776149659"}}
#--------------------
# Species
#	Species_Name: chestnut oak
#	Species_Code: QUPR
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1722	0.936
1723	1.021
1724	1.149
1725	1.219
1726	1.077
1727	1.04
1728	0.858
1729	1.053
1730	1.004
1731	1.012
1732	0.893
1733	0.886
1734	0.94
1735	1.013
1736	0.916
1737	0.964
1738	1.009
1739	1.018
1740	0.95
1741	0.759
1742	0.752
1743	0.86
1744	0.883
1745	0.872
1746	0.699
1747	0.931
1748	1.306
1749	0.9
1750	0.553
1751	0.617
1752	0.684
1753	0.958
1754	1.038
1755	0.807
1756	1.053
1757	1.062
1758	0.995
1759	0.836
1760	0.988
1761	0.865
1762	0.917
1763	0.894
1764	0.994
1765	0.855
1766	1.061
1767	0.966
1768	1.205
1769	1.036
1770	0.841
1771	1.163
1772	1.124
1773	1.058
1774	0.679
1775	0.962
1776	0.891
1777	0.989
1778	1.063
1779	0.933
1780	1.184
1781	1.193
1782	1.083
1783	1.135
1784	0.82
1785	0.949
1786	1.019
1787	1.102
1788	1.279
1789	1.165
1790	1.121
1791	1.015
1792	1.157
1793	1.254
1794	1.185
1795	1.165
1796	1.075
1797	1.211
1798	1.023
1799	0.813
1800	0.879
1801	1.063
1802	1.071
1803	0.612
1804	0.973
1805	0.956
1806	0.854
1807	1.045
1808	1.097
1809	0.996
1810	1.214
1811	1.14
1812	1.158
1813	1.052
1814	1.0
1815	0.992
1816	0.997
1817	0.961
1818	0.956
1819	0.714
1820	0.83
1821	0.802
1822	0.718
1823	0.713
1824	1.062
1825	0.83
1826	1.02
1827	1.187
1828	1.251
1829	0.908
1830	1.298
1831	1.025
1832	1.036
1833	1.027
1834	0.822
1835	0.985
1836	0.948
1837	0.843
1838	0.99
1839	0.988
1840	1.316
1841	1.193
1842	1.324
1843	1.077
1844	1.151
1845	1.16
1846	1.186
1847	1.097
1848	1.093
1849	0.979
1850	1.178
1851	1.211
1852	1.185
1853	1.189
1854	1.127
1855	0.878
1856	0.859
1857	0.999
1858	0.74
1859	1.061
1860	0.98
1861	0.781
1862	0.962
1863	0.817
1864	0.933
1865	0.875
1866	0.955
1867	0.778
1868	0.76
1869	0.927
1870	0.983
1871	0.744
1872	0.898
1873	0.782
1874	1.04
1875	0.98
1876	1.149
1877	1.04
1878	1.235
1879	1.036
1880	1.147
1881	1.049
1882	1.063
1883	0.967
1884	1.172
1885	0.644
1886	1.098
1887	1.021
1888	1.001
1889	1.304
1890	1.053
1891	0.959
1892	1.102
1893	1.072
1894	1.027
1895	0.983
1896	0.927
1897	1.02
1898	0.846
1899	0.883
1900	0.998
1901	1.04
1902	0.728
1903	1.098
1904	1.117
1905	1.067
1906	1.287
1907	0.997
1908	0.675
1909	0.856
1910	0.796
1911	1.039
1912	1.11
1913	1.11
1914	1.012
1915	1.15
1916	1.194
1917	1.134
1918	0.86
1919	0.821
1920	1.061
1921	1.034
1922	1.038
1923	0.99
1924	1.219
1925	0.928
1926	0.996
1927	1.115
1928	1.064
1929	0.907
1930	0.974
1931	0.924
1932	0.867
1933	1.013
1934	1.152
1935	1.2
1936	0.753
1937	1.083
1938	1.078
1939	1.045
1940	0.972
1941	0.915
1942	1.02
1943	1.214
1944	1.108
1945	1.056
1946	1.054
1947	1.046
1948	0.773
1949	0.874
1950	0.91
1951	0.876
1952	0.812
1953	0.883
1954	0.749
1955	0.816
1956	0.975
1957	1.077
1958	1.009
1959	0.842
1960	0.796
1961	0.872
1962	0.793
1963	0.838
1964	0.988
1965	0.945
1966	0.789
1967	0.773
1968	0.737
1969	0.9
1970	0.919
1971	1.218
1972	1.046
1973	1.026
1974	0.985
1975	1.118
1976	1.064
1977	0.759
1978	1.026
1979	0.917
1980	0.891
1981	0.533
