# northamerica_usa_sc006 - Black River South Carolina - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_sc006 - Black River South Carolina - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Black River South Carolina
#	Location:
#	Country: United States
#	Northernmost_Latitude: 33.8
#	Southernmost_Latitude: 33.8
#	Easternmost_Longitude: -79.87
#	Westernmost_Longitude: -79.87
#	Elevation: 1 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_sc006B
#	Earliest_Year: 549
#	Most_Recent_Year: 1993
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"4.27250498368","T2":"17.8072906547","M1":"0.0226710941608","M2":"0.598003367418"}}
#--------------------
# Species
#	Species_Name: baldcypress
#	Species_Code: TADI
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
549	1.936
550	1.963
551	1.265
552	0.184
553	0.16
554	0.4
555	0.237
556	0.226
557	0.268
558	0.177
559	0.353
560	0.217
561	0.233
562	0.17
563	0.36
564	0.411
565	0.182
566	0.253
567	0.276
568	0.362
569	0.281
570	0.477
571	3.185
572	0.899
573	2.212
574	2.719
575	2.874
576	3.837
577	3.138
578	2.787
579	1.591
580	1.493
581	1.127
582	1.698
583	1.266
584	0.52
585	0.24
586	0.515
587	1.594
588	0.196
589	0.425
590	0.522
591	0.866
592	1.474
593	0.829
594	0.606
595	0.521
596	0.759
597	2.175
598	2.177
599	2.913
600	1.132
601	0.434
602	0.587
603	0.487
604	0.581
605	0.807
606	0.652
607	0.326
608	0.693
609	0.523
610	0.24
611	0.622
612	0.368
613	0.792
614	0.363
615	1.057
616	0.496
617	0.742
618	0.449
619	0.397
620	0.367
621	0.474
622	1.064
623	0.588
624	1.563
625	0.259
626	0.333
627	0.378
628	0.631
629	0.353
630	0.194
631	0.891
632	0.655
633	0.469
634	0.238
635	0.377
636	0.935
637	0.44
638	0.399
639	0.662
640	0.21
641	0.573
642	0.806
643	1.836
644	0.27
645	0.375
646	0.208
647	1.193
648	0.691
649	1.396
650	0.782
651	0.368
652	0.765
653	2.154
654	2.474
655	1.38
656	0.729
657	0.886
658	0.36
659	0.296
660	1.289
661	1.186
662	0.417
663	1.166
664	0.983
665	1.393
666	0.97
667	0.679
668	0.371
669	3.004
670	1.524
671	1.817
672	1.38
673	0.91
674	1.442
675	2.423
676	1.702
677	1.39
678	1.189
679	0.756
680	1.804
681	1.824
682	0.558
683	1.024
684	2.36
685	0.262
686	0.341
687	0.181
688	0.256
689	0.182
690	0.263
691	0.407
692	0.687
693	1.091
694	0.799
695	1.406
696	1.36
697	0.577
698	0.215
699	0.558
700	0.979
701	1.211
702	0.877
703	0.294
704	0.653
705	0.452
706	1.303
707	2.594
708	3.892
709	2.393
710	1.612
711	3.728
712	2.88
713	4.283
714	3.26
715	2.161
716	1.401
717	1.34
718	2.843
719	1.244
720	0.382
721	0.37
722	1.122
723	0.135
724	1.361
725	4.365
726	4.298
727	0.135
728	3.792
729	2.806
730	2.89
731	1.872
732	1.926
733	1.549
734	2.202
735	0.135
736	0.517
737	0.272
738	0.458
739	1.373
740	1.766
741	1.444
742	2.256
743	1.079
744	0.827
745	0.702
746	0.633
747	0.545
748	0.395
749	0.312
750	0.613
751	0.735
752	0.591
753	1.093
754	1.61
755	2.789
756	3.418
757	3.112
758	1.752
759	2.048
760	0.621
761	1.534
762	2.023
763	1.074
764	1.231
765	0.571
766	0.984
767	1.548
768	0.796
769	1.252
770	1.634
771	1.059
772	1.227
773	0.788
774	1.957
775	0.947
776	0.895
777	1.779
778	2.099
779	0.924
780	0.688
781	1.452
782	0.585
783	0.889
784	0.683
785	1.016
786	0.99
787	0.753
788	0.844
789	0.707
790	0.599
791	0.579
792	0.401
793	0.652
794	0.628
795	0.386
796	0.33
797	0.653
798	1.51
799	1.711
800	1.176
801	1.507
802	0.754
803	0.814
804	0.911
805	0.903
806	0.726
807	0.907
808	0.527
809	0.528
810	0.535
811	0.956
812	0.812
813	1.621
814	0.822
815	0.485
816	0.43
817	1.737
818	0.989
819	1.33
820	0.235
821	0.781
822	0.729
823	0.276
824	0.479
825	0.24
826	0.916
827	0.488
828	0.212
829	0.478
830	0.452
831	0.648
832	1.059
833	0.768
834	0.432
835	0.809
836	0.507
837	0.59
838	0.586
839	0.27
840	0.148
841	0.274
842	0.623
843	0.273
844	0.846
845	0.363
846	0.764
847	0.564
848	0.901
849	0.338
850	0.676
851	0.352
852	0.121
853	0.057
854	0.226
855	0.213
856	0.553
857	0.402
858	0.279
859	0.907
860	1.61
861	0.901
862	1.054
863	2.017
864	0.863
865	0.689
866	0.495
867	0.416
868	0.811
869	0.498
870	0.413
871	0.426
872	0.608
873	0.648
874	0.986
875	0.451
876	0.774
877	0.69
