# northamerica_usa_tx003 - Pecan Bayou - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_tx003 - Pecan Bayou - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Pecan Bayou
#	Location:
#	Country: United States
#	Northernmost_Latitude: 33.73
#	Southernmost_Latitude: 33.73
#	Easternmost_Longitude: -95.08
#	Westernmost_Longitude: -95.08
#	Elevation: 130 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_tx003B
#	Earliest_Year: 1720
#	Most_Recent_Year: 1982
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"5.21837718631","T2":"17.1853511459","M1":"0.0224448020878","M2":"0.477990124502"}}
#--------------------
# Species
#	Species_Name: post oak
#	Species_Code: QUST
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1720	1.204
1721	1.185
1722	0.946
1723	1.216
1724	0.727
1725	0.966
1726	1.082
1727	0.747
1728	0.642
1729	0.856
1730	0.771
1731	1.041
1732	0.836
1733	0.94
1734	0.626
1735	1.078
1736	0.538
1737	0.609
1738	0.887
1739	0.752
1740	1.02
1741	0.708
1742	1.121
1743	0.657
1744	0.824
1745	0.847
1746	1.076
1747	0.868
1748	0.716
1749	0.862
1750	0.781
1751	1.012
1752	0.639
1753	0.703
1754	1.142
1755	0.702
1756	0.455
1757	0.411
1758	0.89
1759	0.923
1760	1.206
1761	1.25
1762	0.985
1763	1.22
1764	1.271
1765	1.045
1766	0.847
1767	0.796
1768	0.712
1769	1.29
1770	1.155
1771	1.2
1772	0.677
1773	1.06
1774	1.38
1775	1.032
1776	0.775
1777	0.677
1778	0.555
1779	0.579
1780	0.569
1781	1.021
1782	1.457
1783	0.736
1784	0.451
1785	0.693
1786	0.565
1787	0.9
1788	1.073
1789	0.543
1790	1.131
1791	0.998
1792	0.91
1793	1.099
1794	1.296
1795	1.099
1796	1.556
1797	1.504
1798	1.53
1799	1.355
1800	1.212
1801	0.745
1802	1.168
1803	1.411
1804	1.395
1805	1.254
1806	0.914
1807	0.814
1808	0.588
1809	0.719
1810	1.005
1811	1.207
1812	0.588
1813	0.738
1814	0.921
1815	1.126
1816	0.708
1817	1.049
1818	0.856
1819	1.021
1820	1.126
1821	1.149
1822	0.914
1823	0.904
1824	0.871
1825	0.979
1826	0.757
1827	1.225
1828	0.983
1829	1.054
1830	1.142
1831	1.128
1832	1.374
1833	1.371
1834	1.167
1835	1.108
1836	1.338
1837	1.128
1838	0.988
1839	0.874
1840	0.989
1841	0.818
1842	0.806
1843	0.996
1844	0.91
1845	1.046
1846	0.977
1847	0.932
1848	1.171
1849	0.848
1850	1.013
1851	0.879
1852	1.023
1853	1.204
1854	1.148
1855	0.787
1856	0.916
1857	0.751
1858	1.04
1859	0.616
1860	0.912
1861	1.016
1862	0.829
1863	0.922
1864	0.932
1865	1.091
1866	1.183
1867	1.318
1868	1.301
1869	1.397
1870	1.307
1871	1.199
1872	1.081
1873	1.189
1874	0.887
1875	0.979
1876	1.144
1877	1.267
1878	1.169
1879	0.833
1880	0.864
1881	0.789
1882	1.066
1883	1.443
1884	1.443
1885	1.305
1886	0.906
1887	0.995
1888	1.415
1889	1.077
1890	1.276
1891	1.036
1892	1.133
1893	1.191
1894	0.889
1895	0.965
1896	0.682
1897	0.839
1898	0.808
1899	0.961
1900	0.647
1901	0.741
1902	0.852
1903	1.193
1904	1.07
1905	1.015
1906	1.165
1907	1.39
1908	1.345
1909	0.906
1910	1.002
1911	0.844
1912	1.181
1913	0.886
1914	0.974
1915	1.205
1916	0.877
1917	1.146
1918	1.033
1919	1.024
1920	1.083
1921	1.109
1922	1.128
1923	1.352
1924	1.168
1925	0.872
1926	1.308
1927	1.312
1928	1.448
1929	1.469
1930	1.268
1931	0.909
1932	0.852
1933	1.051
1934	0.897
1935	1.259
1936	0.848
1937	1.095
1938	1.269
1939	1.172
1940	1.032
1941	0.96
1942	1.121
1943	0.941
1944	0.985
1945	1.129
1946	1.049
1947	0.946
1948	0.9
1949	0.888
1950	0.841
1951	0.869
1952	0.87
1953	0.711
1954	0.902
1955	0.725
1956	0.627
1957	0.714
1958	0.87
1959	0.778
1960	0.781
1961	0.75
1962	0.842
1963	0.701
1964	0.757
1965	0.788
1966	0.699
1967	0.748
1968	0.93
1969	0.856
1970	0.86
1971	0.886
1972	0.588
1973	0.901
1974	0.771
1975	0.899
1976	0.849
1977	0.714
1978	0.742
1979	1.004
1980	0.85
1981	0.845
1982	1.051
