# northamerica_usa_ut518 - Lower Henderson Canyon - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_ut518 - Lower Henderson Canyon - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Lower Henderson Canyon
#	Location:
#	Country: United States
#	Northernmost_Latitude: 37.65
#	Southernmost_Latitude: 37.65
#	Easternmost_Longitude: -111.97
#	Westernmost_Longitude: -111.97
#	Elevation: 2100 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_ut518B
#	Earliest_Year: 1692
#	Most_Recent_Year: 1999
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"M", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"3.7222557122","T2":"15.2401638578","M1":"0.024018622843","M2":"0.494599710498"}}
#--------------------
# Species
#	Species_Name: pinyon pine
#	Species_Code: PIED
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1692	1.749
1693	1.2
1694	1.446
1695	1.431
1696	1.23
1697	1.282
1698	0.755
1699	1.249
1700	1.158
1701	1.3
1702	0.936
1703	0.231
1704	1.119
1705	1.473
1706	1.165
1707	0.245
1708	0.939
1709	0.607
1710	1.276
1711	1.098
1712	1.24
1713	1.105
1714	1.066
1715	0.86
1716	1.133
1717	0.919
1718	1.434
1719	1.38
1720	1.753
1721	0.834
1722	0.573
1723	1.292
1724	1.381
1725	1.58
1726	1.593
1727	1.132
1728	0.681
1729	0.073
1730	0.729
1731	0.956
1732	0.711
1733	0.627
1734	1.172
1735	-0.042
1736	0.521
1737	0.636
1738	1.414
1739	0.583
1740	0.815
1741	1.013
1742	0.363
1743	1.355
1744	1.032
1745	1.187
1746	1.48
1747	1.507
1748	0.575
1749	1.303
1750	0.838
1751	0.829
1752	0.915
1753	1.094
1754	1.184
1755	1.008
1756	1.01
1757	0.863
1758	1.15
1759	1.656
1760	1.571
1761	0.773
1762	1.161
1763	0.736
1764	1.453
1765	1.224
1766	1.652
1767	1.631
1768	1.415
1769	1.216
1770	0.827
1771	1.292
1772	0.804
1773	0.305
1774	0.375
1775	1.299
1776	0.771
1777	0.894
1778	0.901
1779	0.887
1780	0.011
1781	0.628
1782	0.592
1783	0.919
1784	1.237
1785	0.758
1786	0.939
1787	1.291
1788	0.394
1789	0.368
1790	0.875
1791	1.28
1792	1.413
1793	1.326
1794	0.974
1795	1.142
1796	0.829
1797	1.063
1798	0.778
1799	1.024
1800	0.679
1801	0.916
1802	1.227
1803	0.813
1804	1.2
1805	0.944
1806	1.175
1807	1.388
1808	0.955
1809	1.085
1810	1.155
1811	1.41
1812	1.081
1813	0.405
1814	1.026
1815	1.105
1816	1.616
1817	1.511
1818	0.767
1819	1.466
1820	0.451
1821	1.361
1822	0.637
1823	0.83
1824	0.501
1825	0.732
1826	0.895
1827	0.751
1828	1.36
1829	0.724
1830	0.792
1831	0.867
1832	1.224
1833	1.179
1834	1.142
1835	1.095
1836	1.159
1837	1.139
1838	1.318
1839	1.346
1840	1.032
1841	0.518
1842	0.803
1843	0.691
1844	1.218
1845	0.776
1846	1.002
1847	0.236
1848	0.989
1849	1.53
1850	1.321
1851	1.212
1852	1.389
1853	1.404
1854	1.295
1855	1.187
1856	0.19
1857	0.04
1858	0.58
1859	0.642
1860	0.499
1861	0.301
1862	1.567
1863	0.818
1864	-0.054
1865	1.096
1866	1.306
1867	0.852
1868	1.471
1869	1.239
1870	0.4
1871	0.377
1872	0.836
1873	0.629
1874	1.069
1875	0.839
1876	0.867
1877	0.974
1878	0.689
1879	0.282
1880	0.963
1881	0.6
1882	0.29
1883	0.338
1884	1.286
1885	1.586
1886	1.232
1887	1.024
1888	1.348
1889	1.505
1890	1.833
1891	1.51
1892	1.321
1893	0.693
1894	0.512
1895	0.869
1896	0.262
1897	1.011
1898	1.164
1899	-0.053
1900	0.774
1901	0.829
1902	0.16
1903	0.949
1904	0.625
1905	1.099
1906	1.322
1907	1.651
1908	1.439
1909	1.349
1910	1.549
1911	1.505
1912	1.246
1913	1.312
1914	1.529
1915	1.214
1916	1.197
1917	1.45
1918	1.125
1919	1.037
1920	1.198
1921	1.14
1922	1.257
1923	1.272
1924	0.822
1925	0.878
1926	1.313
1927	0.784
1928	0.905
1929	0.886
1930	0.674
1931	0.643
1932	1.127
1933	0.815
1934	0.568
1935	0.841
1936	0.404
1937	1.033
1938	1.215
1939	0.75
1940	0.964
1941	1.402
1942	1.122
1943	0.946
1944	1.293
1945	0.826
1946	0.5
1947	1.086
1948	0.822
1949	1.408
1950	0.755
1951	0.64
1952	1.378
1953	0.494
1954	1.04
1955	0.724
1956	0.239
1957	1.133
1958	1.25
1959	0.447
1960	0.837
1961	0.826
1962	1.021
1963	0.323
1964	0.842
1965	0.957
1966	0.79
1967	1.06
1968	1.189
1969	1.35
1970	0.831
1971	0.728
1972	0.883
1973	1.171
1974	0.354
