# northamerica_usa_wa083 - Sherman Creek Pass - Breitenmoser Tree Ring Chronology Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2016-01-07
#--------------------
# Title
#	Study_Name: northamerica_usa_wa083 - Sherman Creek Pass - Breitenmoser Tree Ring Chronology Data
#--------------------
# Investigators
#	Investigators:  Breitenmoser, P.; Bronnimann, S.; Frank, D.
#--------------------
# Description_and_Notes
#	Description: Data from Breitenmoser 2014 Journal of past Climate supplementary, see publication for ARSTAN standardization details
#--------------------
# Publication
#	Authors: Breitenmoser, P.; Bronnimann, S.; Frank, D.
#	Published_Date_or_Year: 2014-03-11
#	Published_Title: Forward modelling of tree-ring width and comparison with a global network of tree-ring chronologies
#	Journal_Name: Climate of the Past
#	Volume: 10 
#	Edition:
#	Issue:
#	Pages: 437-449
#	DOI: 10.5194/cp-10-437-2014
#	Online_Resource: www.clim-past.net/10/437/2014/
#	Full_Citation:
#	Abstract: We investigate relationships between climate and tree-ring data on a global scale using the process-based Vaganov–Shashkin Lite (VSL) forward model of tree-ring width formation. The VSL model requires as inputs only latitude, monthly mean temperature, and monthly accumulated precipitation. Hence, this simple, process-based model enables ring-width simulation at any location where monthly climate records exist. In this study, we analyse the growth response of simulated tree rings to monthly climate conditions obtained from the CRU TS3.1 data set back to 1901. Our key aims are (a) to assess the VSL model performance by examining the relations between simulated and observed growth at 2287 globally distributed sites, (b) indentify optimal growth parameters found during the model calibration, and (c) to evaluate the potential of the VSL model as an observation operator for data-assimilation-based reconstructions of climate from tree-ring width. The assessment of the growth-onset threshold temperature of approximately 4–6 C for most sites and species using a Bayesian estimation approach complements other studies on the lower temperature limits where plant growth may be sustained. Our results suggest that the VSL model skilfully simulates site level treering series in response to climate forcing for a wide range of environmental conditions and species. Spatial aggregation of the tree-ring chronologies to reduce non-climatic noise at the site level yielded notable improvements in the coherence between modelled and actual growth. The resulting distinct and coherent patterns of significant relationships between the aggregated and simulated series further demonstrate the VSL model’s ability to skilfully capture the climatic signal contained in tree-ring series. Finally, we propose that the VSL model can be used as an observation operator in data assimilation approaches to reconstruct past climate.
#--------------------
# Funding_Agency
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Sherman Creek Pass
#	Location:
#	Country: United States
#	Northernmost_Latitude: 48.7
#	Southernmost_Latitude: 48.7
#	Easternmost_Longitude: -118.33
#	Westernmost_Longitude: -118.33
#	Elevation: 1800 m
#--------------------
# Data_Collection
#	Collection_Name: northamerica_usa_wa083B
#	Earliest_Year: 1649
#	Most_Recent_Year: 1983
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"Breits"}} {"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}{"VSLite_parameters":{"T1":"7.01416470928","T2":"19.3293425316","M1":"0.0225783722962","M2":"0.325645474621"}}
#--------------------
# Species
#	Species_Name: western larch
#	Species_Code: LAOC
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##trsgi	tree ring standardized growth index, tree ring, ,percent relative to mean growth, , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	trsgi
1649	0.713
1650	1.05
1651	0.881
1652	0.659
1653	1.002
1654	0.854
1655	0.955
1656	0.775
1657	0.981
1658	1.171
1659	1.037
1660	1.069
1661	1.558
1662	1.162
1663	1.535
1664	1.596
1665	1.471
1666	1.24
1667	1.529
1668	1.043
1669	0.694
1670	0.386
1671	0.807
1672	1.123
1673	1.192
1674	1.469
1675	1.714
1676	1.214
1677	1.284
1678	1.269
1679	0.97
1680	0.967
1681	1.157
1682	1.631
1683	0.963
1684	1.394
1685	1.095
1686	1.565
1687	1.394
1688	1.331
1689	1.382
1690	1.066
1691	1.107
1692	1.221
1693	1.091
1694	0.873
1695	0.732
1696	1.221
1697	1.092
1698	1.227
1699	0.967
1700	0.935
1701	0.472
1702	0.448
1703	0.638
1704	0.722
1705	0.959
1706	0.786
1707	0.841
1708	0.742
1709	0.9
1710	0.604
1711	0.684
1712	0.736
1713	0.93
1714	1.14
1715	1.047
1716	0.793
1717	0.766
1718	0.527
1719	0.749
1720	1.264
1721	1.269
1722	0.819
1723	0.594
1724	1.098
1725	0.75
1726	1.032
1727	1.223
1728	0.895
1729	1.037
1730	1.07
1731	1.059
1732	1.126
1733	1.002
1734	1.337
1735	0.827
1736	1.346
1737	1.241
1738	1.05
1739	1.068
1740	0.242
1741	0.472
1742	0.711
1743	0.726
1744	0.94
1745	1.079
1746	0.659
1747	1.078
1748	0.824
1749	0.441
1750	0.465
1751	0.746
1752	0.649
1753	0.447
1754	0.556
1755	0.4
1756	0.844
1757	0.531
1758	0.728
1759	0.982
1760	0.648
1761	1.124
1762	0.555
1763	0.973
1764	1.249
1765	1.132
1766	1.078
1767	1.296
1768	0.534
1769	0.677
1770	0.699
1771	1.062
1772	0.847
1773	1.24
1774	1.156
1775	0.915
1776	1.083
1777	1.202
1778	0.935
1779	0.809
1780	0.447
1781	0.441
1782	0.518
1783	0.578
1784	0.477
1785	0.926
1786	0.823
1787	0.959
1788	0.829
1789	0.833
1790	1.256
1791	0.602
1792	0.745
1793	0.722
1794	1.076
1795	0.841
1796	0.87
1797	0.648
1798	0.96
1799	0.415
1800	0.435
1801	0.557
1802	0.648
1803	0.669
1804	0.904
1805	0.824
1806	0.798
1807	1.134
1808	1.455
1809	1.429
1810	1.439
1811	1.093
1812	0.968
1813	1.035
1814	1.05
1815	1.588
1816	1.923
1817	2.169
1818	1.558
1819	1.507
1820	0.98
1821	0.857
1822	0.77
1823	0.494
1824	0.728
1825	1.116
1826	0.778
1827	0.932
1828	1.333
1829	1.266
1830	1.283
1831	1.351
1832	0.827
1833	1.32
1834	1.363
1835	1.201
1836	1.25
1837	1.109
1838	1.29
1839	1.603
1840	0.79
1841	0.775
1842	0.973
1843	0.989
1844	1.106
1845	1.361
1846	1.168
1847	1.305
1848	1.294
1849	1.002
1850	1.304
1851	1.065
1852	1.344
1853	1.349
1854	1.14
1855	0.975
1856	0.881
1857	1.345
1858	1.27
1859	1.331
1860	1.143
1861	1.058
1862	0.775
1863	0.721
1864	0.863
1865	1.009
1866	0.859
1867	1.017
1868	1.095
1869	0.895
1870	1.122
1871	1.255
1872	1.371
1873	1.181
1874	1.02
1875	0.88
1876	0.531
1877	0.247
1878	0.592
1879	0.546
1880	0.625
1881	0.478
1882	0.734
1883	0.629
1884	0.541
1885	0.29
1886	0.7
1887	0.677
1888	0.909
1889	0.964
1890	0.465
1891	0.785
1892	0.843
1893	0.704
1894	0.206
1895	0.298
1896	0.442
1897	0.597
1898	0.689
1899	0.42
1900	0.398
1901	0.687
1902	0.731
1903	0.664
1904	0.776
1905	0.386
1906	0.686
1907	1.018
1908	1.261
1909	1.18
1910	1.361
1911	1.283
1912	1.139
1913	1.007
1914	0.609
1915	0.401
1916	0.66
1917	0.766
1918	0.926
1919	1.116
1920	0.843
1921	1.169
1922	1.164
1923	0.828
1924	1.282
1925	1.291
1926	1.364
1927	1.048
1928	1.172
1929	1.343
1930	0.711
1931	0.771
